Agents: 20
Tasks: 50
Mode: Available
Station: Available
Strategy: Robin

Task Agent Location Time Deadline
1 0 66 0 60
2 1 69 0 60
3 2 72 0 60
4 3 75 0 60
5 4 78 0 60
6 5 81 5 70
7 6 84 5 70
8 7 87 5 70
9 8 96 10 75
10 9 99 10 75
11 10 102 10 75
12 11 105 15 80
13 12 108 15 80
14 13 111 15 80
15 14 114 20 85
16 15 117 20 85
17 16 186 20 85
18 17 189 25 90
19 18 192 25 90
20 19 195 25 90
21 0 198 30 95
22 1 201 30 95
23 2 204 30 95
24 3 207 35 100
25 4 216 35 100
26 5 219 35 100
27 6 222 40 105
28 7 225 40 105
29 8 228 40 105
30 9 231 45 110
31 10 306 45 110
32 11 309 45 110
33 12 312 50 115
34 13 315 50 115
35 14 318 50 115
36 15 321 55 120
37 16 324 55 120
38 17 327 55 120
39 18 336 60 125
40 19 339 60 125
41 0 342 60 125
42 1 345 65 130
43 2 348 65 130
44 3 351 65 130
45 4 354 70 135
46 5 357 70 135
47 6 67 75 140
48 7 79 75 140
49 8 188 80 145
50 9 314 80 145
