Agents: 20
Tasks: 50
Mode: Set

Task Agent Location Time
1 0 66 0
2 1 69 0
3 2 72 0
4 3 75 0
5 4 78 0
6 5 81 5
7 6 84 5
8 7 87 5
9 8 96 10
10 9 99 10
11 10 102 10
12 11 105 15
13 12 108 15
14 13 111 15
15 14 114 20
16 15 117 20
17 16 186 20
18 17 189 25
19 18 192 25
20 19 195 25
21 0 198 30
22 1 201 30
23 2 204 30
24 3 207 35
25 4 216 35
26 5 219 35
27 6 222 40
28 7 225 40
29 8 228 40
30 9 231 45
31 10 306 45
32 11 309 45
33 12 312 50
34 13 315 50
35 14 318 50
36 15 321 55
37 16 324 55
38 17 327 55
39 18 336 60
40 19 339 60
41 0 342 60
42 1 345 65
43 2 348 65
44 3 351 65
45 4 354 70
46 5 357 70
47 6 67 75
48 7 79 75
49 8 188 80
50 9 314 80
