Agents: 20
Tasks: 100
Mode: Set
Station: Set
Strategy: None

Task Agent Location Time Deadline
1 0 66 0 70
2 1 69 1 71
3 2 72 3 73
4 3 75 4 74
5 4 78 6 76
6 5 81 7 77
7 6 84 9 79
8 7 87 10 80
9 8 96 12 82
10 9 99 13 83
11 10 102 15 85
12 11 105 16 86
13 12 108 18 88
14 13 111 20 90
15 14 114 22 92
16 15 117 23 93
17 16 186 25 95
18 17 189 27 97
19 18 192 29 99
20 19 195 30 100
21 0 198 32 102
22 1 201 34 104
23 2 204 35 105
24 3 207 37 107
25 4 216 39 109
26 5 219 41 111
27 6 222 42 112
28 7 225 44 114
29 8 228 46 116
30 9 231 48 118
31 10 306 50 120
32 11 309 52 122
33 12 312 54 124
34 13 315 56 126
35 14 318 57 127
36 15 321 59 129
37 16 324 61 131
38 17 327 63 133
39 18 336 65 135
40 19 339 66 136
41 0 342 68 138
42 1 345 70 140
43 2 348 72 142
44 3 351 74 144
45 4 354 76 146
46 5 357 78 148
47 6 66 79 149
48 7 69 81 151
49 8 72 83 153
50 9 75 84 154
51 10 78 86 156
52 11 81 88 158
53 12 84 90 160
54 13 87 92 162
55 14 96 94 164
56 15 99 96 166
57 16 102 98 168
58 17 105 100 170
59 18 108 102 172
60 19 111 103 173
61 0 114 105 175
62 1 117 107 177
63 2 186 108 178
64 3 189 110 180
65 4 192 112 182
66 5 195 114 184
67 6 198 116 186
68 7 201 118 188
69 8 204 120 190
70 9 207 122 192
71 10 216 124 194
72 11 219 126 196
73 12 222 128 198
74 13 225 130 200
75 14 228 132 202
76 15 231 134 204
77 16 306 136 206
78 17 309 138 208
79 18 312 140 210
80 19 315 142 212
81 0 318 143 213
82 1 321 144 214
83 2 324 145 215
84 3 327 146 216
85 4 336 147 217
86 5 339 148 218
87 6 342 149 219
88 7 345 149 219
89 8 348 149 219
90 9 351 149 219
91 10 354 150 220
92 11 357 150 220
93 12 66 150 220
94 13 69 150 220
95 14 72 150 220
96 15 75 150 220
97 16 78 150 220
98 17 81 150 220
99 18 84 150 220
100 19 87 150 220
