Agents: 20
Tasks: 100
Mode: Available

Task Agent Location Time
1 0 66 0
2 1 69 1
3 2 72 3
4 3 75 4
5 4 78 6
6 5 81 7
7 6 84 9
8 7 87 10
9 8 96 12
10 9 99 13
11 10 102 15
12 11 105 16
13 12 108 18
14 13 111 20
15 14 114 22
16 15 117 23
17 16 186 25
18 17 189 27
19 18 192 29
20 19 195 30
21 0 198 32
22 1 201 34
23 2 204 35
24 3 207 37
25 4 216 39
26 5 219 41
27 6 222 42
28 7 225 44
29 8 228 46
30 9 231 48
31 10 306 50
32 11 309 52
33 12 312 54
34 13 315 56
35 14 318 57
36 15 321 59
37 16 324 61
38 17 327 63
39 18 336 65
40 19 339 66
41 0 342 68
42 1 345 70
43 2 348 72
44 3 351 74
45 4 354 76
46 5 357 78
47 6 66 79
48 7 69 81
49 8 72 83
50 9 75 84
51 10 78 86
52 11 81 88
53 12 84 90
54 13 87 92
55 14 96 94
56 15 99 96
57 16 102 98
58 17 105 100
59 18 108 102
60 19 111 103
61 0 114 105
62 1 117 107
63 2 186 108
64 3 189 110
65 4 192 112
66 5 195 114
67 6 198 116
68 7 201 118
69 8 204 120
70 9 207 122
71 10 216 124
72 11 219 126
73 12 222 128
74 13 225 130
75 14 228 132
76 15 231 134
77 16 306 136
78 17 309 138
79 18 312 140
80 19 315 142
81 0 318 143
82 1 321 144
83 2 324 145
84 3 327 146
85 4 336 147
86 5 339 148
87 6 342 149
88 7 345 149
89 8 348 149
90 9 351 149
91 10 354 150
92 11 357 150
93 12 66 150
94 13 69 150
95 14 72 150
96 15 75 150
97 16 78 150
98 17 81 150
99 18 84 150
100 19 87 150
