ID: 10-60-small-360-526331836-1
Seed: 526331836

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 10
Tasks: 60
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 6.08

Influx: Random
LambdaPerHour: 60
BurstAmount: 18
BurstStartStep: 123
BurstDurationSteps: 62
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 90 10 43
2 1 22 28 77
3 2 103 35 103
4 3 50 41 58
5 4 41 49 66
6 5 106 49 120
7 6 71 50 104
8 7 58 50 88
9 8 23 55 120
10 9 40 55 61
11 0 90 56 89
12 1 22 60 109
13 2 33 61 115
14 3 51 62 87
15 4 80 69 94
16 5 90 70 95
17 6 11 72 89
18 7 10 73 84
19 8 29 85 166
20 9 0 86 103
21 0 111 87 160
22 1 10 105 114
23 2 51 110 137
24 3 42 110 129
25 4 69 115 186
26 5 41 119 133
27 6 72 125 182
28 7 25 126 191
29 8 1 138 165
30 9 51 140 157
31 0 41 144 166
32 1 81 147 177
33 2 107 150 229
34 3 90 159 186
35 4 12 161 178
36 5 81 165 190
37 6 10 187 201
38 7 10 203 214
39 8 40 204 213
40 9 41 206 220
41 0 90 207 240
42 1 10 210 219
43 2 41 236 255
44 3 11 238 252
45 4 12 242 259
46 5 11 243 254
47 6 42 244 261
48 7 97 247 293
49 8 3 250 283
50 9 40 259 265
51 0 80 261 291
52 1 20 263 307
53 2 71 272 332
54 3 26 283 346
55 4 1 291 313
56 5 81 296 321
57 6 80 298 320
58 7 45 298 320
59 8 60 299 345
60 9 86 302 335
