ID: 10-60-small-360-526331836-4
Seed: 526331836

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 10
Tasks: 60
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 6.08

Influx: Poisson
LambdaPerHour: 60
BurstAmount: 18
BurstStartStep: 123
BurstDurationSteps: 62
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 65 5 70
2 1 80 8 35
3 2 90 13 43
4 3 11 22 36
5 4 10 22 33
6 5 23 29 86
7 6 0 30 47
8 7 109 39 115
9 8 10 42 59
10 9 51 50 67
11 0 41 52 74
12 1 74 53 121
13 2 40 54 71
14 3 77 57 130
15 4 17 58 88
16 5 1 69 88
17 6 51 70 92
18 7 41 77 88
19 8 85 77 110
20 9 105 83 146
21 0 90 84 117
22 1 10 86 95
23 2 84 102 140
24 3 10 106 112
25 4 11 106 120
26 5 41 107 121
27 6 40 108 119
28 7 90 113 135
29 8 10 118 135
30 9 41 130 144
31 0 12 136 158
32 1 18 140 176
33 2 11 143 160
34 3 41 144 161
35 4 98 148 202
36 5 3 152 177
37 6 40 161 172
38 7 80 162 181
39 8 20 168 220
40 9 71 171 220
41 0 27 172 237
42 1 1 174 188
43 2 81 177 207
44 3 80 179 204
45 4 50 193 210
46 5 80 203 225
47 6 82 205 232
48 7 81 218 240
49 8 40 220 229
50 9 41 239 253
51 0 42 244 269
52 1 41 248 267
53 2 90 267 297
54 3 0 274 283
55 4 12 280 297
56 5 90 283 308
57 6 41 286 300
58 7 50 301 312
59 8 10 304 321
60 9 0 307 324
