ID: 10-60-small-360-526331836-5
Seed: 526331836

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 10
Tasks: 60
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 6.08

Influx: Poisson
LambdaPerHour: 60
BurstAmount: 18
BurstStartStep: 123
BurstDurationSteps: 62
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 76 5 81
2 1 84 8 46
3 2 99 13 73
4 3 33 22 74
5 4 23 22 82
6 5 47 29 59
7 6 2 30 57
8 7 113 39 107
9 8 19 42 83
10 9 70 50 96
11 0 61 52 106
12 1 76 53 126
13 2 58 54 100
14 3 78 57 133
15 4 48 58 94
16 5 10 69 78
17 6 72 70 127
18 7 58 77 115
19 8 95 77 118
20 9 111 83 143
21 0 99 84 147
22 1 30 86 132
23 2 95 102 151
24 3 20 106 152
25 4 22 106 163
26 5 52 107 132
27 6 53 108 135
28 7 98 113 162
29 8 23 118 183
30 9 56 130 160
31 0 39 136 209
32 1 43 140 165
33 2 38 143 211
34 3 56 144 182
35 4 106 148 221
36 5 16 152 177
37 6 53 161 188
38 7 86 162 198
39 8 47 168 201
40 9 78 171 239
41 0 48 172 213
42 1 16 174 204
43 2 88 177 226
44 3 94 179 223
45 4 61 193 242
46 5 86 203 241
47 6 96 205 251
48 7 91 218 248
49 8 54 220 247
50 9 56 239 269
51 0 59 244 296
52 1 57 248 292
53 2 103 267 335
54 3 8 274 310
55 4 42 280 299
56 5 101 283 340
57 6 58 286 327
58 7 63 301 350
59 8 26 304 360
60 9 8 307 351
