ID: 10-60-small-360-526331836-6
Seed: 526331836

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 10
Tasks: 60
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 6.08

Influx: Burst
LambdaPerHour: 60
BurstAmount: 18
BurstStartStep: 123
BurstDurationSteps: 62
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 6 4 34
2 1 91 13 51
3 2 52 22 52
4 3 104 23 91
5 4 73 33 96
6 5 90 34 59
7 6 29 35 114
8 7 39 38 106
9 8 71 51 103
10 9 96 54 95
11 0 67 55 126
12 1 36 56 119
13 2 26 65 130
14 3 68 73 141
15 4 4 81 111
16 5 102 89 149
17 6 11 98 115
18 7 51 100 119
19 8 109 108 184
20 9 22 110 170
21 0 37 111 179
22 1 44 119 146
23 2 81 136 166
24 3 104 139 207
25 4 24 141 204
26 5 94 145 186
27 6 77 146 217
28 7 6 147 183
29 8 15 147 177
30 9 35 149 209
31 0 85 151 195
32 1 95 152 201
33 2 119 157 249
34 3 76 157 228
35 4 70 157 206
36 5 78 159 232
37 6 97 164 213
38 7 117 164 243
39 8 43 171 193
40 9 86 172 205
41 0 87 186 235
42 1 47 198 234
43 2 67 204 272
44 3 65 204 264
45 4 11 207 221
46 5 78 213 286
47 6 54 214 244
48 7 80 239 258
49 8 70 245 294
50 9 23 249 312
51 0 119 251 346
52 1 79 252 333
53 2 83 266 302
54 3 112 275 346
55 4 23 276 336
56 5 88 278 322
57 6 7 281 322
58 7 0 283 297
59 8 76 289 354
60 9 22 299 359
