ID: 10-60-small-360-526331836-8
Seed: 526331836

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 10
Tasks: 60
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 6.08

Influx: Burst
LambdaPerHour: 60
BurstAmount: 18
BurstStartStep: 123
BurstDurationSteps: 62
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 8 4 40
2 1 87 13 59
3 2 54 22 58
4 3 99 23 80
5 4 70 33 82
6 5 87 34 75
7 6 34 35 92
8 7 46 38 63
9 8 67 51 116
10 9 90 54 73
11 0 64 55 118
12 1 44 56 83
13 2 31 65 114
14 3 62 73 125
15 4 6 81 117
16 5 98 89 141
17 6 14 98 123
18 7 54 100 127
19 8 102 108 165
20 9 23 110 173
21 0 45 111 144
22 1 49 119 160
23 2 76 136 209
24 3 99 139 196
25 4 28 141 214
26 5 89 145 191
27 6 72 146 203
28 7 8 147 188
29 8 18 147 185
30 9 43 149 168
31 0 82 151 187
32 1 90 152 182
33 2 118 157 247
34 3 71 157 214
35 4 64 157 214
36 5 73 159 219
37 6 93 164 202
38 7 114 164 235
39 8 48 171 207
40 9 84 172 199
41 0 85 186 230
42 1 51 198 225
43 2 67 204 272
44 3 63 204 258
45 4 14 207 229
46 5 73 213 273
47 6 56 214 250
48 7 75 239 302
49 8 65 245 305
50 9 26 249 320
51 0 118 251 343
52 1 73 252 317
53 2 80 266 293
54 3 109 275 356
55 4 28 276 349
56 5 86 278 316
57 6 9 281 327
58 7 0 283 297
59 8 72 289 343
60 9 24 299 360
