ID: 10-60-small-360-63234971-3
Seed: 63234971

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 10
Tasks: 60
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 6.08

Influx: Poisson
LambdaPerHour: 60
BurstAmount: 18
BurstStartStep: 123
BurstDurationSteps: 62
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 6 8 38
2 1 15 30 57
3 2 17 34 67
4 3 54 34 67
5 4 60 36 82
6 5 62 41 90
7 6 76 43 111
8 7 85 53 86
9 8 4 56 92
10 9 119 56 137
11 0 31 57 109
12 1 115 57 138
13 2 60 59 108
14 3 11 60 74
15 4 68 62 130
16 5 30 82 123
17 6 69 85 153
18 7 103 86 146
19 8 44 89 114
20 9 45 94 119
21 0 18 100 138
22 1 118 107 197
23 2 42 113 135
24 3 49 114 152
25 4 36 116 176
26 5 66 116 176
27 6 46 117 144
28 7 87 124 162
29 8 17 124 160
30 9 84 143 170
31 0 115 145 229
32 1 2 157 174
33 2 10 158 167
34 3 56 161 199
35 4 8 165 206
36 5 116 173 252
37 6 38 173 241
38 7 21 182 236
39 8 43 187 209
40 9 5 190 226
41 0 42 201 226
42 1 16 213 243
43 2 45 215 245
44 3 59 217 263
45 4 80 225 250
46 5 83 237 267
47 6 72 238 295
48 7 4 250 280
49 8 24 252 320
50 9 99 255 304
51 0 74 262 333
52 1 11 262 279
53 2 84 267 305
54 3 30 273 317
55 4 43 280 302
56 5 23 287 344
57 6 13 290 312
58 7 61 298 342
59 8 20 302 354
60 9 4 307 340
