ID: 10-60-small-360-63234971-7
Seed: 63234971

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 10
Tasks: 60
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 6.08

Influx: Burst
LambdaPerHour: 60
BurstAmount: 18
BurstStartStep: 123
BurstDurationSteps: 62
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 51 8 38
2 1 12 10 29
3 2 64 14 74
4 3 41 20 37
5 4 90 21 48
6 5 0 25 36
7 6 51 26 48
8 7 50 27 38
9 8 68 28 96
10 9 80 35 52
11 0 81 37 70
12 1 70 44 96
13 2 71 49 109
14 3 0 52 61
15 4 80 61 86
16 5 51 62 84
17 6 40 62 73
18 7 50 69 80
19 8 1 86 113
20 9 80 88 105
21 0 12 89 111
22 1 3 91 110
23 2 0 96 107
24 3 51 105 130
25 4 41 117 134
26 5 1 119 138
27 6 80 140 162
28 7 11 142 156
29 8 0 142 161
30 9 115 146 217
31 0 55 148 189
32 1 90 150 180
33 2 10 150 159
34 3 12 150 167
35 4 11 151 165
36 5 40 152 163
37 6 63 153 205
38 7 17 153 183
39 8 1 157 184
40 9 41 160 174
41 0 13 161 186
42 1 75 164 235
43 2 35 164 224
44 3 50 182 199
45 4 1 187 209
46 5 118 206 290
47 6 107 232 305
48 7 0 234 248
49 8 41 237 254
50 9 23 241 304
51 0 11 242 261
52 1 105 245 318
53 2 1 250 269
54 3 81 251 278
55 4 50 258 275
56 5 10 263 272
57 6 11 284 301
58 7 51 288 307
59 8 58 296 334
60 9 12 298 317
