ID: 120-360-large-713150182-0
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Random
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 520 0 150
2 1 602 2 95
3 2 213 3 195
4 3 448 4 223
5 4 79 5 155
6 5 589 8 266
7 6 189 10 184
8 7 203 12 201
9 8 320 13 196
10 9 450 15 210
11 10 68 15 168
12 11 386 16 106
13 12 13 16 64
14 13 138 17 83
15 14 211 17 197
16 15 159 18 111
17 16 466 19 253
18 17 88 19 208
19 18 66 24 201
20 19 473 25 277
21 20 268 26 119
22 21 306 26 182
23 22 549 27 207
24 23 394 27 114
25 24 219 28 238
26 25 220 31 250
27 26 338 32 239
28 27 707 33 297
29 28 265 33 102
30 29 270 34 88
31 30 359 35 290
32 31 377 35 113
33 32 509 35 149
34 33 84 37 235
35 34 120 40 55
36 35 679 40 232
37 36 681 41 260
38 37 571 42 255
39 38 186 42 204
40 39 208 43 244
41 40 13 43 79
42 41 623 43 133
43 42 246 44 101
44 43 504 47 149
45 44 436 47 215
46 45 278 47 134
47 46 653 48 183
48 47 255 49 79
49 48 329 51 264
50 49 562 51 252
51 50 95 52 256
52 51 437 53 218
53 52 620 53 131
54 53 333 53 218
55 54 118 54 318
56 55 155 55 151
57 56 330 57 225
58 57 357 59 281
59 58 591 60 279
60 59 263 60 123
61 60 6 61 151
62 61 470 63 279
63 62 404 64 172
64 63 183 66 228
65 64 669 67 238
66 65 102 68 299
67 66 175 68 209
68 67 73 70 250
69 68 213 70 265
70 69 535 71 197
71 70 510 71 131
72 71 277 75 147
73 72 131 76 136
74 73 527 78 210
75 74 566 79 271
76 75 484 81 120
77 76 500 83 137
78 77 503 84 144
79 78 683 86 290
80 79 19 87 183
81 80 143 87 189
82 81 167 88 235
83 82 544 88 223
84 83 204 88 286
85 84 112 89 350
86 85 179 89 248
87 86 288 89 233
88 87 501 90 150
89 88 250 90 117
90 89 545 93 225
91 90 43 95 263
92 91 304 96 276
93 92 310 97 247
94 93 412 97 202
95 94 227 100 352
96 95 87 101 326
97 96 342 103 355
98 97 282 104 245
99 98 377 104 158
100 99 576 105 291
101 100 437 108 258
102 101 629 108 186
103 102 246 110 197
104 103 643 110 227
105 104 395 111 198
106 105 348 112 370
107 106 651 114 213
108 107 575 114 282
109 108 123 115 208
110 109 234 115 379
111 110 674 117 270
112 111 478 119 359
113 112 346 119 365
114 113 226 120 375
115 114 91 121 358
116 115 441 123 330
117 116 638 123 213
118 0 279 124 250
119 1 610 124 214
120 117 330 124 319
121 118 480 124 145
122 119 98 124 355
123 2 549 125 326
124 3 672 126 324
125 4 488 126 204
126 5 540 128 287
127 6 35 129 216
128 7 120 129 165
129 8 48 129 258
130 9 551 130 310
131 10 69 131 287
132 11 677 132 330
133 12 29 133 244
134 13 467 133 391
135 14 129 133 184
136 15 280 134 239
137 16 414 136 265
138 17 571 136 337
139 18 163 136 256
140 19 650 136 289
141 20 25 136 226
142 21 66 136 298
143 22 349 138 366
144 23 675 138 324
145 24 100 138 366
146 25 600 140 215
147 26 181 141 282
148 27 118 142 376
149 28 361 144 177
150 29 446 145 334
151 30 314 146 314
152 31 372 148 211
153 32 27 148 250
154 33 628 150 270
155 34 84 150 339
156 35 23 150 225
157 36 393 150 252
158 37 158 150 246
159 38 402 151 265
160 39 411 151 268
161 40 689 154 373
162 41 26 155 242
163 42 211 156 345
164 43 329 157 364
165 44 671 158 335
166 45 427 158 317
167 46 274 160 226
168 47 602 162 210
169 48 465 162 399
170 49 678 163 367
171 50 714 163 418
172 51 214 164 350
173 52 587 168 399
174 53 451 169 340
175 54 204 171 384
176 55 51 171 303
177 56 419 173 308
178 57 495 174 234
179 58 196 176 326
180 59 293 178 268
181 60 177 178 322
182 61 686 178 397
183 62 232 178 403
184 63 156 178 268
185 64 247 180 225
186 65 576 181 373
187 66 595 181 430
188 67 360 182 212
189 68 405 183 297
190 69 282 184 298
191 70 236 184 412
192 71 564 186 360
193 72 696 186 411
194 73 501 186 264
195 74 578 187 394
196 75 70 187 349
197 76 429 188 341
198 77 532 191 293
199 78 205 192 420
200 79 151 192 288
201 80 347 195 441
202 81 607 196 253
203 82 582 196 397
204 83 187 197 368
205 84 217 197 425
206 85 300 197 356
207 86 651 198 318
208 87 238 198 450
209 88 477 199 415
210 89 2 200 263
211 90 228 201 480
212 91 338 202 421
213 92 690 202 382
214 93 625 204 285
215 94 262 204 285
216 95 488 206 242
217 96 470 206 431
218 97 330 206 404
219 98 493 206 242
220 99 173 206 341
221 100 526 208 316
222 101 694 209 389
223 102 677 210 387
224 103 425 210 387
225 104 223 210 468
226 105 146 211 331
227 106 410 212 308
228 107 54 214 355
229 108 573 215 407
230 109 435 217 388
231 110 546 218 380
232 111 649 219 339
233 112 242 221 275
234 113 599 221 440
235 114 290 222 360
236 115 681 223 406
237 116 74 223 421
238 117 554 224 371
239 118 648 224 335
240 119 622 225 279
241 0 579 226 484
242 1 275 226 337
243 2 22 226 298
244 3 31 226 289
245 4 75 227 365
246 5 163 229 325
247 6 102 230 461
248 7 567 230 467
249 8 227 233 461
250 9 439 233 425
251 10 700 235 478
252 11 269 237 324
253 12 449 237 468
254 13 446 238 457
255 14 577 238 472
256 15 404 238 367
257 16 540 238 394
258 17 566 243 450
259 18 715 243 528
260 19 532 245 398
261 20 185 245 395
262 21 702 247 499
263 22 358 247 481
264 23 535 248 386
265 24 82 249 453
266 25 602 249 330
267 26 646 249 405
268 27 502 250 343
269 28 140 250 304
270 29 382 251 320
271 30 233 252 477
272 31 560 252 456
273 32 556 252 438
274 33 476 253 496
275 34 654 256 400
276 35 617 256 334
277 36 13 256 316
278 37 362 257 308
279 38 496 258 333
280 39 693 258 477
281 40 312 259 394
282 41 131 259 274
283 42 709 259 535
284 43 2 260 326
285 44 683 260 470
286 45 45 261 396
287 46 282 265 358
288 47 689 265 478
289 48 386 266 362
290 49 493 266 335
291 50 245 266 311
292 51 351 267 474
293 52 600 267 309
294 53 572 268 454
295 54 676 268 466
296 55 528 269 413
297 56 153 270 351
298 57 17 271 337
299 58 65 272 440
300 59 324 272 446
301 60 482 273 327
302 61 33 275 380
303 62 522 275 389
304 63 126 276 339
305 64 432 278 413
306 65 208 279 480
307 66 614 279 357
308 67 92 280 493
309 68 166 280 421
310 69 506 280 364
311 70 235 281 506
312 71 263 282 351
313 72 173 282 420
314 73 189 284 482
315 74 317 284 446
316 75 698 284 500
317 76 638 285 384
318 77 682 285 462
319 78 206 286 517
320 79 553 287 449
321 80 545 288 438
322 81 23 289 400
323 82 334 290 470
324 83 576 291 474
325 84 219 291 525
326 85 427 291 465
327 86 202 291 501
328 87 199 292 475
329 88 292 292 397
330 89 575 292 469
331 90 121 293 371
332 91 711 294 528
333 92 685 297 489
334 93 110 301 544
335 94 261 301 379
336 95 187 307 484
337 96 436 307 478
338 97 708 307 550
339 98 232 307 550
340 99 346 310 559
341 100 150 310 391
342 101 535 311 410
343 102 457 314 527
344 103 152 314 425
345 104 549 315 483
346 105 582 315 531
347 106 383 316 394
348 107 42 318 462
349 108 148 318 462
350 109 149 319 463
351 110 62 319 517
352 111 331 319 514
353 112 557 320 464
354 113 68 326 527
355 114 132 327 411
356 115 671 328 478
357 116 408 328 475
358 117 484 332 380
359 118 96 336 564
360 119 651 336 426
