ID: 120-360-large-713150182-1
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Random
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 483 0 87
2 1 570 2 224
3 2 136 3 60
4 3 374 4 76
5 4 15 5 35
6 5 543 8 176
7 6 132 10 64
8 7 135 12 72
9 8 254 13 73
10 9 375 15 87
11 10 14 15 39
12 11 362 16 58
13 12 1 16 67
14 13 122 17 56
15 14 168 17 137
16 15 126 18 57
17 16 457 19 229
18 17 33 19 76
19 18 14 24 78
20 19 467 25 280
21 20 243 26 68
22 21 252 26 71
23 22 494 27 93
24 23 365 27 72
25 24 150 28 103
26 25 136 31 85
27 26 284 32 146
28 27 682 33 246
29 28 240 33 51
30 29 241 34 52
31 30 337 35 248
32 31 361 35 86
33 32 483 35 95
34 33 16 37 88
35 34 120 40 55
36 35 613 40 106
37 36 612 41 128
38 37 493 42 117
39 38 132 42 75
40 39 135 43 82
41 40 1 43 82
42 41 600 43 88
43 42 240 44 77
44 43 461 47 272
45 44 371 47 92
46 45 243 47 80
47 46 604 48 105
48 47 223 49 262
49 48 253 51 99
50 49 491 51 114
51 50 43 52 187
52 51 370 53 83
53 52 579 53 263
54 53 252 53 71
55 54 84 54 279
56 55 123 55 118
57 56 251 57 84
58 57 263 59 134
59 58 503 60 132
60 59 212 60 231
61 60 0 61 127
62 61 376 63 123
63 62 363 64 97
64 63 132 66 108
65 64 611 67 115
66 65 69 68 248
67 66 131 68 125
68 67 15 70 148
69 68 174 70 196
70 69 485 71 116
71 70 481 71 95
72 71 245 75 114
73 72 122 76 148
74 73 490 78 120
75 74 495 79 133
76 75 427 81 237
77 76 480 83 101
78 77 481 84 102
79 78 615 86 161
80 79 2 87 171
81 80 124 87 156
82 81 131 88 136
83 82 492 88 118
84 83 139 88 148
85 84 116 89 362
86 85 134 89 161
87 86 250 89 128
88 87 481 90 114
89 88 241 90 129
90 89 491 93 114
91 90 11 95 176
92 91 254 96 159
93 92 255 97 154
94 93 371 97 127
95 94 196 100 268
96 95 41 101 236
97 96 328 103 337
98 97 245 104 182
99 98 362 104 152
100 99 515 105 180
101 100 375 108 144
102 101 603 108 132
103 102 215 110 341
104 103 605 110 161
105 104 364 111 168
106 105 296 112 247
107 106 610 114 132
108 107 494 114 135
109 108 112 115 388
110 109 136 115 205
111 110 613 117 159
112 111 418 119 251
113 112 255 119 173
114 113 155 120 219
115 114 43 121 301
116 115 373 123 183
117 116 602 123 156
118 0 241 124 181
119 1 560 124 343
120 117 253 124 184
121 118 439 124 289
122 119 34 124 235
123 2 491 125 203
124 3 611 126 213
125 4 441 126 315
126 5 485 128 194
127 6 4 129 186
128 7 97 129 327
129 8 11 129 156
130 9 492 130 205
131 10 15 131 158
132 11 613 132 210
133 12 3 133 190
134 13 390 133 229
135 14 122 133 163
136 15 244 134 179
137 16 370 136 175
138 17 505 136 232
139 18 130 136 172
140 19 605 136 229
141 20 10 136 166
142 21 25 136 223
143 22 303 138 276
144 23 612 138 207
145 24 84 138 348
146 25 545 140 326
147 26 131 141 171
148 27 106 142 379
149 28 302 144 276
150 29 372 145 187
151 30 251 146 197
152 31 289 148 283
153 32 4 148 205
154 33 595 150 402
155 34 17 150 195
156 35 8 150 204
157 36 360 150 198
158 37 124 150 207
159 38 362 151 193
160 39 363 151 193
161 40 634 154 259
162 41 3 155 197
163 42 135 156 213
164 43 253 157 205
165 44 613 158 233
166 45 373 158 206
167 46 241 160 178
168 47 571 162 348
169 48 452 162 363
170 49 612 163 241
171 50 703 163 406
172 51 134 164 206
173 52 501 168 237
174 53 375 169 208
175 54 132 171 225
176 55 11 171 231
177 56 365 173 215
178 57 480 174 210
179 58 131 176 203
180 59 244 178 208
181 60 126 178 256
182 61 628 178 295
183 62 167 178 319
184 63 123 178 232
185 64 217 180 372
186 65 495 181 226
187 66 534 181 319
188 67 341 182 413
189 68 370 183 207
190 69 245 184 235
191 70 193 184 331
192 71 493 186 222
193 72 655 186 336
194 73 481 186 228
195 74 509 187 280
196 75 14 187 253
197 76 372 188 209
198 77 487 191 227
199 78 136 192 270
200 79 124 192 270
201 80 339 195 402
202 81 598 196 433
203 82 533 196 301
204 83 134 197 242
205 84 188 197 401
206 85 252 197 251
207 86 610 198 237
208 87 230 198 426
209 88 438 199 346
210 89 0 200 251
211 90 238 201 471
212 91 329 202 433
213 92 638 202 304
214 93 601 204 237
215 94 243 204 252
216 95 480 206 212
217 96 424 206 380
218 97 301 206 380
219 98 481 206 239
220 99 130 206 260
221 100 485 208 241
222 101 651 209 308
223 102 613 210 267
224 103 371 210 258
225 104 178 210 366
226 105 122 211 283
227 106 370 212 236
228 107 12 214 277
229 108 503 215 308
230 109 374 217 277
231 110 492 218 251
232 111 604 219 252
233 112 216 221 434
234 113 531 221 308
235 114 245 222 312
236 115 622 223 301
237 116 15 223 316
238 117 491 224 254
239 118 603 224 248
240 119 592 225 426
241 0 495 226 328
242 1 242 226 283
243 2 2 226 262
244 3 7 226 274
245 4 20 227 281
246 5 131 229 256
247 6 99 230 437
248 7 494 230 323
249 8 184 233 380
250 9 372 233 296
251 10 664 235 418
252 11 241 237 264
253 12 375 237 321
254 13 373 238 313
255 14 507 238 355
256 15 363 238 292
257 16 490 238 289
258 17 511 243 336
259 18 707 243 525
260 19 485 245 326
261 20 130 245 269
262 21 674 247 442
263 22 267 247 325
264 23 491 248 302
265 24 16 249 312
266 25 600 249 324
267 26 607 249 336
268 27 480 250 301
269 28 122 250 274
270 29 327 251 431
271 30 145 252 348
272 31 505 252 363
273 32 493 252 321
274 33 391 253 337
275 34 610 256 310
276 35 601 256 307
277 36 1 256 319
278 37 265 257 341
279 38 408 258 390
280 39 660 258 423
281 40 250 259 274
282 41 121 259 283
283 42 696 259 499
284 43 0 260 314
285 44 642 260 395
286 45 12 261 306
287 46 244 265 292
288 47 650 265 382
289 48 362 266 314
290 49 444 266 461
291 50 201 266 455
292 51 292 267 369
293 52 540 267 405
294 53 492 268 310
295 54 624 268 379
296 55 482 269 323
297 56 125 270 330
298 57 3 271 334
299 58 24 272 365
300 59 253 272 290
301 60 405 273 396
302 61 11 275 338
