ID: 120-360-large-713150182-2
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Random
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 505 0 129
2 1 552 2 200
3 2 264 3 93
4 3 418 4 160
5 4 105 5 218
6 5 541 8 170
7 6 217 10 223
8 7 245 12 75
9 8 312 13 175
10 9 417 15 165
11 10 81 15 183
12 11 397 16 118
13 12 27 16 121
14 13 170 17 125
15 14 259 17 89
16 15 178 18 144
17 16 427 19 184
18 17 120 19 28
19 18 77 24 195
20 19 431 25 199
21 20 289 26 158
22 21 302 26 170
23 22 525 27 159
24 23 401 27 132
25 24 265 28 121
26 25 263 31 115
27 26 332 32 221
28 27 693 33 258
29 28 287 33 144
30 29 288 34 145
31 30 374 35 107
32 31 389 35 146
33 32 488 35 110
34 33 109 37 286
35 34 161 40 136
36 35 656 40 187
37 36 657 41 215
38 37 534 42 192
39 38 206 42 240
40 39 247 43 85
41 40 26 43 133
42 41 592 43 271
43 42 280 44 155
44 43 478 47 302
45 44 414 47 173
46 45 292 47 152
47 46 642 48 171
48 47 283 49 142
49 48 320 51 237
50 49 530 51 177
51 50 123 52 103
52 51 413 53 170
53 52 590 53 266
54 53 324 53 224
55 54 156 54 156
56 55 175 55 187
57 56 327 57 255
58 57 374 59 104
59 58 545 60 210
60 59 285 60 165
61 60 13 61 133
62 61 432 63 219
63 62 404 64 172
64 63 199 66 237
65 64 650 67 178
66 65 141 68 140
67 66 190 68 230
68 67 89 70 313
69 68 254 70 112
70 69 520 71 173
71 70 488 71 116
72 71 294 75 174
73 72 165 76 229
74 73 511 78 165
75 74 531 79 193
76 75 436 81 231
77 76 460 83 281
78 77 465 84 294
79 78 658 86 242
80 79 34 87 204
81 80 171 87 210
82 81 184 88 262
83 82 521 88 178
84 83 245 88 133
85 84 155 89 203
86 85 200 89 296
87 86 296 89 218
88 87 464 90 315
89 88 282 90 204
90 89 524 93 186
91 90 54 95 257
92 91 305 96 279
93 92 310 97 247
94 93 407 97 226
95 94 271 100 169
96 95 119 101 359
97 96 352 103 346
98 97 295 104 245
99 98 393 104 182
100 99 536 105 219
101 100 415 108 216
102 101 612 108 138
103 102 281 110 254
104 103 634 110 203
105 104 401 111 231
106 105 361 112 157
107 106 642 114 207
108 107 537 114 216
109 108 162 115 277
110 109 275 115 226
111 110 654 117 234
112 111 435 119 278
113 112 362 119 161
114 113 272 120 198
115 114 125 121 223
116 115 417 123 267
117 116 624 123 198
118 0 293 124 268
119 1 569 124 370
120 117 329 124 355
121 118 440 124 301
122 119 140 124 214
123 2 526 125 281
124 3 652 126 288
125 4 450 126 315
126 5 522 128 257
127 6 47 129 267
128 7 160 129 237
129 8 56 129 243
130 9 525 130 277
131 10 85 131 311
132 11 655 132 288
133 12 44 133 265
134 13 425 133 313
135 14 165 133 244
136 15 291 134 251
137 16 405 136 259
138 17 534 136 274
139 18 178 136 274
140 19 639 136 286
141 20 42 136 253
142 21 79 136 298
143 22 345 138 354
144 23 653 138 282
145 24 141 138 219
146 25 554 140 332
147 26 195 141 291
148 27 159 142 229
149 28 379 144 210
150 29 416 145 271
151 30 311 146 305
152 31 387 148 253
153 32 43 148 274
154 33 605 150 225
155 34 111 150 357
156 35 40 150 246
157 36 400 150 270
158 37 179 150 285
159 38 403 151 268
160 39 407 151 277
161 40 665 154 325
162 41 45 155 275
163 42 260 156 231
164 43 319 157 331
165 44 651 158 299
166 45 411 158 272
167 46 290 160 250
168 47 557 162 330
169 48 429 162 339
170 49 656 163 325
171 50 708 163 421
172 51 263 164 236
173 52 542 168 312
174 53 419 169 292
175 54 237 171 420
176 55 60 171 339
177 56 406 173 290
178 57 456 174 369
179 58 225 176 404
180 59 295 178 274
181 60 193 178 346
182 61 661 178 346
183 62 272 178 247
184 63 176 178 304
185 64 281 180 279
186 65 536 181 301
187 66 547 181 355
188 67 371 182 224
189 68 404 183 294
190 69 294 184 295
191 70 277 184 259
192 71 533 186 294
193 72 674 186 369
194 73 487 186 246
195 74 538 187 322
196 75 91 187 388
197 76 415 188 290
198 77 521 191 281
199 78 244 192 261
200 79 174 192 333
201 80 355 195 426
202 81 567 196 385
203 82 540 196 319
204 83 215 197 389
205 84 264 197 305
206 85 301 197 365
207 86 641 198 309
208 87 276 198 288
209 88 433 199 331
210 89 4 200 269
211 90 269 201 327
212 91 335 202 412
213 92 666 202 361
214 93 603 204 243
215 94 287 204 336
216 95 452 206 371
217 96 431 206 362
218 97 326 206 431
219 98 463 206 437
220 99 190 206 368
221 100 514 208 271
222 101 671 209 344
223 102 655 210 345
224 103 412 210 333
225 104 268 210 327
226 105 173 211 349
227 106 407 212 338
228 107 61 214 391
229 108 534 215 338
230 109 414 217 349
231 110 524 218 338
232 111 643 219 321
233 112 281 221 344
234 113 554 221 353
235 114 296 222 378
236 115 658 223 358
237 116 93 223 454
238 117 528 224 356
239 118 640 224 311
240 119 597 225 441
241 0 537 226 406
242 1 291 226 361
243 2 39 226 316
244 3 46 226 343
245 4 89 227 416
246 5 179 229 352
247 6 143 230 314
248 7 533 230 392
249 8 270 233 311
250 9 413 233 371
251 10 681 235 445
252 11 289 237 360
253 12 419 237 405
254 13 418 238 400
255 14 540 238 406
256 15 402 238 361
257 16 523 238 367
258 17 536 243 387
259 18 711 243 516
260 19 516 245 374
261 20 196 245 401
262 21 687 247 478
263 22 357 247 478
264 23 518 248 359
265 24 106 249 501
266 25 560 249 456
267 26 641 249 390
268 27 467 250 490
269 28 168 250 364
270 29 389 251 341
271 30 269 252 354
272 31 531 252 396
273 32 527 252 396
274 33 432 253 412
275 34 646 256 397
276 35 593 256 490
277 36 26 256 370
278 37 369 257 329
279 38 458 258 471
280 39 676 258 450
281 40 306 259 397
282 41 165 259 367
283 42 702 259 514
284 43 5 260 335
285 44 666 260 443
286 45 54 261 384
287 46 293 265 364
288 47 670 265 418
289 48 397 266 374
290 49 456 266 476
291 50 279 266 356
292 51 363 267 303
293 52 559 267 441
294 53 539 268 403
295 54 658 268 436
296 55 513 269 371
297 56 176 270 396
298 57 30 271 352
299 58 73 272 425
300 59 314 272 401
301 60 438 273 450
302 61 45 275 431
303 62 506 275 365
304 63 163 276 402
305 64 411 278 374
306 65 251 279 294
307 66 585 279 519
308 67 126 280 358
309 68 183 280 448
310 69 472 280 493
311 70 276 281 353
312 71 286 282 396
313 72 191 282 450
314 73 219 284 509
315 74 311 284 428
316 75 679 284 467
317 76 627 285 372
318 77 659 285 420
319 78 252 286 340
320 79 526 287 413
321 80 522 288 393
322 81 40 289 421
323 82 329 290 494
324 83 536 291 402
325 84 266 291 405
326 85 410 291 399
327 86 248 291 363
328 87 240 292 331
329 88 296 292 409
330 89 537 292 403
331 90 164 293 452
332 91 704 294 528
333 92 662 297 444
334 93 155 301 403
335 94 289 301 439
336 95 228 307 559
337 96 417 307 445
338 97 699 307 526
339 98 277 307 409
340 99 373 310 349
341 100 178 310 451
342 101 521 311 401
343 102 422 314 485
344 103 176 314 473
345 104 527 315 441
346 105 542 315 459
347 106 396 316 394
348 107 54 318 459
349 108 175 318 480
350 109 174 319 475
351 110 75 319 517
352 111 335 319 526
353 112 530 320 407
354 113 87 326 560
355 114 168 327 510
356 115 655 328 454
357 116 406 328 469
358 117 442 332 530
359 118 141 336 438
360 119 642 336 426
