ID: 120-360-large-713150182-3
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Poisson
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 179 0 150
2 1 288 1 148
3 2 502 2 110
4 3 248 3 66
5 4 543 5 176
6 5 45 6 108
7 6 305 6 180
8 7 311 7 175
9 8 412 7 145
10 9 224 8 224
11 10 88 8 197
12 11 342 8 218
13 12 282 9 135
14 13 376 10 94
15 14 574 11 236
16 15 438 11 197
17 16 630 13 112
18 17 243 14 44
19 18 644 15 180
20 19 394 15 126
21 20 347 17 251
22 21 651 17 167
23 22 575 19 232
24 23 121 20 35
25 24 230 20 239
26 25 675 21 228
27 26 477 21 273
28 27 345 22 244
29 28 223 22 229
30 29 92 23 191
31 30 441 23 221
32 31 638 23 164
33 32 328 24 219
34 33 479 24 276
35 34 99 24 219
36 35 275 26 98
37 36 609 26 125
38 37 549 27 219
39 38 673 27 213
40 39 486 29 92
41 40 541 29 176
42 41 35 29 104
43 42 119 30 291
44 43 49 30 189
45 44 552 30 198
46 45 70 31 178
47 46 678 35 221
48 47 29 35 134
49 48 466 35 275
50 49 126 38 107
51 50 274 38 113
52 51 410 38 140
53 52 570 39 216
54 53 159 40 121
55 54 652 40 190
56 55 26 40 160
57 56 66 40 223
58 57 343 41 260
59 58 676 41 215
60 59 98 41 242
61 60 600 44 104
62 61 176 45 183
63 62 115 46 292
64 63 358 46 274
65 64 445 47 218
66 65 312 49 175
67 66 369 50 116
68 67 27 51 180
69 68 626 54 153
70 69 82 59 269
71 70 23 60 156
72 71 390 61 112
73 72 156 62 173
74 73 400 62 173
75 74 409 63 192
76 75 689 64 274
77 76 25 64 169
78 77 210 65 239
79 78 325 65 281
80 79 671 66 234
81 80 425 67 223
82 81 272 68 143
83 82 602 70 103
84 83 463 72 279
85 84 677 72 258
86 85 714 75 321
87 86 212 75 276
88 87 587 75 297
89 88 449 77 272
90 89 203 78 276
91 90 52 79 235
92 91 415 82 208
93 92 493 82 121
94 93 194 83 254
95 94 291 83 188
96 95 177 83 215
97 96 686 84 288
98 97 231 84 333
99 98 155 84 192
100 99 245 85 151
101 100 574 86 257
102 101 594 86 290
103 102 361 87 147
104 103 406 87 231
105 104 285 87 231
106 105 238 88 349
107 106 564 88 265
108 107 696 89 272
109 108 505 90 189
110 109 579 94 301
111 110 72 94 283
112 111 431 95 242
113 112 536 95 200
114 113 208 96 321
115 114 154 96 222
116 115 351 98 344
117 116 609 98 152
118 117 585 100 331
119 118 190 100 262
120 119 220 101 335
121 0 305 106 283
122 1 651 108 279
123 2 239 109 355
124 3 479 110 377
125 4 2 110 134
126 5 230 111 309
127 6 340 112 343
128 7 688 113 365
129 8 626 115 244
130 9 265 116 203
131 10 490 116 170
132 11 471 120 348
133 12 333 120 330
134 13 495 122 215
135 14 175 123 243
136 15 528 125 278
137 16 693 125 347
138 17 676 126 318
139 18 426 127 310
140 19 224 128 356
141 20 148 128 215
142 21 411 129 255
143 22 54 132 234
144 23 572 133 334
145 24 435 133 319
146 25 544 133 316
147 26 652 134 287
148 27 243 134 170
149 28 600 134 188
150 29 292 134 236
151 30 682 135 360
152 31 75 142 310
153 32 553 142 319
154 33 649 145 304
155 34 623 147 243
156 35 578 147 360
157 36 277 148 250
158 37 22 149 248
159 38 32 150 231
160 39 76 153 315
161 40 166 154 268
