ID: 120-360-large-713150182-4
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Poisson
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 131 0 54
2 1 245 1 67
3 2 481 2 71
4 3 226 3 228
5 4 491 5 71
6 5 11 6 21
7 6 252 6 72
8 7 253 7 73
9 8 370 7 61
10 9 146 8 86
11 10 27 8 86
12 11 286 8 122
13 12 243 9 66
14 13 361 10 70
15 14 515 11 131
16 15 374 11 77
17 16 603 13 82
18 17 157 14 89
19 18 605 15 111
20 19 362 15 75
21 20 255 17 74
22 21 610 17 86
23 22 495 19 88
24 23 76 20 161
25 24 134 20 71
26 25 613 21 114
27 26 405 21 150
28 27 251 22 61
29 28 132 22 43
30 29 15 23 56
31 30 372 23 89
32 31 601 23 98
33 32 245 24 66
34 33 424 24 180
35 34 18 24 72
36 35 220 26 218
37 36 549 26 221
38 37 490 27 87
39 38 612 27 102
40 39 409 29 161
41 40 483 29 74
42 41 4 29 74
43 42 101 30 276
44 43 11 30 84
45 44 484 30 87
46 45 14 31 82
47 46 611 35 92
48 47 3 35 80
49 48 371 35 89
50 49 122 38 95
51 50 242 38 74
52 51 361 38 68
53 52 491 39 81
54 53 126 40 85
55 54 603 40 112
56 55 8 40 130
57 56 16 40 106
58 57 254 41 74
59 58 610 41 83
60 59 90 41 218
61 60 495 44 116
62 61 131 45 96
63 62 116 46 295
64 63 270 46 106
65 64 372 47 74
66 65 251 49 64
67 66 311 50 203
68 67 3 51 132
69 68 601 54 102
70 69 34 59 158
71 70 4 60 123
72 71 362 61 79
73 72 125 62 143
74 73 363 62 110
75 74 365 63 108
76 75 629 64 166
77 76 10 64 109
78 77 136 65 113
79 78 255 65 128
80 79 612 66 129
81 80 372 67 97
82 81 243 68 119
83 82 580 70 265
84 83 450 72 225
85 84 613 72 138
86 85 703 75 309
87 86 149 75 198
88 87 526 75 186
89 88 395 77 143
90 89 135 78 129
91 90 12 79 163
92 91 371 82 124
93 92 480 82 103
94 93 133 83 143
95 94 250 83 113
96 95 130 83 122
97 96 627 84 183
98 97 196 84 276
99 98 123 84 159
100 99 240 85 130
101 100 495 86 116
102 101 550 86 206
103 102 360 87 138
104 103 370 87 132
105 104 249 87 171
106 105 224 88 346
107 106 497 88 121
108 107 654 89 194
109 108 482 90 144
110 109 541 94 250
111 110 15 94 184
112 111 374 95 143
113 112 491 95 113
114 113 136 96 162
115 114 125 96 198
116 115 320 98 308
117 116 601 98 128
118 117 539 100 226
119 118 135 100 169
120 119 210 101 296
121 0 253 106 178
122 1 610 108 198
123 2 230 109 322
124 3 463 110 350
125 4 0 110 122
126 5 229 111 333
127 6 318 112 304
128 7 633 113 251
129 8 601 115 193
130 9 242 116 158
131 10 480 116 167
132 11 412 120 243
133 12 268 120 228
134 13 475 122 383
135 14 131 123 159
136 15 485 125 197
