ID: 120-360-large-713150182-5
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Poisson
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 199 0 186
2 1 296 1 151
3 2 472 2 251
4 3 284 3 126
5 4 523 5 140
6 5 55 6 105
7 6 305 6 180
8 7 310 7 166
9 8 407 7 151
10 9 270 8 83
11 10 125 8 38
12 11 352 8 227
13 12 294 9 150
14 13 394 10 124
15 14 535 11 167
16 15 416 11 155
17 16 608 13 97
18 17 280 14 107
19 18 633 15 150
20 19 402 15 147
21 20 360 17 62
22 21 641 17 158
23 22 536 19 163
24 23 162 20 110
25 24 272 20 113
26 25 654 21 189
27 26 434 21 192
28 27 351 22 241
29 28 267 22 97
30 29 127 23 59
31 30 417 23 176
32 31 625 23 146
33 32 322 24 201
34 33 437 24 198
35 34 139 24 63
36 35 291 26 122
37 36 569 26 257
38 37 526 27 174
39 38 653 27 177
40 39 445 29 221
41 40 522 29 143
42 41 47 29 155
43 42 160 30 147
44 43 56 30 171
45 44 527 30 168
46 45 84 31 235
47 46 656 35 179
48 47 44 35 155
49 48 426 35 203
50 49 164 38 173
51 50 292 38 143
52 51 405 38 152
53 52 534 39 162
54 53 176 40 148
55 54 642 40 181
56 55 41 40 181
57 56 75 40 211
58 57 343 41 260
59 58 655 41 176
60 59 131 41 65
61 60 554 44 221
62 61 190 45 201
63 62 154 46 133
64 63 362 46 73
