ID: 120-360-large-713150182-6
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Burst
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 502 0 120
2 1 246 0 69
3 2 335 0 210
4 3 397 1 118
5 4 209 1 190
6 5 700 2 245
7 6 127 3 63
8 7 387 3 120
9 8 240 3 42
10 9 542 5 179
11 10 591 5 248
12 11 545 6 177
13 12 457 6 240
14 13 693 6 249
15 14 163 8 113
16 15 430 8 164
17 16 660 9 177
18 17 108 16 241
19 18 461 16 256
20 19 232 18 243
21 20 186 19 172
22 21 487 20 95
23 22 34 22 88
24 23 360 22 52
25 24 372 23 92
26 25 192 23 173
27 26 117 24 258
28 27 531 26 161
29 28 230 26 221
30 29 453 27 216
31 30 326 27 228
32 31 68 36 222
33 32 449 36 246
34 33 278 36 129
35 34 489 38 104
36 35 520 38 146
37 36 242 38 80
38 37 475 40 289
39 38 181 41 188
40 39 390 42 114
41 40 297 43 157
42 41 260 45 90
43 42 258 47 113
44 43 583 48 291
45 44 349 49 283
46 45 393 49 133
47 46 345 50 260
48 47 508 51 141
49 48 274 51 138
50 49 577 51 276
51 50 438 53 224
52 51 166 55 184
53 52 170 56 149
54 53 685 57 255
55 54 394 57 153
56 55 346 58 298
57 56 210 60 240
58 57 255 60 96
59 58 272 60 114
60 59 571 62 242
61 60 653 63 213
62 61 184 63 240
63 62 341 64 283
64 63 522 64 175
65 64 382 65 119
66 65 121 66 102
67 66 489 66 138
68 67 634 67 178
69 68 356 67 295
70 69 270 68 131
71 70 263 69 141
72 71 607 70 121
73 72 659 71 233
74 73 21 72 186
75 74 456 74 263
76 75 203 74 278
77 76 107 75 330
78 77 553 76 217
79 78 5 77 173
80 79 13 78 156
81 80 502 79 148
82 81 628 80 176
83 82 649 80 206
84 83 192 80 227
85 84 319 81 267
86 85 267 83 197
87 86 335 86 284
88 87 375 87 126
89 88 32 88 181
90 89 638 89 179
91 90 97 91 334
92 91 541 91 238
93 92 147 91 211
94 93 259 91 157
95 94 706 93 312
96 95 538 95 206
97 96 650 96 213
98 97 560 97 280
99 98 665 99 252
100 99 180 99 264
101 100 523 99 198
102 101 183 105 273
103 102 701 105 327
104 103 327 105 336
105 104 125 106 190
106 105 514 106 175
107 106 712 107 317
108 107 537 108 210
109 108 323 108 333
110 109 420 109 268
111 110 412 110 227
112 111 403 110 236
113 112 28 110 242
114 113 86 111 342
115 114 409 112 274
116 115 485 113 176
117 116 631 114 183
118 117 206 114 348
119 118 209 115 349
120 119 357 116 356
121 0 576 117 366
122 1 405 117 267
123 2 163 118 229
124 3 600 120 195
125 4 40 120 210
126 5 449 121 331
127 6 393 122 239
128 7 279 123 243
129 8 19 124 175
130 9 679 126 342
131 10 78 128 272
132 11 345 130 349
133 12 251 130 190
134 13 583 131 389
135 14 607 131 224
136 15 182 132 267
137 16 673 132 318
138 17 555 133 310
139 18 127 134 194
140 19 112 134 359
141 20 483 142 208
142 21 421 148 301
143 22 220 148 343
144 23 266 148 220
145 24 71 149 305
146 25 502 151 256
147 26 257 152 212
148 27 224 153 372
149 28 659 154 316
150 29 586 154 391
151 30 644 155 314
152 31 585 155 410
153 32 549 156 342
154 33 666 157 343
155 34 636 158 272
156 35 685 158 365
157 36 247 158 215
158 37 384 158 251
159 38 603 158 227
160 39 341 158 362
161 40 482 158 200
162 41 564 158 347
163 42 615 159 252
164 43 674 159 354
165 44 714 159 417
166 45 161 159 270
167 46 111 159 372
168 47 23 160 241
169 48 632 160 277
170 49 388 160 259
171 50 10 160 205
172 51 305 161 311
173 52 31 161 233
174 53 294 161 257
175 54 403 161 281
176 55 68 161 359
177 56 26 162 273
178 57 321 162 339
179 58 715 163 406
180 59 122 163 199
181 60 620 164 260
182 61 21 164 272
183 62 376 164 215
184 63 543 164 314
185 64 100 164 386
186 65 696 165 369
187 66 281 166 292
188 67 420 166 310
189 68 575 167 368
190 69 582 168 384
191 70 54 168 294
192 71 75 168 330
193 72 107 169 448
194 73 625 169 271
195 74 90 170 371
196 75 393 170 239
197 76 89 170 395
198 77 70 171 321
199 78 171 171 306
200 79 27 171 306
201 80 569 171 369
202 81 60 171 339
203 82 48 172 325
204 83 291 172 268
205 84 20 172 286
206 85 533 173 296
207 86 295 173 299
208 87 167 173 323
209 88 314 174 321
210 89 401 174 270
211 90 391 174 255
212 91 299 174 324
213 92 513 175 250
214 93 44 175 331
215 94 40 175 304
216 95 189 175 358
217 96 532 176 293
218 97 515 176 263
219 98 706 177 405
220 99 597 177 402
221 100 188 177 363
222 101 19 178 259
223 102 418 178 322
224 103 567 178 385
225 104 492 178 208
226 105 478 178 415
227 106 396 179 257
228 107 380 179 239
229 108 649 180 315
230 109 653 180 303
231 110 426 180 354
232 111 155 180 291
233 112 179 181 331
234 113 606 184 211
235 114 73 185 392
236 115 602 185 227
237 116 584 185 416
238 117 302 186 360
239 118 143 187 295
240 119 658 188 299
241 0 363 190 265
242 1 544 190 385
243 2 453 191 407
244 3 641 191 341
245 4 177 191 311
246 5 657 194 359
247 6 546 194 395
248 7 635 195 339
249 8 463 203 443
250 9 293 204 330
251 10 131 204 231
252 11 408 207 339
253 12 592 211 478
254 13 383 211 313
255 14 150 213 276
256 15 489 213 297
257 16 511 213 309
258 17 517 216 327
259 18 364 218 287
260 19 184 220 376
261 20 456 220 436
262 21 334 220 415
263 22 174 220 322
264 23 371 223 265
265 24 645 223 388
266 25 717 224 509
267 26 617 225 321
268 27 180 225 360
269 28 390 231 300
270 29 367 231 279
271 30 417 233 386
272 31 352 238 469
273 32 469 239 485
274 33 275 242 326
275 34 156 242 308
276 35 71 242 374
277 36 647 243 408
278 37 455 246 459
279 38 684 247 463
280 39 242 248 275
281 40 564 251 443
282 41 540 252 393
283 42 529 252 408
284 43 316 253 418
285 44 343 254 470
286 45 154 255 330
287 46 166 258 375
288 47 603 258 309
289 48 26 258 378
290 49 446 260 461
291 50 485 260 317
292 51 86 260 473
293 52 151 262 322
294 53 505 264 342
295 54 584 265 508
296 55 247 266 329
297 56 304 266 419
298 57 533 267 393
299 58 236 267 489
300 59 502 267 333
301 60 212 268 469
302 61 324 271 472
303 62 119 271 529
304 63 428 273 426
305 64 164 274 394
306 65 55 277 400
307 66 332 277 469
308 67 497 278 350
309 68 563 279 465
310 69 325 280 475
311 70 419 282 399
312 71 411 283 373
313 72 238 284 545
314 73 495 284 347
315 74 257 284 338
316 75 551 285 432
317 76 24 287 389
318 77 716 289 523
319 78 261 289 385
320 79 41 290 443
321 80 195 291 462
322 81 691 291 483
323 82 616 292 346
324 83 667 292 445
325 84 505 292 379
326 85 521 294 402
327 86 614 295 352
328 87 474 297 513
329 88 562 298 460
330 89 208 298 511
331 90 128 299 398
332 91 712 300 537
333 92 263 305 401
334 93 516 305 386
335 94 559 306 459
336 95 710 310 511
337 96 449 310 535
338 97 233 310 565
339 98 599 311 545
340 99 646 312 429
341 100 160 312 432
342 101 103 312 564
343 102 59 320 503
344 103 130 320 389
345 104 497 320 365
346 105 299 322 466
347 106 523 325 427
348 107 298 325 454
349 108 611 325 373
350 109 438 327 507
351 110 73 328 520
352 111 222 329 584
353 112 401 330 441
354 113 146 330 441
355 114 417 331 478
356 115 396 332 437
357 116 479 333 582
358 117 275 336 438
359 118 246 337 406
360 119 503 337 406
