ID: 120-360-large-713150182-7
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Burst
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 481 0 81
2 1 212 0 198
3 2 255 0 66
4 3 363 1 61
5 4 134 1 40
6 5 664 2 185
7 6 120 3 42
8 7 362 3 69
9 8 203 3 183
10 9 492 5 80
11 10 557 5 194
12 11 491 6 66
13 12 375 6 90
14 13 647 6 180
15 14 125 8 47
16 15 372 8 68
17 16 611 9 81
18 17 60 16 139
19 18 378 16 106
20 19 136 18 75
21 20 130 19 43
22 21 460 20 242
23 22 4 22 61
24 23 283 22 121
25 24 319 23 209
26 25 132 23 65
27 26 100 24 240
28 27 485 26 92
29 28 190 26 149
30 29 374 27 75
31 30 253 27 84
32 31 14 36 93
33 32 377 36 105
34 33 244 36 72
35 34 477 38 275
36 35 484 38 86
37 36 184 38 206
38 37 426 40 211
39 38 131 41 71
40 39 362 42 81
41 40 250 43 58
42 41 240 45 54
43 42 241 47 89
44 43 522 48 180
45 44 299 49 178
46 45 364 49 91
47 46 279 50 131
48 47 482 51 87
49 48 242 51 99
50 49 514 51 159
51 50 374 53 104
52 51 126 55 112
53 52 130 56 77
54 53 623 57 141
55 54 363 57 105
56 55 285 58 187
57 56 135 60 111
58 57 240 60 84
59 58 245 60 96
60 59 510 62 125
61 60 610 63 126
62 61 131 63 114
63 62 302 64 214
64 63 485 64 112
65 64 361 65 80
66 65 94 66 258
67 66 480 66 111
68 67 603 67 130
69 68 284 67 190
70 69 241 68 107
71 70 240 69 90
72 71 571 70 244
73 72 611 71 137
74 73 2 72 153
75 74 374 74 113
76 75 134 74 128
77 76 76 75 246
78 77 491 76 103
79 78 0 77 152
80 79 3 78 165
81 80 459 79 274
82 81 600 80 116
83 82 604 80 119
84 83 132 80 119
85 84 253 81 141
86 85 242 83 146
87 86 275 86 176
88 87 361 87 123
89 88 11 88 142
90 89 602 89 116
91 90 101 91 361
92 91 490 91 124
93 92 125 91 169
94 93 243 91 148
95 94 680 93 258
96 95 492 95 116
97 96 610 96 141
98 97 494 97 145
99 98 611 99 141
100 99 132 99 159
