ID: 120-360-large-713150182-8
Seed: 713150182

Size: Large
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 120
Tasks: 360
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 112.49
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 720

Influx: Burst
Lambda: 1.07
BurstAmount: 108
BurstStartStep: 135
BurstDurationSteps: 68
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 18

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 15

Task Agent Shelf Time Deadline
1 0 470 0 249
2 1 283 0 132
3 2 335 0 210
4 3 403 1 133
5 4 258 1 64
6 5 679 2 209
7 6 166 3 132
8 7 399 3 135
9 8 281 3 117
10 9 523 5 146
11 10 543 5 173
12 11 524 6 138
13 12 421 6 177
14 13 670 6 198
15 14 180 8 140
16 15 413 8 143
17 16 645 9 156
18 17 153 16 79
19 18 424 16 193
20 19 275 18 120
21 20 206 19 208
22 21 443 20 215
23 22 47 22 142
24 23 377 22 82
25 24 388 23 137
26 25 220 23 242
27 26 160 24 126
28 27 516 26 140
29 28 274 26 101
30 29 420 27 162
31 30 316 27 201
32 31 80 36 228
33 32 418 36 180
34 33 293 36 150
35 34 452 38 224
36 35 507 38 131
37 36 279 38 146
38 37 435 40 217
39 38 196 41 194
40 39 398 42 144
41 40 298 43 160
42 41 286 45 144
43 42 285 47 173
44 43 539 48 210
45 44 355 49 274
46 45 401 49 154
47 46 349 50 272
48 47 492 51 96
49 48 291 51 165
50 49 537 51 204
51 50 415 53 179
52 51 180 55 196
53 52 184 56 206
54 53 660 57 204
55 54 402 57 174
56 55 350 58 271
57 56 242 60 99
58 57 282 60 168
59 58 290 60 144
60 59 535 62 182
61 60 643 63 204
62 61 193 63 228
63 62 345 64 295
64 63 510 64 136
65 64 394 65 134
66 65 160 66 165
67 66 456 66 270
68 67 618 67 154
69 68 372 67 103
70 69 289 68 203
71 70 287 69 189
72 71 569 70 259
73 72 646 71 215
74 73 38 72 198
75 74 425 74 227
76 75 231 74 299
77 76 148 75 177
78 77 527 76 184
79 78 10 77 149
80 79 25 78 207
81 80 477 79 304
82 81 608 80 140
83 82 640 80 179
84 83 210 80 257
85 84 315 81 255
86 85 288 83 236
87 86 339 86 296
88 87 389 87 183
89 88 45 88 235
90 89 620 89 146
91 90 135 91 172
92 91 521 91 202
93 92 173 91 226
94 93 286 91 229
95 94 691 93 270
96 95 519 95 173
97 96 636 96 201
98 97 528 97 232
99 98 648 99 225
100 99 199 99 288
101 100 500 99 153
102 101 208 105 324
103 102 682 105 294
104 103 328 105 339
105 104 164 106 259
106 105 497 106 148
107 106 703 107 311
108 107 522 108 204
109 108 323 108 333
110 109 410 109 229
111 110 407 110 251
112 111 404 110 239
113 112 46 110 272
114 113 123 111 177
115 114 406 112 265
116 115 446 113 335
117 116 616 114 162
118 117 252 114 171
119 118 256 115 175
120 119 369 116 179
121 0 538 117 300
122 1 405 117 267
123 2 182 118 262
124 3 555 120 315
125 4 54 120 219
126 5 421 121 271
127 6 400 122 257
128 7 294 123 264
129 8 35 124 199
130 9 657 126 300
131 10 105 128 344
132 11 351 130 346
133 12 283 130 259
134 13 541 131 311
135 14 567 131 356
136 15 198 132 294
137 16 653 132 282
138 17 529 133 277
139 18 165 134 260
140 19 155 134 224
141 20 440 142 331
142 21 411 148 274
143 22 265 148 220
144 23 288 148 262
145 24 87 149 368
146 25 478 151 415
147 26 285 152 269
148 27 266 153 234
149 28 645 154 295
150 29 539 154 301
151 30 632 155 281
152 31 540 155 323
153 32 525 156 294
154 33 649 157 316
155 34 621 158 248
156 35 662 158 320
157 36 280 158 266
158 37 393 158 257
159 38 558 158 347
160 39 339 158 359
161 40 436 158 317
162 41 531 158 275
163 42 578 159 393
164 43 654 159 318
165 44 708 159 420
166 45 177 159 279
167 46 151 159 216
168 47 40 160 262
169 48 614 160 247
170 49 397 160 265
171 50 21 160 253
172 51 303 161 305
173 52 45 161 290
174 53 298 161 269
175 54 404 161 284
176 55 81 161 374
177 56 42 162 297
178 57 313 162 300
179 58 711 163 394
180 59 161 163 268
181 60 592 164 407
182 61 37 164 281
183 62 388 164 248
184 63 523 164 278
185 64 134 164 203
186 65 678 165 339
187 66 292 166 286
188 67 409 166 301
189 68 535 167 296
190 69 542 168 312
191 70 58 168 306
192 71 89 168 387
193 72 144 169 283
194 73 604 169 232
195 74 116 170 425
196 75 399 170 257
197 76 114 170 407
198 77 82 171 372
199 78 180 171 342
200 79 43 171 330
201 80 533 171 288
202 81 67 171 366
203 82 56 172 310
204 83 296 172 283
205 84 36 172 301
206 85 513 173 260
207 86 295 173 299
208 87 178 173 317
209 88 310 174 309
210 89 402 174 273
211 90 398 174 276
212 91 299 174 324
213 92 491 175 208
214 93 54 175 322
215 94 51 175 304
216 95 200 175 361
217 96 516 176 269
218 97 495 176 227
219 98 694 177 372
220 99 556 177 327
221 100 197 177 351
222 101 34 178 280
223 102 408 178 331
224 103 534 178 295
225 104 452 178 364
226 105 433 178 328
227 106 400 179 278
228 107 387 179 266
229 108 641 180 291
230 109 642 180 291
231 110 412 180 297
232 111 172 180 318
233 112 186 181 367
234 113 577 184 361
235 114 90 185 419
236 115 570 185 368
237 116 550 185 323
238 117 297 186 330
239 118 167 187 343
240 119 647 188 293
241 0 374 190 277
242 1 524 190 349
243 2 420 191 353
244 3 634 191 323
245 4 190 191 320
246 5 646 194 347
247 6 522 194 347
248 7 624 195 327
249 8 425 203 377
250 9 293 204 330
251 10 163 204 300
252 11 405 207 330
253 12 545 211 406
254 13 397 211 334
255 14 174 213 330
