ID: 20-120-small-336640865-0
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Random
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 110 2 74
2 1 70 5 62
3 2 33 5 65
4 3 50 6 24
5 4 11 12 27
6 5 67 17 86
7 6 77 17 95
8 7 3 18 48
9 8 58 20 62
10 9 5 28 67
11 10 68 30 108
12 11 109 30 108
13 12 64 33 102
14 13 108 37 109
15 14 72 41 98
16 15 84 41 62
17 16 61 41 107
18 17 32 44 113
19 18 82 48 72
20 19 102 49 106
21 0 79 53 146
22 1 39 53 131
23 2 9 55 100
24 3 4 57 84
25 4 103 58 130
26 5 88 58 106
27 6 46 59 89
28 7 15 60 87
29 8 10 63 81
30 9 37 63 135
31 10 49 63 108
32 11 84 64 91
33 12 23 65 143
34 13 33 70 136
35 14 5 72 123
36 15 11 74 101
37 16 72 75 135
38 17 47 77 122
39 18 34 85 166
40 19 10 86 116
41 0 94 87 141
42 1 16 87 120
43 2 57 89 137
44 3 52 90 120
45 4 38 90 162
46 5 43 96 117
47 6 74 99 168
48 7 10 100 112
49 8 55 103 136
50 9 40 103 109
51 10 76 104 173
52 11 63 105 165
53 12 61 108 168
54 13 25 111 192
55 14 27 116 209
56 15 110 117 165
57 16 24 118 205
58 17 107 119 188
59 18 86 125 161
60 19 62 125 194
61 0 32 126 186
62 1 89 127 184
63 2 108 128 218
64 3 47 128 164
65 4 82 128 161
66 5 63 134 191
67 6 31 134 188
68 7 22 134 197
69 8 100 135 192
70 9 19 136 178
71 10 36 140 215
72 11 76 142 208
73 12 67 142 220
74 13 26 143 227
75 14 58 147 186
76 15 80 149 158
77 16 102 150 207
78 17 30 152 215
79 18 12 154 193
80 19 91 155 170
81 0 48 157 202
82 1 97 157 217
83 2 24 158 224
84 3 74 159 231
85 4 78 160 244
86 5 49 160 199
87 6 103 160 229
88 7 95 161 206
89 8 109 164 248
90 9 84 167 197
91 10 46 167 203
92 11 85 169 199
93 12 106 171 240
94 13 9 173 230
95 14 53 177 201
96 15 43 180 210
97 16 64 180 255
98 17 15 182 224
99 18 114 182 245
100 19 88 185 224
101 0 56 186 234
102 1 60 187 241
103 2 34 189 252
104 3 101 191 257
105 4 68 195 270
106 5 20 195 243
107 6 55 197 233
108 7 42 204 219
109 8 77 206 281
110 9 38 215 290
111 10 39 215 299
112 11 19 217 262
113 12 4 217 262
114 13 84 219 243
115 14 2 220 262
116 15 62 222 285
117 16 21 223 301
118 17 76 223 292
119 18 16 226 277
120 19 119 229 304
