ID: 20-120-small-336640865-1
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Random
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 91 2 47
2 1 51 5 35
3 2 12 5 26
4 3 40 6 21
5 4 1 12 36
6 5 51 17 41
7 6 65 17 80
8 7 0 18 33
9 8 41 20 38
10 9 0 28 46
11 10 51 30 48
12 11 90 30 48
13 12 43 33 63
14 13 90 37 52
15 14 50 41 56
16 15 65 41 113
17 16 41 41 71
18 17 12 44 77
19 18 80 48 60
20 19 90 49 55
21 0 67 53 131
22 1 38 53 128
23 2 1 55 76
24 3 0 57 66
25 4 90 58 88
26 5 80 58 82
27 6 40 59 71
28 7 10 60 72
29 8 1 63 93
30 9 23 63 132
31 10 40 63 75
32 11 53 64 85
33 12 11 65 92
34 13 35 70 142
35 14 0 72 102
36 15 10 74 98
37 16 51 75 96
38 17 40 77 95
39 18 14 85 130
40 19 1 86 128
41 0 81 87 123
42 1 11 87 105
43 2 49 89 134
44 3 41 90 108
45 4 40 90 105
46 5 40 96 108
47 6 51 99 123
48 7 1 100 124
49 8 41 103 121
50 9 23 103 172
51 10 58 104 143
52 11 50 105 111
53 12 50 108 120
54 13 10 111 132
55 14 12 116 149
56 15 92 117 141
57 16 11 118 151
58 17 90 119 128
59 18 80 125 137
60 19 50 125 143
61 0 16 126 162
62 1 81 127 160
63 2 93 128 176
64 3 32 128 182
65 4 56 128 170
66 5 41 134 149
67 6 11 134 152
68 7 10 134 146
69 8 90 135 159
70 9 5 136 175
71 10 12 140 167
72 11 51 142 157
73 12 44 142 175
74 13 10 143 164
75 14 50 147 162
76 15 70 149 197
77 16 85 150 180
78 17 11 152 182
79 18 1 154 199
80 19 80 155 164
81 0 40 157 178
82 1 88 157 211
83 2 12 158 179
84 3 72 159 225
85 4 80 160 187
86 5 45 160 187
87 6 90 160 187
88 7 81 161 185
89 8 94 164 206
90 9 51 167 185
91 10 21 167 236
92 11 80 169 184
93 12 90 171 189
94 13 1 173 206
95 14 41 177 204
96 15 34 180 252
97 16 50 180 198
98 17 10 182 209
99 18 105 182 251
100 19 81 185 203
101 0 41 186 210
102 1 50 187 208
103 2 12 189 210
104 3 90 191 221
105 4 51 195 222
106 5 10 195 204
107 6 40 197 209
108 7 19 204 243
109 8 50 206 218
110 9 12 215 236
111 10 26 215 299
112 11 10 217 235
113 12 0 217 244
114 13 80 219 231
115 14 1 220 259
116 15 50 222 234
117 16 11 223 256
118 17 74 223 286
119 18 10 226 259
120 19 117 229 298
