ID: 20-120-small-336640865-2
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Random
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 104 2 83
2 1 66 5 77
3 2 42 5 29
4 3 54 6 42
5 4 14 12 36
6 5 64 17 77
7 6 73 17 83
8 7 5 18 54
9 8 57 20 59
10 9 8 28 76
11 10 63 30 93
12 11 102 30 87
13 12 61 33 93
14 13 103 37 94
15 14 71 41 95
16 15 81 41 53
17 16 60 41 98
18 17 41 44 71
19 18 78 48 129
20 19 99 49 88
21 0 74 53 131
22 1 46 53 89
23 2 10 55 64
24 3 6 57 90
25 4 98 58 118
26 5 85 58 97
27 6 49 59 98
28 7 16 60 90
29 8 10 63 81
30 9 44 63 87
31 10 53 63 87
32 11 82 64 85
33 12 24 65 146
34 13 41 70 91
35 14 7 72 129
36 15 15 74 113
37 16 68 75 162
38 17 49 77 128
39 18 43 85 124
40 19 13 86 125
41 0 89 87 147
42 1 18 87 126
43 2 57 89 137
44 3 54 90 126
45 4 45 90 120
46 5 48 96 132
47 6 71 99 159
48 7 12 100 118
49 8 55 103 136
50 9 44 103 127
51 10 72 104 161
52 11 60 105 156
53 12 58 108 144
54 13 27 111 198
55 14 31 116 182
56 15 104 117 174
57 16 28 118 217
58 17 101 119 170
59 18 82 125 149
60 19 59 125 170
61 0 39 126 207
62 1 85 127 172
63 2 102 128 200
64 3 49 128 170
65 4 79 128 215
66 5 61 134 185
67 6 35 134 200
68 7 23 134 200
69 8 95 135 180
70 9 20 136 190
71 10 43 140 167
72 11 72 142 196
73 12 62 142 205
74 13 30 143 200
75 14 58 147 186
76 15 75 149 212
77 16 97 150 189
78 17 38 152 239
79 18 16 154 205
80 19 87 155 191
81 0 50 157 181
82 1 94 157 208
83 2 29 158 239
84 3 70 159 213
85 4 72 160 226
86 5 49 160 199
87 6 98 160 217
88 7 89 161 209
89 8 103 164 230
90 9 81 167 188
91 10 48 167 209
92 11 83 169 193
93 12 101 171 225
94 13 11 173 197
95 14 56 177 210
96 15 47 180 222
97 16 61 180 246
98 17 18 182 233
99 18 110 182 233
100 19 82 185 206
101 0 57 186 237
102 1 59 187 241
103 2 41 189 210
104 3 99 191 254
105 4 65 195 261
106 5 20 195 243
107 6 55 197 233
108 7 46 204 231
109 8 73 206 269
110 9 45 215 242
111 10 44 215 245
112 11 19 217 262
113 12 7 217 271
114 13 83 219 240
115 14 4 220 268
116 15 62 222 285
117 16 23 223 307
118 17 75 223 289
119 18 17 226 280
120 19 117 229 298
