ID: 20-120-small-336640865-3
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Poisson
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 20 1 52
2 1 72 3 72
3 2 69 9 90
4 3 115 10 97
5 4 17 12 45
6 5 91 13 49
7 6 37 14 86
8 7 21 27 87
9 8 104 28 97
10 9 5 29 68
11 10 51 29 47
12 11 18 31 73
13 12 117 32 113
14 13 16 32 71
15 14 23 42 123
16 15 47 44 86
17 16 58 47 89
18 17 69 48 135
19 18 106 51 123
20 19 25 58 148
21 0 3 62 86
22 1 16 62 95
23 2 65 63 132
24 3 115 64 151
25 4 48 66 105
26 5 89 66 117
27 6 18 68 107
28 7 40 71 80
29 8 108 74 155
30 9 104 74 140
31 10 8 76 130
32 11 91 77 104
33 12 48 80 125
34 13 70 80 125
35 14 117 80 158
36 15 100 82 127
37 16 19 84 141
38 17 16 84 129
39 18 67 85 172
40 19 28 86 185
41 0 40 88 109
42 1 51 88 118
43 2 22 92 152
44 3 2 93 114
45 4 30 94 142
46 5 20 96 144
47 6 54 97 130
48 7 1 99 123
49 8 56 103 139
50 9 10 104 119
51 10 15 105 141
52 11 106 107 176
53 12 108 109 184
54 13 64 110 176
55 14 12 110 143
56 15 38 113 197
57 16 29 114 216
58 17 47 116 161
59 18 34 116 197
60 19 82 117 138
61 0 48 118 163
62 1 51 120 150
63 2 101 121 190
64 3 102 125 194
65 4 30 126 174
66 5 61 126 177
67 6 59 130 178
68 7 18 130 166
69 8 74 134 200
70 9 119 137 227
71 10 93 140 176
72 11 100 141 192
73 12 88 146 185
74 13 84 146 170
75 14 27 148 241
76 15 44 149 182
77 16 59 151 196
78 17 15 152 194
79 18 14 153 198
80 19 23 153 237
81 0 78 156 246
82 1 103 157 232
83 2 42 162 186
84 3 37 164 233
85 4 64 164 227
86 5 39 165 237
87 6 115 166 250
88 7 32 169 223
89 8 20 172 229
90 9 61 173 224
91 10 28 177 267
92 11 36 178 250
93 12 22 179 254
94 13 35 179 251
95 14 76 180 249
96 15 46 182 221
97 16 60 183 240
98 17 98 187 226
99 18 80 188 200
100 19 85 188 218
101 0 52 190 226
102 1 5 191 218
103 2 16 197 230
104 3 57 202 247
105 4 35 204 267
106 5 64 206 266
107 6 39 206 284
108 7 21 207 267
109 8 90 208 232
110 9 78 208 283
111 10 115 210 288
112 11 17 211 250
113 12 2 213 252
114 13 24 214 292
115 14 0 216 246
116 15 93 219 246
117 16 44 221 260
118 17 56 224 257
119 18 58 227 272
120 19 119 230 305
