ID: 20-120-small-336640865-4
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Poisson
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 10 1 13
2 1 51 3 33
3 2 50 9 30
4 3 106 10 91
5 4 7 12 54
6 5 80 13 37
7 6 12 14 35
8 7 10 27 39
9 8 90 28 52
10 9 0 29 47
11 10 41 29 50
12 11 10 31 49
13 12 113 32 101
14 13 11 32 56
15 14 10 42 69
16 15 40 44 59
17 16 50 47 65
18 17 53 48 72
19 18 90 51 60
20 19 11 58 91
21 0 0 62 71
22 1 10 62 71
23 2 51 63 93
24 3 108 64 151
25 4 40 66 81
26 5 81 66 93
27 6 1 68 95
28 7 21 71 131
29 8 90 74 98
30 9 84 74 104
31 10 6 76 124
32 11 79 77 152
33 12 39 80 167
34 13 50 80 89
35 14 111 80 140
36 15 90 82 94
37 16 10 84 114
38 17 4 84 132
39 18 50 85 106
40 19 12 86 122
41 0 40 88 109
42 1 42 88 112
43 2 11 92 110
44 3 0 93 102
45 4 29 94 178
46 5 10 96 105
47 6 50 97 112
48 7 1 99 123
49 8 43 103 127
50 9 10 104 119
51 10 12 105 132
52 11 90 107 125
53 12 93 109 142
54 13 50 110 119
55 14 10 110 137
56 15 40 113 128
57 16 31 114 183
58 17 50 116 131
59 18 41 116 149
60 19 80 117 126
61 0 40 118 139
62 1 35 120 186
63 2 81 121 154
64 3 80 125 152
65 4 11 126 141
66 5 40 126 138
67 6 40 130 142
68 7 1 130 154
69 8 51 134 155
70 9 119 137 227
71 10 81 140 161
72 11 88 141 180
73 12 78 146 218
74 13 67 146 221
75 14 12 148 181
76 15 40 149 164
77 16 51 151 172
78 17 1 152 191
79 18 10 153 186
80 19 29 153 255
81 0 80 156 189
82 1 90 157 190
83 2 34 162 225
84 3 12 164 182
85 4 41 164 182
86 5 11 165 177
87 6 110 166 229
88 7 11 169 184
89 8 10 172 190
90 9 46 173 203
91 10 12 177 204
92 11 16 178 214
93 12 10 179 203
94 13 25 179 260
95 14 55 180 210
96 15 40 182 197
97 16 50 183 201
98 17 81 187 202
99 18 51 188 212
100 19 71 188 245
101 0 40 190 211
102 1 0 191 197
103 2 9 197 242
104 3 41 202 220
105 4 12 204 222
106 5 50 206 221
107 6 22 206 272
108 7 5 207 243
109 8 80 208 229
110 9 53 208 232
111 10 107 210 285
112 11 3 211 247
113 12 0 213 240
114 13 11 214 238
115 14 1 216 255
116 15 81 219 231
117 16 40 221 242
118 17 50 224 239
119 18 51 227 251
120 19 117 230 299
