ID: 20-120-small-336640865-5
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Poisson
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 21 1 55
2 1 70 3 60
3 2 64 9 75
4 3 111 10 85
5 4 18 12 48
6 5 87 13 58
7 6 45 14 41
8 7 22 27 90
9 8 99 28 85
10 9 7 29 74
11 10 54 29 56
12 11 19 31 76
13 12 114 32 104
14 13 18 32 77
15 14 30 42 105
16 15 51 44 59
17 16 58 47 89
18 17 67 48 129
19 18 100 51 105
20 19 27 58 154
21 0 5 62 92
22 1 18 62 101
23 2 61 63 120
24 3 111 64 139
25 4 51 66 93
26 5 85 66 105
27 6 20 68 122
28 7 47 71 101
29 8 102 74 137
30 9 99 74 128
31 10 10 76 97
32 11 87 77 113
33 12 52 80 98
34 13 67 80 155
35 14 113 80 146
36 15 96 82 118
37 16 19 84 141
38 17 17 84 132
39 18 63 85 160
40 19 33 86 161
41 0 47 88 130
42 1 54 88 127
43 2 24 92 158
44 3 5 93 123
45 4 39 94 169
46 5 22 96 156
47 6 56 97 136
48 7 2 99 126
49 8 55 103 136
50 9 11 104 122
51 10 16 105 144
52 11 100 107 158
53 12 103 109 169
54 13 62 110 170
55 14 14 110 149
56 15 45 113 149
57 16 31 114 183
58 17 51 116 134
59 18 42 116 152
60 19 77 117 192
61 0 50 118 142
62 1 53 120 156
63 2 97 121 181
64 3 98 125 185
65 4 34 126 186
66 5 58 126 171
67 6 57 130 172
68 7 19 130 169
69 8 71 134 191
70 9 119 137 227
71 10 89 140 185
72 11 96 141 183
73 12 84 146 173
74 13 79 146 218
75 14 31 148 214
76 15 47 149 191
77 16 58 151 193
78 17 16 152 197
79 18 15 153 201
80 19 23 153 237
81 0 75 156 237
82 1 98 157 220
83 2 49 162 207
84 3 45 164 194
85 4 62 164 221
86 5 46 165 195
87 6 112 166 241
88 7 41 169 181
89 8 20 172 229
90 9 59 173 215
91 10 31 177 237
92 11 41 178 196
93 12 22 179 254
94 13 38 179 260
95 14 72 180 237
96 15 47 182 224
97 16 57 183 222
98 17 94 187 214
99 18 74 188 257
100 19 82 188 209
101 0 53 190 229
102 1 7 191 224
103 2 18 197 236
104 3 55 202 241
105 4 42 204 225
106 5 60 206 254
107 6 43 206 227
108 7 20 207 258
109 8 87 208 250
110 9 73 208 268
111 10 111 210 276
112 11 17 211 250
113 12 4 213 258
114 13 21 214 283
115 14 2 216 258
116 15 88 219 252
117 16 49 221 275
118 17 57 224 260
119 18 59 227 275
120 19 117 230 299
