ID: 20-120-small-336640865-6
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 15 0 33
2 1 5 1 28
3 2 108 4 94
4 3 44 11 38
5 4 80 17 44
6 5 62 18 72
7 6 37 19 91
8 7 12 21 39
9 8 10 21 39
10 9 57 23 59
11 10 30 25 82
12 11 83 25 49
13 12 18 29 77
14 13 36 30 105
15 14 85 34 61
16 15 58 36 72
17 16 20 38 107
18 17 22 38 116
19 18 99 40 82
20 0 4 41 68
21 19 43 41 77
22 1 109 44 137
23 2 60 52 106
24 3 32 52 106
25 4 100 54 117
26 5 25 55 124
27 6 67 57 126
28 7 115 59 140
29 8 110 61 121
30 9 0 61 79
31 10 101 62 119
32 11 78 63 135
33 12 117 65 146
34 13 113 65 131
35 14 52 66 87
36 15 91 68 89
37 16 106 69 138
38 17 29 72 171
39 18 100 75 129
40 19 20 78 147
41 0 74 83 161
42 1 96 84 141
43 2 102 84 156
44 3 108 90 177
45 4 79 90 177
46 5 103 100 169
47 6 90 100 127
48 7 2 104 131
49 8 70 105 159
50 9 16 105 138
51 10 50 106 115
52 11 18 106 148
53 12 24 106 187
54 13 82 107 125
55 14 61 107 170
56 15 54 107 131
57 16 20 109 178
58 17 13 109 145
59 0 33 110 173
60 18 26 110 206
61 19 80 110 119
62 1 104 111 189
63 2 34 111 174
64 3 119 111 210
65 4 44 111 138
66 5 84 112 148
67 6 0 112 130
68 7 47 113 143
69 8 1 113 143
70 9 15 114 144
71 10 116 115 196
72 11 28 118 205
73 12 6 119 170
74 13 22 120 192
75 14 66 120 198
76 15 60 121 172
77 16 23 121 205
78 17 54 123 150
79 18 70 127 184
80 19 72 131 191
81 0 43 132 162
82 1 97 139 199
83 2 2 140 164
84 3 68 141 216
85 4 64 149 212
86 5 48 153 189
87 6 32 154 211
88 7 38 156 228
89 8 25 158 236
90 9 71 159 213
91 10 114 160 235
92 11 31 166 223
93 12 51 169 184
94 13 20 169 229
95 14 90 178 193
96 15 65 181 253
97 16 81 182 200
98 17 36 185 266
99 18 87 191 230
100 19 101 193 247
101 0 74 194 272
102 1 72 196 265
103 2 92 196 241
104 3 84 201 240
105 4 118 204 300
106 5 10 208 217
107 6 108 210 294
108 7 93 211 250
109 8 46 211 244
110 9 42 211 229
111 10 62 213 273
112 11 109 215 293
113 12 54 215 239
114 13 86 216 246
115 14 23 217 298
116 15 41 223 247
117 16 92 224 248
118 17 67 225 306
119 18 4 227 281
120 19 98 230 266
