ID: 20-120-small-336640865-7
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 5 0 30
2 1 0 1 7
3 2 90 4 37
4 3 26 11 80
5 4 61 17 71
6 5 50 18 33
7 6 12 19 40
8 7 1 21 45
9 8 8 21 72
10 9 50 23 32
11 10 16 25 64
12 11 80 25 40
13 12 10 29 53
14 13 27 30 117
15 14 79 34 112
16 15 42 36 63
17 16 10 38 68
18 17 11 38 68
19 18 81 40 61
20 0 0 41 50
21 19 40 41 62
22 1 95 44 98
23 2 41 52 73
24 3 11 52 67
25 4 86 54 99
26 5 10 55 64
27 6 51 57 81
28 7 108 59 140
29 8 94 61 103
30 9 0 61 79
31 10 90 62 83
32 11 58 63 99
33 12 112 65 131
34 13 103 65 122
35 14 41 66 93
36 15 80 68 77
37 16 90 69 81
38 17 11 72 102
39 18 90 75 84
40 19 10 78 108
41 0 66 83 158
42 1 84 84 126
43 2 90 84 117
44 3 91 90 129
45 4 60 90 141
46 5 90 100 127
47 6 80 100 124
48 7 0 104 119
49 8 50 105 117
50 9 10 105 120
51 10 40 106 118
52 11 11 106 127
53 12 12 106 136
54 13 78 107 176
55 14 51 107 125
56 15 43 107 137
57 16 21 109 187
58 17 8 109 169
59 0 28 110 185
60 18 17 110 164
61 19 80 110 119
62 1 90 111 144
63 2 23 111 174
64 3 118 111 207
65 4 40 111 126
66 5 74 112 181
67 6 1 112 139
68 7 41 113 125
69 8 4 113 152
70 9 11 114 132
71 10 113 115 187
72 11 10 118 136
73 12 0 119 146
74 13 19 120 168
75 14 62 120 186
76 15 51 121 136
77 16 12 121 157
78 17 58 123 162
79 18 52 127 154
80 19 50 131 149
81 0 35 132 201
82 1 81 139 172
83 2 0 140 152
84 3 50 141 159
85 4 45 149 179
86 5 40 153 165
87 6 11 154 172
88 7 41 156 168
89 8 10 158 176
90 9 73 159 219
91 10 108 160 238
92 11 11 166 187
93 12 41 169 193
94 13 10 169 190
95 14 80 178 190
96 15 41 181 205
97 16 76 182 254
98 17 12 185 218
99 18 80 191 203
100 19 90 193 199
101 0 51 194 227
102 1 56 196 241
103 2 81 196 229
104 3 71 201 264
105 4 115 204 291
106 5 1 208 229
107 6 90 210 237
108 7 80 211 232
109 8 36 211 283
110 9 25 211 286
111 10 41 213 234
112 11 94 215 251
113 12 34 215 287
114 13 64 216 282
115 14 10 217 244
116 15 40 223 238
117 16 81 224 242
118 17 50 225 240
119 18 0 227 263
120 19 88 230 269
