ID: 20-120-small-336640865-8
Seed: 336640865

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 17 0 39
2 1 7 1 34
3 2 102 4 76
4 3 49 11 53
5 4 75 17 92
6 5 60 18 66
7 6 45 19 46
8 7 14 21 45
9 8 12 21 45
10 9 58 23 62
11 10 34 25 94
12 11 79 25 100
13 12 19 29 80
14 13 45 30 63
15 14 83 34 55
16 15 57 36 69
17 16 22 38 119
18 17 24 38 122
19 18 95 40 70
20 0 6 41 74
21 19 47 41 89
22 1 103 44 119
23 2 59 52 106
24 3 40 52 67
25 4 96 54 108
26 5 30 55 100
27 6 63 57 114
28 7 112 59 131
29 8 104 61 130
30 9 1 61 88
31 10 97 62 110
32 11 74 63 123
33 12 113 65 134
34 13 110 65 116
35 14 54 66 93
36 15 88 68 101
37 16 101 69 123
38 17 34 72 147
39 18 95 75 105
40 19 21 78 156
41 0 70 83 143
42 1 90 84 117
43 2 99 84 150
44 3 103 90 162
45 4 77 90 171
46 5 98 100 157
47 6 87 100 145
48 7 4 104 137
49 8 66 105 174
50 9 18 105 144
51 10 54 106 133
52 11 20 106 163
53 12 30 106 166
54 13 74 107 164
55 14 59 107 149
56 15 56 107 137
57 16 19 109 166
58 17 15 109 151
59 0 42 110 137
60 18 32 110 185
61 19 78 110 188
62 1 99 111 177
63 2 43 111 138
64 3 118 111 207
65 4 49 111 153
66 5 83 112 145
67 6 0 112 130
68 7 51 113 134
69 8 2 113 146
70 9 16 114 147
71 10 113 115 187
72 11 33 118 181
73 12 7 119 173
74 13 24 120 198
75 14 65 120 195
76 15 60 121 172
77 16 25 121 211
78 17 57 123 159
79 18 69 127 220
80 19 70 131 185
81 0 47 132 174
82 1 95 139 193
83 2 4 140 170
84 3 64 141 204
85 4 61 149 203
86 5 52 153 180
87 6 39 154 232
88 7 44 156 177
89 8 29 158 248
90 9 63 159 216
91 10 111 160 226
92 11 36 166 238
93 12 52 169 187
94 13 20 169 229
95 14 87 178 211
96 15 59 181 220
97 16 75 182 251
98 17 42 185 215
99 18 85 191 224
100 19 97 193 226
101 0 71 194 263
102 1 67 196 271
103 2 88 196 250
104 3 80 201 228
105 4 115 204 291
106 5 13 208 226
107 6 102 210 276
108 7 87 211 253
109 8 50 211 223
110 9 48 211 247
111 10 60 213 267
112 11 103 215 275
113 12 56 215 245
114 13 84 216 240
115 14 26 217 307
116 15 47 223 265
117 16 88 224 263
118 17 64 225 297
119 18 6 227 287
120 19 95 230 257
