ID: 20-120-small-668254222-0
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Random
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 38 2 80
2 1 107 9 96
3 2 71 10 76
4 3 52 14 44
5 4 15 20 47
6 5 83 23 56
7 6 89 23 74
8 7 81 23 47
9 8 109 25 109
10 9 3 25 58
11 10 69 25 106
12 11 103 26 86
13 12 32 30 96
14 13 0 31 55
15 14 98 33 78
16 15 7 37 91
17 16 100 37 88
18 17 61 39 102
19 18 24 44 134
20 19 111 45 96
21 0 119 48 153
22 1 84 55 97
23 2 82 55 91
24 3 12 56 74
25 4 58 57 105
26 5 34 58 115
27 6 106 59 137
28 7 94 59 101
29 8 74 60 126
30 9 68 61 133
31 10 61 64 121
32 11 65 66 132
33 12 118 70 154
34 13 78 71 140
35 14 30 75 138
36 15 16 78 120
37 16 46 80 125
38 17 38 80 167
39 18 18 82 139
40 0 104 83 164
41 19 116 83 149
42 1 109 85 178
43 2 27 85 160
44 3 112 91 169
45 4 10 92 104
46 5 92 92 131
47 6 57 94 136
48 7 5 97 133
49 8 25 98 176
50 9 68 101 173
51 10 79 104 182
52 11 89 107 149
53 12 31 108 171
54 13 21 115 184
55 14 35 117 195
56 15 97 118 157
57 16 103 118 178
58 17 10 120 147
59 18 95 122 152
60 19 45 124 166
61 0 48 125 170
62 1 70 126 183
63 2 47 127 166
64 3 61 131 185
65 4 82 133 166
66 5 77 134 212
67 6 94 135 180
68 7 14 136 160
69 8 33 138 201
70 9 32 139 196
71 10 8 143 197
72 11 100 146 197
73 12 73 147 204
74 13 80 150 162
75 14 110 150 201
76 15 55 152 179
77 16 9 153 219
78 17 106 158 224
79 18 46 159 207
80 19 13 164 203
81 0 83 165 207
82 1 51 167 197
83 2 1 167 188
84 3 50 167 185
85 4 47 169 205
86 5 39 170 242
87 6 72 171 234
88 7 105 172 244
89 8 52 175 199
90 9 7 178 223
91 10 107 179 254
92 11 17 181 220
93 12 34 182 254
94 13 60 183 231
95 14 15 187 229
96 15 110 188 236
97 16 19 191 248
98 17 73 191 251
99 18 75 195 267
100 0 5 197 227
101 19 87 197 233
102 1 17 198 234
103 2 29 199 280
104 3 0 201 210
105 4 102 202 271
106 5 106 205 283
107 6 116 209 296
108 7 108 212 293
109 8 21 215 281
110 9 103 218 281
111 10 119 220 310
112 11 10 220 238
113 12 77 220 289
114 13 12 223 250
115 14 16 223 268
116 15 91 225 246
117 16 33 226 301
118 17 59 227 269
119 18 90 229 238
120 19 10 230 260
