ID: 20-120-small-668254222-1
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Random
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 15 2 35
2 1 90 9 42
3 2 50 10 31
4 3 39 14 89
5 4 9 20 68
6 5 70 23 74
7 6 80 23 47
8 7 52 23 47
9 8 90 25 49
10 9 0 25 43
11 10 50 25 34
12 11 82 26 47
13 12 12 30 60
14 13 0 31 55
15 14 87 33 66
16 15 1 37 73
17 16 90 37 49
18 17 50 39 54
19 18 11 44 80
20 19 96 45 75
21 0 118 48 150
22 1 80 55 85
23 2 61 55 112
24 3 1 56 74
25 4 41 57 75
26 5 12 58 73
27 6 91 59 95
28 7 82 59 86
29 8 57 60 99
30 9 51 61 79
31 10 41 64 85
32 11 50 66 72
33 12 119 70 157
34 13 56 71 98
35 14 12 75 108
36 15 10 78 102
37 16 41 80 110
38 17 40 80 98
39 18 4 82 136
40 0 90 83 119
41 19 113 83 140
42 1 101 85 154
43 2 11 85 103
44 3 99 91 154
45 4 1 92 116
46 5 80 92 116
47 6 41 94 109
48 7 0 97 112
49 8 14 98 128
50 9 50 101 110
51 10 51 104 122
52 11 78 107 179
53 12 11 108 135
54 13 10 115 136
55 14 27 117 210
56 15 81 118 130
57 16 83 118 142
58 17 1 120 159
59 18 80 122 134
60 19 40 124 145
61 0 41 125 149
62 1 52 126 159
63 2 43 127 154
64 3 51 131 158
65 4 80 133 160
66 5 61 134 185
67 6 81 135 162
68 7 1 136 160
69 8 11 138 159
70 9 12 139 160
71 10 0 143 167
72 11 84 146 173
73 12 52 147 165
74 13 66 150 222
75 14 90 150 165
76 15 40 152 167
77 16 1 153 195
78 17 81 158 173
79 18 38 159 252
80 19 10 164 194
81 0 62 165 228
82 1 40 167 185
83 2 0 167 179
84 3 41 167 185
85 4 42 169 190
86 5 23 170 233
87 6 51 171 195
88 7 88 172 217
89 8 27 175 259
90 9 1 178 205
91 10 82 179 203
92 11 10 181 199
93 12 28 182 275
94 13 46 183 219
95 14 9 187 250
96 15 90 188 200
97 16 10 191 221
98 17 50 191 206
99 18 60 195 255
100 0 0 197 206
101 19 80 197 206
102 1 11 198 216
103 2 30 199 250
104 3 1 201 219
105 4 90 202 232
106 5 85 205 244
107 6 110 209 272
108 7 90 212 236
109 8 10 215 233
110 9 81 218 239
111 10 119 220 310
112 11 1 220 250
113 12 57 220 253
114 13 11 223 247
115 14 12 223 256
116 15 81 225 237
117 16 40 226 247
118 17 51 227 245
119 18 89 229 274
120 19 1 230 272
