ID: 20-120-small-668254222-2
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Random
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 46 2 41
2 1 100 9 75
3 2 69 10 91
4 3 55 14 53
5 4 18 20 56
6 5 79 23 107
7 6 85 23 62
8 7 76 23 95
9 8 102 25 88
10 9 6 25 67
11 10 67 25 100
12 11 98 26 74
13 12 42 30 57
14 13 0 31 55
15 14 95 33 69
16 15 9 37 97
17 16 97 37 76
18 17 59 39 81
19 18 28 44 146
20 19 106 45 114
21 0 118 48 150
22 1 82 55 91
23 2 78 55 142
24 3 16 56 86
25 4 58 57 105
26 5 43 58 79
27 6 101 59 122
28 7 89 59 107
29 8 71 60 117
30 9 64 61 121
31 10 59 64 106
32 11 62 66 123
33 12 119 70 157
34 13 75 71 131
35 14 35 75 153
36 15 18 78 126
37 16 50 80 98
38 17 46 80 122
39 18 19 82 142
40 0 101 83 155
41 19 114 83 143
42 1 107 85 172
43 2 33 85 145
44 3 108 91 178
45 4 13 92 113
46 5 88 92 140
47 6 58 94 139
48 7 8 97 142
49 8 32 98 158
50 9 66 101 167
51 10 74 104 167
52 11 86 107 140
53 12 40 108 123
54 13 25 115 196
55 14 45 117 156
56 15 93 118 145
57 16 99 118 163
58 17 12 120 153
59 18 89 122 167
60 19 51 124 145
61 0 53 125 164
62 1 66 126 198
63 2 52 127 160
64 3 60 131 182
65 4 76 133 211
66 5 73 134 200
67 6 88 135 183
68 7 16 136 166
69 8 38 138 216
70 9 36 139 208
71 10 9 143 200
72 11 97 146 191
73 12 67 147 225
74 13 74 150 207
75 14 104 150 210
76 15 56 152 182
77 16 11 153 186
78 17 100 158 206
79 18 49 159 216
80 19 15 164 209
81 0 77 165 252
82 1 54 167 206
83 2 3 167 194
84 3 51 167 194
85 4 48 169 208
86 5 44 170 194
87 6 70 171 222
88 7 99 172 229
89 8 55 175 208
90 9 9 178 229
91 10 102 179 239
92 11 18 181 223
93 12 41 182 206
94 13 60 183 231
95 14 19 187 241
96 15 105 188 248
97 16 22 191 272
98 17 72 191 248
99 18 74 195 264
100 0 7 197 233
101 19 86 197 230
102 1 18 198 237
103 2 37 199 271
104 3 0 201 210
105 4 98 202 262
106 5 101 205 268
107 6 113 209 287
108 7 102 212 275
109 8 23 215 287
110 9 99 218 272
111 10 119 220 310
112 11 13 220 247
113 12 72 220 274
114 13 15 223 259
115 14 19 223 277
116 15 87 225 255
117 16 43 226 262
118 17 58 227 266
119 18 88 229 271
120 19 13 230 269
