ID: 20-120-small-668254222-3
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Poisson
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 34 2 68
2 1 97 3 63
3 2 104 3 81
4 3 11 4 19
5 4 95 5 56
6 5 46 6 36
7 6 47 11 44
8 7 69 14 86
9 8 45 15 45
10 9 60 15 63
11 10 80 20 38
12 11 77 23 92
13 12 93 25 58
14 13 14 25 58
15 14 32 26 95
16 15 31 27 90
17 16 8 28 91
18 17 100 31 79
19 18 72 33 96
20 19 80 34 43
21 0 109 39 135
22 1 56 40 85
23 2 9 40 85
24 3 105 42 120
25 4 46 50 83
26 5 12 50 65
27 6 81 50 77
28 7 49 51 87
29 8 2 52 85
30 9 48 53 89
31 10 45 53 86
32 11 38 54 132
33 12 71 54 105
34 13 104 55 115
35 14 50 56 71
36 15 10 56 80
37 16 107 58 130
38 17 18 60 111
39 18 34 61 142
40 19 60 62 119
41 0 16 67 103
42 1 110 75 144
43 2 19 75 117
44 3 72 76 142
45 4 76 76 154
46 5 85 77 116
47 6 5 79 118
48 7 15 82 109
49 8 29 85 175
50 9 0 87 105
51 10 102 87 147
52 11 105 88 154
53 12 116 93 171
54 13 107 95 164
55 14 20 96 162
56 15 103 96 150
57 16 119 98 179
58 17 9 99 162
59 18 77 103 181
60 19 11 106 139
61 0 15 107 140
62 1 91 108 150
63 2 34 109 172
64 3 59 112 163
65 4 92 113 155
66 5 10 114 123
67 6 96 115 166
68 7 97 118 169
69 8 49 120 162
70 9 50 121 130
71 10 30 121 178
72 11 82 123 144
73 12 3 126 168
74 13 6 128 176
75 14 117 132 210
76 15 31 132 195
77 16 5 134 188
78 17 109 137 212
79 18 41 138 171
80 19 61 138 204
81 0 87 141 195
82 1 102 141 213
83 2 100 144 210
84 3 45 146 176
85 4 90 146 176
86 5 114 151 232
87 6 65 160 223
88 7 74 163 229
89 8 107 165 243
90 9 60 165 213
91 10 111 166 232
92 11 98 167 215
93 12 28 171 264
94 13 72 173 224
95 14 76 175 244
96 15 84 177 198
97 16 108 178 253
98 17 63 180 249
99 18 39 193 289
100 0 78 195 285
101 1 109 195 288
102 19 33 195 270
103 2 15 196 226
104 3 88 197 248
105 4 96 197 251
106 5 23 204 267
107 6 113 208 286
108 7 55 213 246
109 8 30 214 268
110 9 41 219 234
111 10 28 219 309
112 11 11 222 243
113 12 36 223 301
114 13 112 223 286
115 14 79 223 301
116 15 24 225 306
117 16 97 227 266
118 17 75 229 295
119 18 87 230 269
120 19 73 230 293
