ID: 20-120-small-668254222-4
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Poisson
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 12 2 26
2 1 81 3 36
3 2 90 3 36
4 3 1 4 22
5 4 80 5 32
6 5 39 6 78
7 6 17 11 47
8 7 51 14 35
9 8 33 15 78
10 9 41 15 30
11 10 71 20 74
12 11 51 23 38
13 12 81 25 43
14 13 1 25 58
15 14 12 26 59
16 15 14 27 63
17 16 4 28 79
18 17 84 31 55
19 18 53 33 63
20 19 74 34 100
21 0 90 39 75
22 1 41 40 61
23 2 1 40 61
24 3 83 42 78
25 4 34 50 110
26 5 1 50 71
27 6 55 50 86
28 7 40 51 60
29 8 0 52 73
30 9 41 53 68
31 10 50 53 62
32 11 30 54 108
33 12 65 54 126
34 13 90 55 70
35 14 40 56 74
36 15 10 56 80
37 16 94 58 88
38 17 12 60 93
39 18 41 61 94
40 19 51 62 83
41 0 1 67 85
42 1 90 75 108
43 2 8 75 117
44 3 47 76 112
45 4 50 76 94
46 5 74 77 146
47 6 0 79 97
48 7 10 82 94
49 8 11 85 106
50 9 0 87 105
51 10 90 87 108
52 11 87 88 124
53 12 109 93 171
54 13 90 95 110
55 14 10 96 123
56 15 81 96 108
57 16 119 98 179
58 17 1 99 138
59 18 73 103 169
60 19 10 106 136
61 0 11 107 128
62 1 81 108 141
63 2 36 109 178
64 3 49 112 154
65 4 80 113 140
66 5 1 114 135
67 6 86 115 157
68 7 85 118 154
69 8 40 120 129
70 9 41 121 136
71 10 12 121 148
72 11 80 123 138
73 12 0 126 153
74 13 10 128 149
75 14 116 132 207
76 15 24 132 213
77 16 1 134 176
78 17 92 137 158
79 18 40 138 162
80 19 51 138 159
81 0 81 141 177
82 1 90 141 174
83 2 82 144 180
84 3 41 146 164
85 4 80 146 173
86 5 108 151 235
87 6 51 160 184
88 7 69 163 235
89 8 90 165 189
90 9 41 165 180
91 10 99 166 220
92 11 81 167 185
93 12 11 171 198
94 13 51 173 185
95 14 64 175 247
96 15 80 177 186
97 16 90 178 190
98 17 42 180 210
99 18 20 193 265
100 0 61 195 255
101 1 90 195 228
102 19 12 195 231
103 2 5 196 229
104 3 76 197 275
105 4 80 197 224
106 5 10 204 213
107 6 100 208 268
108 7 41 213 225
109 8 11 214 235
110 9 33 219 279
111 10 12 219 246
112 11 1 222 252
113 12 38 223 307
114 13 99 223 271
115 14 70 223 274
116 15 11 225 252
117 16 89 227 269
118 17 64 229 301
119 18 80 230 242
120 19 51 230 251
