ID: 20-120-small-668254222-5
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Poisson
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 43 2 32
2 1 93 3 51
3 2 99 3 69
4 3 13 4 25
5 4 89 5 59
6 5 49 6 45
7 6 52 11 38
8 7 64 14 71
9 8 48 15 54
10 9 59 15 57
11 10 75 20 86
12 11 72 23 77
13 12 89 25 67
14 13 16 25 64
15 14 39 26 116
16 15 36 27 105
17 16 9 28 94
18 17 96 31 64
19 18 66 33 117
20 19 74 34 100
21 0 103 39 117
22 1 56 40 85
23 2 12 40 61
24 3 99 42 105
25 4 50 50 68
26 5 15 50 74
27 6 76 50 125
28 7 52 51 75
29 8 3 52 88
30 9 51 53 71
31 10 49 53 98
32 11 44 54 81
33 12 68 54 135
34 13 100 55 103
35 14 54 56 83
36 15 9 56 116
37 16 101 58 112
38 17 19 60 114
39 18 43 61 100
40 19 59 62 107
41 0 18 67 109
42 1 104 75 153
43 2 22 75 135
44 3 71 76 139
45 4 74 76 148
46 5 86 77 119
47 6 7 79 124
48 7 19 82 121
49 8 39 85 166
50 9 0 87 105
51 10 98 87 138
52 11 100 88 139
53 12 113 93 162
54 13 101 95 146
55 14 24 96 180
56 15 97 96 135
57 16 119 98 179
58 17 13 99 135
59 18 73 103 169
60 19 15 106 151
61 0 18 107 149
62 1 87 108 159
63 2 42 109 133
64 3 59 112 163
65 4 89 113 167
66 5 13 114 132
67 6 93 115 157
68 7 95 118 163
69 8 52 120 144
70 9 53 121 145
71 10 37 121 199
72 11 76 123 189
73 12 5 126 174
74 13 8 128 182
75 14 115 132 204
76 15 39 132 219
77 16 7 134 194
78 17 104 137 197
79 18 46 138 186
80 19 58 138 180
81 0 84 141 186
82 1 99 141 207
83 2 96 144 201
84 3 50 146 164
85 4 87 146 194
86 5 110 151 214
87 6 63 160 217
88 7 73 163 226
89 8 102 165 228
90 9 60 165 213
91 10 105 166 235
92 11 94 167 203
93 12 34 171 243
94 13 69 173 254
95 14 71 175 229
96 15 80 177 186
97 16 100 178 229
98 17 59 180 222
99 18 46 193 241
100 0 73 195 270
101 1 102 195 267
102 19 41 195 225
103 2 18 196 235
104 3 85 197 239
105 4 92 197 239
106 5 26 204 276
107 6 110 208 271
108 7 56 213 249
109 8 36 214 286
110 9 46 219 249
111 10 32 219 282
112 11 14 222 252
113 12 44 223 256
114 13 106 223 289
115 14 75 223 289
116 15 25 225 309
117 16 94 227 257
118 17 72 229 286
119 18 86 230 266
120 19 70 230 284
