ID: 20-120-small-668254222-6
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 81 0 36
2 1 105 2 83
3 2 74 2 77
4 3 110 7 73
5 4 58 12 60
6 5 12 14 29
7 6 117 17 107
8 7 65 18 78
9 8 57 18 57
10 9 60 24 72
11 10 29 24 117
12 11 11 26 47
13 12 30 26 86
14 13 53 28 46
15 14 59 31 73
16 15 28 33 126
17 16 44 36 75
18 17 88 40 76
19 18 57 46 88
20 19 72 47 107
21 0 96 48 108
22 1 17 49 85
23 2 1 51 72
24 3 44 52 79
25 4 66 52 121
26 5 107 59 140
27 6 4 61 97
28 7 106 64 139
29 8 69 68 146
30 9 23 69 138
31 10 112 69 138
32 11 51 70 85
33 12 117 72 153
34 13 87 77 110
35 14 29 78 177
36 15 30 79 139
37 16 0 82 115
38 17 116 83 152
39 18 40 90 114
40 0 90 97 133
41 19 84 97 124
42 1 6 100 130
43 2 87 101 152
44 3 107 104 188
45 4 34 104 164
46 5 105 105 180
47 6 115 108 192
48 7 24 109 178
49 8 7 109 157
50 9 60 109 157
51 10 48 110 152
52 11 50 112 118
53 12 9 113 173
54 13 118 113 194
55 14 117 114 192
56 15 62 116 179
57 16 100 116 167
58 17 20 118 184
59 18 88 118 160
60 0 33 119 182
61 1 5 119 146
62 19 4 119 170
63 2 116 120 213
64 3 35 120 183
65 4 85 121 163
66 5 68 122 194
67 6 49 122 161
68 7 71 122 179
69 8 14 123 153
70 9 46 123 153
71 10 93 125 161
72 11 29 125 215
73 12 69 127 211
74 13 37 128 206
75 14 75 129 195
76 15 23 139 217
77 16 12 140 176
78 17 103 141 198
79 18 50 143 164
80 19 82 143 164
81 0 38 147 225
82 1 41 149 170
83 2 16 149 182
84 3 21 151 205
85 4 77 158 239
86 5 5 164 197
87 6 1 164 191
88 7 80 166 187
89 8 25 166 244
90 9 109 167 248
91 10 33 169 235
92 11 34 172 238
93 12 20 174 237
94 13 61 176 233
95 14 70 176 227
96 15 95 179 212
97 16 78 185 263
98 17 42 187 217
99 18 52 188 215
100 19 58 189 231
101 0 84 192 237
102 1 67 192 267
103 2 99 192 258
104 3 47 195 231
105 4 6 195 234
106 5 7 197 236
107 6 104 200 272
108 7 118 208 298
109 8 32 210 270
110 9 26 214 292
111 10 77 216 288
112 11 22 217 286
113 12 109 217 295
114 13 43 218 245
115 14 57 218 254
116 15 30 222 282
117 16 66 222 303
118 17 101 224 275
119 18 117 227 299
120 19 76 230 302
