ID: 20-120-small-668254222-7
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 63 0 66
2 1 90 2 35
3 2 51 2 32
4 3 93 7 52
5 4 41 12 30
6 5 1 14 35
7 6 112 17 92
8 7 50 18 30
9 8 41 18 36
10 9 46 24 54
11 10 12 24 51
12 11 1 26 56
13 12 24 26 107
14 13 48 28 70
15 14 50 31 46
16 15 12 33 63
17 16 40 36 57
18 17 80 40 46
19 18 41 46 79
20 19 51 47 68
21 0 81 48 84
22 1 4 49 73
23 2 0 51 63
24 3 20 52 103
25 4 50 52 70
26 5 90 59 86
27 6 0 61 79
28 7 85 64 100
29 8 51 68 89
30 9 11 69 87
31 10 101 69 126
32 11 41 70 88
33 12 112 72 138
34 13 80 77 89
35 14 11 78 108
36 15 12 79 109
37 16 0 82 115
38 17 111 83 137
39 18 30 90 159
40 0 80 97 130
41 19 77 97 172
42 1 0 100 106
43 2 75 101 179
44 3 90 104 134
45 4 11 104 119
46 5 88 105 153
47 6 106 108 186
48 7 11 109 124
49 8 0 109 130
50 9 47 109 142
51 10 40 110 122
52 11 41 112 130
53 12 1 113 149
54 13 116 113 188
55 14 115 114 186
56 15 50 116 128
57 16 90 116 128
58 17 10 118 145
59 18 80 118 130
60 0 24 119 182
61 1 11 119 137
62 19 0 119 152
63 2 113 120 204
64 3 40 120 135
65 4 81 121 151
66 5 51 122 146
67 6 41 122 137
68 7 65 122 182
69 8 12 123 147
70 9 50 123 132
71 10 90 125 146
72 11 13 125 152
73 12 59 127 166
74 13 11 128 152
75 14 57 129 165
76 15 12 139 169
77 16 10 140 170
78 17 90 141 150
79 18 49 143 200
80 19 80 143 152
81 0 40 147 168
82 1 43 149 176
83 2 12 149 170
84 3 10 151 157
85 4 66 158 227
86 5 0 164 176
87 6 1 164 191
88 7 76 166 238
89 8 29 166 256
90 9 96 167 212
91 10 39 169 253
92 11 25 172 250
93 12 11 174 201
94 13 50 176 185
95 14 57 176 212
96 15 81 179 191
97 16 53 185 212
98 17 26 187 277
99 18 41 188 221
100 19 50 189 207
101 0 80 192 225
102 1 51 192 222
103 2 90 192 225
104 3 17 195 228
105 4 0 195 210
106 5 1 197 218
107 6 81 200 227
108 7 115 208 289
109 8 11 210 231
110 9 10 214 229
111 10 51 216 234
112 11 7 217 265
113 12 93 217 250
114 13 36 218 293
115 14 41 218 245
116 15 10 222 246
117 16 50 222 240
118 17 81 224 239
119 18 117 227 299
120 19 50 230 248
