ID: 20-120-small-668254222-8
Seed: 668254222

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]

Agents: 20
Tasks: 120
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 38.47
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 5

Task Agent Shelf Time Deadline
1 0 75 0 81
2 1 100 2 68
3 2 71 2 68
4 3 103 7 79
5 4 57 12 57
6 5 15 14 38
7 6 113 17 95
8 7 61 18 66
9 8 58 18 60
10 9 60 24 72
11 10 33 24 90
12 11 13 26 53
13 12 36 26 104
14 13 55 28 52
15 14 59 31 73
16 15 35 33 108
17 16 48 36 87
18 17 86 40 70
19 18 57 46 88
20 19 70 47 101
21 0 92 48 96
22 1 18 49 88
23 2 3 51 78
24 3 49 52 94
25 4 63 52 112
26 5 101 59 122
27 6 6 61 103
28 7 100 64 121
29 8 65 68 134
30 9 25 69 144
31 10 108 69 147
32 11 54 70 94
33 12 113 72 141
34 13 85 77 104
35 14 34 78 153
36 15 36 79 157
37 16 0 82 115
38 17 112 83 140
39 18 46 90 138
40 0 87 97 151
41 19 82 97 118
42 1 8 100 136
43 2 85 101 146
44 3 102 104 173
45 4 42 104 125
46 5 101 105 168
47 6 111 108 180
48 7 30 109 157
49 8 9 109 163
50 9 58 109 148
51 10 51 110 128
52 11 52 112 130
53 12 12 113 143
54 13 116 113 188
55 14 115 114 186
56 15 61 116 176
57 16 97 116 155
58 17 21 118 193
59 18 85 118 151
60 0 42 119 146
61 1 6 119 149
62 19 7 119 179
63 2 113 120 204
64 3 43 120 144
65 4 83 121 157
66 5 65 122 185
67 6 53 122 152
68 7 69 122 194
69 8 17 123 162
70 9 50 123 132
71 10 89 125 170
72 11 34 125 191
73 12 67 127 205
74 13 45 128 161
75 14 73 129 189
76 15 27 139 229
77 16 15 140 185
78 17 98 141 180
79 18 52 143 170
80 19 76 143 215
81 0 44 147 180
82 1 47 149 188
83 2 19 149 191
84 3 24 151 214
85 4 74 158 230
86 5 7 164 203
87 6 3 164 197
88 7 72 166 226
89 8 30 166 220
90 9 103 167 230
91 10 43 169 196
92 11 42 172 193
93 12 23 174 252
94 13 58 176 209
95 14 63 176 245
96 15 89 179 215
97 16 71 185 242
98 17 45 187 226
99 18 53 188 218
100 19 57 189 228
101 0 79 192 285
102 1 62 192 252
103 2 96 192 249
104 3 48 195 234
105 4 6 195 234
106 5 8 197 239
107 6 99 200 260
108 7 115 208 289
109 8 39 210 291
110 9 30 214 265
111 10 72 216 273
112 11 20 217 274
113 12 103 217 277
114 13 47 218 257
115 14 56 218 251
116 15 35 222 297
117 16 61 222 288
118 17 97 224 260
119 18 116 227 296
120 19 71 230 287
