ID: 20-120-small-971250564-0
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Random
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 97 2 65
2 1 77 2 86
3 2 3 2 29
4 3 83 4 40
5 4 87 6 54
6 5 43 7 28
7 6 50 11 26
8 7 118 15 105
9 8 69 16 94
10 9 110 17 74
11 10 23 18 93
12 11 116 19 97
13 12 88 22 61
14 13 54 22 43
15 14 96 23 62
16 15 1 23 59
17 16 47 25 73
18 17 117 26 98
19 0 8 28 67
20 18 114 28 91
21 19 102 28 85
22 1 16 29 62
23 2 83 32 71
24 3 33 32 89
25 4 70 34 88
26 5 82 36 66
27 6 43 38 59
28 7 77 38 113
29 8 46 38 71
30 9 0 44 62
31 10 79 46 124
32 11 7 47 95
33 12 58 47 83
34 13 75 49 109
35 14 10 52 79
36 15 57 53 86
37 16 94 56 86
38 17 84 56 80
39 18 64 56 134
40 19 45 57 99
41 0 108 60 153
42 1 62 63 123
43 2 83 66 105
44 3 98 71 131
45 4 87 75 123
46 5 20 75 123
47 6 24 76 148
48 7 51 78 99
49 8 103 80 146
50 9 11 81 99
51 10 117 82 166
52 11 94 86 122
53 12 63 93 159
54 13 27 93 180
55 14 15 97 139
56 15 10 98 122
57 16 3 99 147
58 17 106 102 168
59 18 46 102 150
60 0 31 111 168
61 19 25 111 201
62 1 84 119 161
63 2 81 121 154
64 3 34 121 181
65 4 63 122 182
66 5 114 125 206
67 6 39 134 212
68 7 80 136 157
69 8 100 138 195
70 9 71 142 196
71 10 6 146 194
72 11 64 147 210
73 12 13 149 182
74 13 56 150 177
75 14 118 151 232
76 15 78 151 223
77 16 44 155 194
78 17 83 155 176
79 0 95 157 214
80 18 12 157 196
81 19 98 157 193
82 1 40 163 181
83 2 22 164 224
84 3 14 165 189
85 4 106 168 249
86 5 87 168 213
87 6 39 169 247
88 7 3 172 202
89 8 48 174 213
90 9 18 176 215
91 10 34 179 248
92 11 33 180 243
93 12 81 182 200
94 13 59 182 218
95 14 91 184 208
96 15 103 184 238
97 16 85 185 215
98 17 80 185 191
99 18 76 190 265
100 19 42 191 224
101 0 12 194 218
102 1 8 195 231
103 2 4 197 227
104 3 49 199 241
105 4 81 200 230
106 5 98 202 259
107 6 23 202 271
108 7 27 206 284
109 8 101 207 267
110 9 40 207 213
111 10 9 207 264
112 11 11 208 229
113 12 44 210 243
114 13 70 210 255
115 14 60 212 266
116 15 54 219 243
117 16 43 222 258
118 17 20 222 288
119 18 49 224 281
120 19 111 229 280

