ID: 20-120-small-971250564-1
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Random
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 81 2 38
2 1 51 2 32
3 2 0 2 14
4 3 68 4 79
5 4 74 6 78
6 5 17 7 37
7 6 36 11 80
8 7 114 15 93
9 8 51 16 37
10 9 92 17 50
11 10 10 18 39
12 11 112 19 85
13 12 81 22 40
14 13 41 22 43
15 14 84 23 47
16 15 0 23 50
17 16 40 25 46
18 17 115 26 92
19 0 1 28 46
20 18 110 28 79
21 19 90 28 34
22 1 11 29 47
23 2 80 32 62
24 3 24 32 95
25 4 51 34 61
26 5 61 36 87
27 6 17 38 74
28 7 50 38 50
29 8 15 38 71
30 9 0 44 62
31 10 79 46 124
32 11 1 47 77
33 12 41 47 71
34 13 80 49 61
35 14 0 52 82
36 15 42 53 80
37 16 81 56 74
38 17 78 56 131
39 18 41 56 89
40 19 33 57 132
41 0 95 60 117
42 1 51 63 93
43 2 80 66 96
44 3 89 71 125
45 4 62 75 132
46 5 10 75 84
47 6 12 76 97
48 7 41 78 90
49 8 90 80 104
50 9 1 81 108
51 10 112 82 151
52 11 80 86 101
53 12 50 93 105
54 13 11 93 117
55 14 7 97 154
56 15 1 98 134
57 16 0 99 132
58 17 90 102 111
59 18 40 102 126
60 0 12 111 135
61 19 11 111 144
62 1 62 119 179
63 2 56 121 166
64 3 12 121 139
65 4 48 122 161
66 5 105 125 200
67 6 28 134 218
68 7 65 136 196
69 8 83 138 168
70 9 51 142 160
71 10 0 146 170
72 11 50 147 153
73 12 10 149 173
74 13 50 150 159
75 14 114 151 220
76 15 77 151 220
77 16 40 155 176
78 17 80 155 161
79 0 80 157 190
80 18 1 157 202
81 19 81 157 175
82 1 29 163 238
83 2 11 164 182
84 3 10 165 171
85 4 90 168 198
86 5 80 168 192
87 6 30 169 220
88 7 0 172 187
89 8 40 174 183
90 9 10 176 191
91 10 23 179 254
92 11 22 180 249
93 12 52 182 200
94 13 41 182 203
95 14 80 184 196
96 15 90 184 196
97 16 57 185 224
98 17 51 185 203
99 18 50 190 211
100 19 12 191 227
101 0 1 194 212
102 1 0 195 201
103 2 10 197 206
104 3 41 199 217
105 4 54 200 236
106 5 83 202 235
107 6 11 202 220
108 7 12 206 224
109 8 90 207 231
110 9 40 207 213
111 10 2 207 243
112 11 5 208 250
113 12 40 210 225
114 13 51 210 222
115 14 50 212 227
116 15 41 219 243
117 16 33 222 297
118 17 10 222 249
119 18 43 224 263
120 19 94 229 253

