ID: 20-120-small-971250564-2
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Random
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 5

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 93 2 53
2 1 73 2 74
3 2 5 2 35
4 3 79 4 91
5 4 85 6 48
6 5 48 7 43
7 6 54 11 44
8 7 115 15 96
9 8 66 16 85
10 9 104 17 83
11 10 25 18 99
12 11 113 19 88
13 12 87 22 58
14 13 56 22 49
15 14 93 23 53
16 15 3 23 65
17 16 50 25 43
18 17 114 26 89
19 0 9 28 70
20 18 112 28 85
21 19 98 28 64
22 1 18 29 68
23 2 78 32 119
24 3 43 32 56
25 4 70 34 88
26 5 77 36 114
27 6 49 38 77
28 7 73 38 101
29 8 51 38 59
30 9 0 44 62
31 10 75 46 112
32 11 8 47 98
33 12 59 47 86
34 13 72 49 100
35 14 11 52 82
36 15 57 53 86
37 16 90 56 68
38 17 83 56 77
39 18 61 56 125
40 19 49 57 111
41 0 102 60 135
42 1 60 63 117
43 2 81 66 99
44 3 95 71 122
45 4 84 75 114
46 5 22 75 135
47 6 30 76 127
48 7 53 78 105
49 8 98 80 134
50 9 14 81 108
51 10 114 82 157
52 11 89 86 128
53 12 61 93 153
54 13 32 93 156
55 14 17 97 145
56 15 13 98 131
57 16 5 99 153
58 17 100 102 150
59 18 50 102 123
60 0 41 111 135
61 19 31 111 180
62 1 81 119 152
63 2 76 121 202
64 3 43 121 145
65 4 60 122 173
66 5 110 125 188
67 6 45 134 161
68 7 74 136 202
69 8 96 138 186
70 9 68 142 214
71 10 8 146 200
72 11 60 147 198
73 12 16 149 191
74 13 56 150 177
75 14 115 151 223
76 15 73 151 208
77 16 48 155 206
78 17 82 155 173
79 0 92 157 205
80 18 15 157 205
81 19 95 157 184
82 1 47 163 202
83 2 24 164 230
84 3 17 165 198
85 4 100 168 231
86 5 86 168 210
87 6 46 169 199
88 7 5 172 208
89 8 54 174 204
90 9 20 176 230
91 10 43 179 206
92 11 44 180 207
93 12 77 182 251
94 13 59 182 218
95 14 88 184 220
96 15 98 184 226
97 16 82 185 206
98 17 75 185 251
99 18 72 190 253
100 19 47 191 239
101 0 15 194 227
102 1 9 195 234
103 2 6 197 233
104 3 52 199 229
105 4 76 200 278
106 5 94 202 247
107 6 28 202 286
108 7 32 206 260
109 8 98 207 261
110 9 46 207 237
111 10 14 207 240
112 11 13 208 235
113 12 48 210 255
114 13 65 210 279
115 14 59 212 254
116 15 56 219 249
117 16 49 222 276
118 17 20 222 288
119 18 54 224 257
120 19 105 229 295
