ID: 20-120-small-971250564-3
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Gaussian
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 80 25 58
2 1 83 29 68
3 2 43 30 57
4 3 108 31 118
5 4 87 37 85
6 5 62 38 92
7 6 67 40 109
8 7 81 57 81
9 8 98 60 114
10 9 66 60 126
11 10 19 60 108
12 11 108 61 136
13 12 37 62 143
14 13 114 63 132
15 14 10 64 91
16 15 103 65 119
17 16 69 66 156
18 17 47 66 111
19 18 58 67 112
20 19 23 67 151
21 0 53 68 107
22 1 65 70 139
23 2 100 72 138
24 3 82 73 106
25 4 63 73 133
26 5 59 74 122
27 6 36 76 145
28 7 40 79 88
29 8 96 80 128
30 9 115 81 159
31 10 25 82 163
32 11 57 83 116
33 12 72 86 140
34 13 101 88 139
35 14 107 88 157
36 15 77 89 158
37 16 20 90 159
38 17 50 92 107
39 18 113 93 153
40 19 13 93 132
41 0 88 94 151
42 1 1 94 109
43 2 59 94 148
44 3 56 96 138
45 4 8 97 142
46 5 26 97 169
47 6 27 97 178
48 7 79 98 179
49 8 93 98 137
50 9 48 99 135
51 10 17 99 141
52 11 67 100 172
53 12 65 100 172
54 13 55 104 128
55 14 91 106 130
56 15 5 108 156
57 16 51 108 129
58 17 14 113 152
59 18 118 114 189
60 19 96 115 145
61 0 88 117 174
62 1 53 117 153
63 2 114 119 206
64 3 99 120 183
65 4 42 120 141
66 5 69 120 195
67 6 68 120 192
68 7 18 124 160
69 8 66 124 193
70 9 111 124 190
71 10 105 125 194
72 11 24 126 201
73 12 94 126 162
74 13 117 127 205
75 14 87 127 160
76 15 16 128 170
77 16 47 132 180
78 0 49 133 181
79 17 60 133 187
80 18 37 133 223
81 19 116 133 199
82 1 8 135 171
83 2 38 136 211
84 3 95 136 187
85 4 6 136 175
86 5 57 138 180
87 6 78 139 220
88 7 19 139 178
89 8 74 139 205
90 9 28 139 223
91 10 89 140 185
92 11 31 142 199
93 12 77 143 212
94 13 85 143 170
95 14 54 143 170
96 15 46 144 183
97 16 81 146 164
98 17 61 148 211
99 18 45 149 194
100 19 53 150 177
101 0 64 154 223
102 1 29 160 235
103 2 39 160 238
104 3 80 163 190
105 4 98 165 225
106 5 87 167 212
107 6 25 168 243
108 7 84 168 201
109 8 9 168 222
110 9 27 169 250
111 10 72 170 227
112 11 76 171 237
113 12 13 172 205
114 13 3 178 217
115 14 101 184 235
116 15 55 188 215
117 16 112 196 256
118 17 83 204 225
119 18 0 205 241
120 19 79 208 289

