ID: 20-120-small-971250564-4
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Gaussian
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 60 25 82
2 1 71 29 95
3 2 33 30 90
4 3 90 31 61
5 4 68 37 112
6 5 41 38 53
7 6 50 40 55
8 7 64 57 114
9 8 81 60 84
10 9 50 60 69
11 10 10 60 81
12 11 90 61 79
13 12 12 62 92
14 13 105 63 126
15 14 1 64 103
16 15 84 65 86
17 16 50 66 84
18 17 40 66 84
19 18 48 67 121
20 19 11 67 100
21 0 51 68 101
22 1 74 70 145
23 2 90 72 105
24 3 72 73 139
25 4 50 73 91
26 5 41 74 89
27 6 20 76 130
28 7 13 79 100
29 8 80 80 101
30 9 108 81 159
31 10 10 82 103
32 11 41 83 101
33 12 51 86 101
34 13 90 88 103
35 14 89 88 127
36 15 54 89 113
37 16 10 90 120
38 17 40 92 110
39 18 103 93 156
40 19 1 93 135
41 0 80 94 127
42 1 0 94 100
43 2 50 94 115
44 3 45 96 126
45 4 11 97 112
46 5 23 97 160
47 6 25 97 172
48 7 64 98 155
49 8 81 98 122
50 9 41 99 114
51 10 12 99 126
52 11 51 100 115
53 12 44 100 133
54 13 40 104 116
55 14 81 106 121
56 15 1 108 144
57 16 47 108 156
58 17 10 113 140
59 18 117 114 186
60 19 90 115 121
61 0 79 117 210
62 1 50 117 138
63 2 111 119 197
64 3 80 120 147
65 4 18 120 156
66 5 40 120 132
67 6 51 120 144
68 7 10 124 136
69 8 65 124 190
70 9 104 124 190
71 10 90 125 146
72 11 2 126 159
73 12 81 126 144
74 13 114 127 196
75 14 69 127 214
76 15 1 128 164
77 16 33 132 207
78 0 35 133 202
79 17 55 133 163
80 18 13 133 175
81 19 113 133 190
82 1 0 135 141
83 2 37 136 208
84 3 90 136 166
85 4 11 136 151
86 5 50 138 153
87 6 81 139 166
88 7 12 139 157
89 8 64 139 202
90 9 34 139 202
91 10 87 140 179
92 11 39 142 223
93 12 48 143 188
94 13 63 143 206
95 14 41 143 170
96 15 28 144 237
97 16 73 146 209
98 17 40 148 166
99 18 19 149 209
100 19 26 150 243
101 0 50 154 178
102 1 10 160 169
103 2 14 160 187
104 3 42 163 184
105 4 84 165 204
106 5 79 167 251
107 6 10 168 183
108 7 80 168 189
109 8 1 168 198
110 9 12 169 190
111 10 53 170 194
112 11 62 171 228
113 12 11 172 199
114 13 0 178 202
115 14 90 184 199
116 15 51 188 203
117 16 100 196 247
118 17 80 204 210
119 18 4 205 259
120 19 80 208 217

