ID: 20-120-small-971250564-5
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Gaussian
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 74 25 103
2 1 80 29 59
3 2 49 30 75
4 3 102 31 100
5 4 85 37 79
6 5 60 38 86
7 6 64 40 100
8 7 77 57 132
9 8 93 60 99
10 9 63 60 117
11 10 20 60 120
12 11 101 61 115
13 12 45 62 98
14 13 110 63 114
15 14 12 64 97
16 15 98 65 107
17 16 65 66 144
18 17 50 66 81
19 18 58 67 112
20 19 25 67 157
21 0 54 68 110
22 1 62 70 130
23 2 96 72 129
24 3 78 73 157
25 4 61 73 127
26 5 57 74 116
27 6 44 76 100
28 7 47 79 109
29 8 95 80 125
30 9 112 81 150
31 10 30 82 139
32 11 59 83 122
33 12 71 86 137
34 13 97 88 130
35 14 101 88 139
36 15 73 89 146
37 16 20 90 159
38 17 54 92 119
39 18 110 93 144
40 19 16 93 141
41 0 85 94 142
42 1 2 94 112
43 2 57 94 142
44 3 56 96 138
45 4 9 97 145
46 5 27 97 172
47 6 29 97 184
48 7 75 98 167
49 8 89 98 146
50 9 49 99 138
51 10 18 99 144
52 11 63 100 160
53 12 62 100 163
54 13 58 104 137
55 14 88 106 142
56 15 6 108 159
57 16 53 108 135
58 17 15 113 155
59 18 117 114 186
60 19 96 115 145
61 0 86 117 168
62 1 55 117 159
63 2 111 119 197
64 3 97 120 177
65 4 47 120 156
66 5 68 120 192
67 6 67 120 189
68 7 21 124 184
69 8 70 124 178
70 9 109 124 205
71 10 101 125 182
72 11 29 126 216
73 12 92 126 156
74 13 114 127 196
75 14 85 127 154
76 15 17 128 173
77 16 52 132 156
78 0 54 133 175
79 17 60 133 187
80 18 44 133 175
81 19 115 133 196
82 1 9 135 174
83 2 46 136 172
84 3 93 136 181
85 4 8 136 181
86 5 59 138 186
87 6 80 139 163
88 7 24 139 208
89 8 74 139 205
90 9 33 139 199
91 10 89 140 185
92 11 35 142 211
93 12 73 143 200
94 13 84 143 167
95 14 57 143 179
96 15 50 144 156
97 16 77 146 221
98 17 61 148 211
99 18 51 149 173
100 19 56 150 186
101 0 63 154 220
102 1 31 160 214
103 2 45 160 193
104 3 72 163 229
105 4 94 165 213
106 5 83 167 200
107 6 30 168 219
108 7 82 168 195
109 8 11 168 189
110 9 32 169 226
111 10 71 170 224
112 11 78 171 243
113 12 16 172 214
114 13 5 178 223
115 14 98 184 229
116 15 57 188 221
117 16 105 196 262
118 17 79 204 282
119 18 2 205 253
120 19 74 208 274

