ID: 20-120-small-971250564-6
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 5

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 76 0 84
2 1 111 3 81
3 2 13 10 34
4 3 70 11 65
5 4 101 12 78
6 5 99 20 80
7 6 114 22 103
8 7 80 23 44
9 8 65 28 94
10 9 93 33 69
11 10 15 33 69
12 11 30 34 88
13 12 71 34 85
14 13 107 38 107
15 14 18 41 92
16 15 75 47 110
17 16 37 49 136
18 17 91 49 67
19 18 114 51 114
20 19 67 51 135
21 0 25 54 120
22 1 79 56 146
23 2 113 57 141
24 3 40 58 73
25 4 77 60 141
26 5 69 64 139
27 6 20 68 122
28 7 23 69 135
29 8 98 71 125
30 9 63 72 129
31 10 27 74 161
32 11 46 75 108
33 12 76 76 142
34 13 6 77 125
35 14 66 77 155
36 15 49 78 126
37 16 18 80 134
38 17 81 82 97
39 18 17 85 139
40 19 3 91 139
41 0 38 102 180
42 1 119 103 205
43 2 67 103 178
44 3 108 104 191
45 4 79 104 191
46 5 66 105 171
47 6 52 106 133
48 7 92 107 143
49 8 11 107 128
50 9 80 107 125
51 10 110 108 165
52 11 93 108 141
53 12 26 108 195
54 13 96 108 147
55 14 2 108 150
56 15 19 108 159
57 16 75 109 178
58 17 21 112 187
59 18 12 113 152
60 0 42 115 142
61 19 32 115 187
62 1 95 116 170
63 2 81 117 150
64 3 22 118 175
65 4 25 118 190
66 5 45 119 146
67 6 115 119 203
68 7 31 120 171
69 8 100 122 179
70 9 97 123 171
71 10 20 125 185
72 11 109 125 203
73 12 62 126 189
74 13 16 128 167
75 14 70 129 180
76 15 13 131 164
77 16 21 138 216
78 17 94 139 166
79 18 60 139 199
80 0 5 143 173
81 19 36 143 227
82 1 77 144 228
83 2 6 144 180
84 3 76 146 224
85 4 86 146 191
86 5 7 146 185
87 6 63 149 206
88 7 24 150 219
89 8 11 151 172
90 9 114 159 234
91 10 105 159 228
92 11 2 159 192
93 12 89 159 201
94 13 97 161 203
95 14 52 162 183
96 15 18 164 212
97 16 41 166 196
98 17 110 168 219
99 18 39 169 265
100 0 45 170 206
101 19 118 170 242
102 1 69 171 252
103 2 109 172 265
104 3 88 174 225
105 4 31 177 228
106 5 32 188 239
107 6 53 188 218
108 7 97 190 241
109 8 104 191 260
110 9 83 192 219
111 10 0 198 222
112 11 30 202 256
113 12 106 204 273
114 13 92 204 231
115 14 90 206 221
116 15 73 207 264
117 16 66 217 298
118 17 28 221 317
119 18 94 228 255
120 19 92 229 247
