ID: 20-120-small-971250564-7
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 5

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 51 0 33
2 1 94 3 54
3 2 1 10 31
4 3 51 11 38
5 4 90 12 42
6 5 81 20 47
7 6 103 22 91
8 7 51 23 44
9 8 42 28 49
10 9 81 33 54
11 10 4 33 75
12 11 11 34 55
13 12 51 34 49
14 13 90 38 53
15 14 10 41 68
16 15 53 47 68
17 16 27 49 145
18 17 80 49 55
19 18 101 51 108
20 19 50 51 69
21 0 11 54 75
22 1 72 56 125
23 2 104 57 135
24 3 37 58 127
25 4 61 60 114
26 5 51 64 88
27 6 10 68 83
28 7 11 69 84
29 8 86 71 110
30 9 51 72 90
31 10 11 74 98
32 11 40 75 84
33 12 68 76 157
34 13 0 77 101
35 14 55 77 107
36 15 41 78 102
37 16 10 80 110
38 17 75 82 148
39 18 8 85 151
40 19 0 91 124
41 0 23 102 162
42 1 119 103 205
43 2 50 103 124
44 3 90 104 134
45 4 56 104 146
46 5 46 105 135
47 6 40 106 118
48 7 80 107 128
49 8 1 107 137
50 9 60 107 155
51 10 99 108 162
52 11 81 108 126
53 12 11 108 135
54 13 78 108 177
55 14 0 108 138
56 15 12 108 138
57 16 62 109 178
58 17 32 112 181
59 18 20 113 185
60 0 51 115 148
61 19 41 115 145
62 1 90 116 149
63 2 80 117 147
64 3 1 118 136
65 4 12 118 136
66 5 40 119 131
67 6 112 119 194
68 7 24 120 189
69 8 91 122 155
70 9 81 123 144
71 10 10 125 146
72 11 104 125 188
73 12 50 126 138
74 13 3 128 167
75 14 41 129 156
76 15 1 131 167
77 16 12 138 174
78 17 80 139 145
79 18 40 139 163
80 0 0 143 152
81 19 11 143 176
82 1 61 144 201
83 2 1 144 165
84 3 81 146 176
85 4 82 146 179
86 5 13 146 164
87 6 54 149 182
88 7 29 150 234
89 8 1 151 181
90 9 106 159 231
91 10 85 159 192
92 11 8 159 210
93 12 70 159 207
94 13 79 161 233
95 14 41 162 189
96 15 10 164 188
97 16 31 166 235
98 17 97 168 204
99 18 11 169 205
100 0 38 170 248
101 19 115 170 233
102 1 51 171 201
103 2 98 172 235
104 3 80 174 201
105 4 10 177 189
106 5 10 188 197
107 6 50 188 203
108 7 89 190 238
109 8 90 191 215
110 9 76 192 261
111 10 0 198 222
112 11 27 202 286
113 12 90 204 222
114 13 80 204 216
115 14 72 206 263
116 15 50 207 219
117 16 47 217 265
118 17 11 221 251
119 18 81 228 249
120 19 82 229 250
