ID: 20-120-small-971250564-8
Seed: 971250564

Size: Small
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 20
Tasks: 120
MaxOpenTasksOnShelves: 120

Influx: Burst
Lambda: 0.52
BurstAmount: 36
BurstStartStep: 92
BurstDurationSteps: 46
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 5

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 971250564

Task Agent Shelf Time Deadline
1 0 72 0 72
2 1 105 3 84
3 2 16 10 43
4 3 66 11 80
5 4 97 12 69
6 5 96 20 71
7 6 110 22 85
8 7 74 23 89
9 8 61 28 82
10 9 89 33 78
11 10 17 33 75
12 11 35 34 103
13 12 66 34 109
14 13 101 38 89
15 14 19 41 95
16 15 71 47 98
17 16 46 49 94
18 17 87 49 82
19 18 110 51 102
20 19 62 51 120
21 0 30 54 108
22 1 75 56 134
23 2 111 57 135
24 3 47 58 94
25 4 74 60 132
26 5 66 64 130
27 6 21 68 131
28 7 27 69 147
29 8 94 71 113
30 9 60 72 120
31 10 31 74 134
32 11 49 75 117
33 12 71 76 127
34 13 8 77 131
35 14 62 77 143
36 15 53 78 99
37 16 19 80 137
38 17 78 82 157
39 18 20 85 157
40 19 6 91 148
41 0 45 102 138
42 1 119 103 205
43 2 62 103 163
44 3 102 104 173
45 4 74 104 176
46 5 63 105 162
47 6 54 106 139
48 7 88 107 152
49 8 13 107 134
50 9 75 107 173
51 10 104 108 174
52 11 89 108 150
53 12 30 108 168
54 13 93 108 138
55 14 4 108 156
56 15 18 108 156
57 16 71 109 166
58 17 21 112 187
59 18 14 113 158
60 0 47 115 157
61 19 40 115 136
62 1 92 116 161
63 2 76 117 198
64 3 20 118 169
65 4 27 118 196
66 5 48 119 155
67 6 112 119 194
68 7 33 120 177
69 8 97 122 173
70 9 94 123 162
71 10 22 125 197
72 11 105 125 191
73 12 59 126 165
74 13 18 128 173
75 14 65 129 204
76 15 16 131 173
77 16 26 138 231
78 17 89 139 178
79 18 60 139 199
80 0 7 143 179
81 19 44 143 182
82 1 73 144 216
83 2 8 144 186
84 3 74 146 218
85 4 85 146 188
86 5 9 146 191
87 6 61 149 200
88 7 29 150 234
89 8 15 151 184
90 9 110 159 216
91 10 99 159 213
92 11 4 159 198
93 12 83 159 183
94 13 88 161 197
95 14 51 162 180
96 15 19 164 215
97 16 46 166 211
98 17 104 168 228
99 18 44 169 211
100 0 47 170 212
101 19 115 170 233
102 1 63 171 234
103 2 103 172 247
104 3 84 174 213
105 4 33 177 234
106 5 31 188 236
107 6 53 188 218
108 7 91 190 223
109 8 98 191 245
110 9 75 192 258
111 10 1 198 231
112 11 41 202 220
113 12 100 204 255
114 13 88 204 240
115 14 86 206 236
116 15 70 207 255
117 16 61 217 283
118 17 32 221 290
119 18 93 228 252
120 19 89 229 271
