ID: 30-66-medium-360-982014357-0
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Random
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 116 1 196
2 1 364 5 54
3 2 258 5 62
4 3 562 5 186
5 4 764 8 152
6 5 142 12 61
7 6 231 17 201
8 7 793 20 196
9 8 487 23 83
10 9 418 23 145
11 10 131 37 54
12 11 736 38 119
13 12 574 40 224
14 13 10 41 60
15 14 126 41 79
16 15 258 46 84
17 16 122 46 76
18 17 820 48 259
19 18 565 50 221
20 19 178 59 162
21 20 588 64 272
22 21 693 72 251
23 22 159 73 154
24 23 875 73 179
25 24 600 73 103
26 25 585 74 266
27 26 71 85 226
28 27 146 86 170
29 28 611 86 122
30 29 772 95 206
31 0 685 98 304
32 1 304 100 235
33 2 265 101 174
34 3 204 108 262
35 4 546 110 270
36 5 247 115 156
37 6 279 117 204
38 7 230 120 293
39 8 630 124 211
40 9 610 130 182
41 10 948 131 360
42 11 253 132 162
43 12 494 133 187
44 13 484 134 178
45 14 439 136 288
46 15 380 137 189
47 16 41 141 244
48 17 62 142 277
49 18 325 144 304
50 19 452 153 310
51 20 483 155 188
52 21 218 161 332
53 22 102 161 360
54 23 564 164 324
55 24 708 165 360
56 25 301 166 288
57 26 90 171 342
58 27 932 177 360
59 28 933 187 360
60 29 730 187 223
61 0 515 194 300
62 1 209 199 360
63 2 191 201 326
64 3 166 204 299
65 4 310 207 332
66 5 600 215 269
