ID: 30-66-medium-360-982014357-1
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Random
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 88 1 166
2 1 351 5 205
3 2 241 5 35
4 3 494 5 70
5 4 725 8 89
6 5 121 12 26
7 6 183 17 134
8 7 733 20 99
9 8 451 23 194
10 9 367 23 69
11 10 120 37 48
12 11 720 38 95
13 12 495 40 97
14 13 1 41 71
15 14 120 41 58
16 15 242 46 60
17 16 111 46 238
18 17 771 48 173
19 18 494 50 96
20 19 131 59 78
21 20 560 64 218
22 21 621 72 140
23 22 124 73 117
24 23 844 73 136
25 24 577 73 249
26 25 534 74 174
27 26 13 85 134
28 27 123 86 130
29 28 601 86 113
30 29 730 95 131
31 0 615 98 182
32 1 252 100 141
33 2 243 101 137
34 3 134 108 141
35 4 493 110 173
36 5 240 115 137
37 6 245 117 153
38 7 167 120 212
39 8 603 124 184
40 9 598 130 360
41 10 926 131 347
42 11 240 132 146
43 12 481 133 171
44 13 468 134 340
45 14 374 136 177
46 15 361 137 159
47 16 5 141 190
48 17 13 142 175
49 18 255 144 171
50 19 394 153 218
51 20 474 155 350
52 21 159 161 237
53 22 59 161 286
54 23 494 164 202
55 24 679 165 325
56 25 251 166 183
57 26 23 171 261
58 27 879 177 288
59 28 880 187 298
60 29 720 187 220
61 0 483 194 254
62 1 143 199 256
63 2 133 201 234
64 3 128 204 240
65 4 252 207 245
66 5 592 215 360
