ID: 30-66-medium-360-982014357-2
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Random
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 160 1 85
2 1 412 5 122
3 2 309 5 154
4 3 539 5 149
5 4 709 8 252
6 5 185 12 134
7 6 292 17 117
8 7 749 20 139
9 8 509 23 121
10 9 431 23 158
11 10 173 37 124
12 11 674 38 200
13 12 542 40 178
14 13 14 41 71
15 14 168 41 149
16 15 305 46 165
17 16 164 46 146
18 17 778 48 192
19 18 540 50 175
20 19 235 59 251
21 20 548 64 208
22 21 649 72 194
23 22 207 73 254
24 23 846 73 141
25 24 551 73 200
26 25 544 74 199
27 26 96 85 272
28 27 187 86 238
29 28 556 86 221
30 29 722 95 133
31 0 646 98 242
32 1 362 100 144
33 2 312 101 239
34 3 269 108 189
35 4 533 110 237
36 5 299 115 234
37 6 334 117 288
38 7 292 120 218
39 8 581 124 330
40 9 555 130 287
41 10 944 131 360
42 11 307 132 262
43 12 519 133 233
44 13 508 134 221
45 14 447 136 307
46 15 418 137 251
47 16 56 141 249
48 17 84 142 315
49 18 395 144 215
50 19 465 153 342
51 20 507 155 231
52 21 283 161 251
53 22 139 161 210
54 23 539 164 281
55 24 658 165 290
56 25 354 166 353
57 26 121 171 212
58 27 922 177 358
59 28 921 187 360
60 29 670 187 309
61 0 524 194 321
62 1 275 199 280
63 2 249 201 253
64 3 214 204 360
65 4 368 207 264
66 5 551 215 360
