ID: 30-66-medium-360-982014357-3
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Poisson
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 124 1 31
2 1 926 8 235
3 2 465 10 224
4 3 722 13 86
5 4 27 15 86
6 5 351 21 216
7 6 329 21 197
8 7 668 27 198
9 8 79 30 168
10 9 876 31 158
11 10 420 33 158
12 11 70 33 147
13 12 916 34 223
14 13 434 38 176
15 14 687 44 236
16 15 274 46 106
17 16 426 49 182
18 17 64 50 191
19 18 806 54 249
20 19 497 55 107
21 20 724 56 113
22 21 605 61 107
23 22 825 62 281
24 23 552 69 199
25 24 114 69 280
26 25 96 76 257
27 26 481 77 96
28 27 23 81 168
29 28 915 82 247
30 29 386 84 149
31 0 410 86 194
32 1 89 89 254
33 2 368 93 153
34 3 296 97 211
35 4 439 99 264
36 5 178 101 207
37 6 467 109 323
38 7 359 111 325
39 8 582 116 324
40 9 261 125 177
41 10 664 128 285
42 11 594 135 351
43 12 784 137 302
44 13 361 137 162
45 14 378 137 189
46 15 91 139 293
47 16 311 141 258
48 17 833 143 360
49 18 832 145 360
50 19 121 148 175
51 20 796 151 319
52 21 103 151 359
53 22 777 154 289
54 23 700 156 348
55 24 349 157 360
56 25 453 164 316
57 26 812 167 348
58 27 168 168 290
59 28 680 170 324
60 29 890 174 285
61 0 851 179 274
62 1 251 195 233
63 2 836 199 360
64 3 276 204 285
65 4 101 209 360
66 5 178 215 321
