ID: 30-66-medium-360-982014357-4
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Poisson
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 114 1 190
2 1 860 8 122
3 2 416 10 137
4 3 709 13 257
5 4 3 15 42
6 5 328 21 194
7 6 263 21 84
8 7 612 27 92
9 8 14 30 57
10 9 844 31 112
11 10 371 33 71
12 11 13 33 58
13 12 854 34 121
14 13 373 38 76
15 14 614 44 107
16 15 242 46 60
17 16 370 49 71
18 17 12 50 80
19 18 734 54 122
20 19 480 55 80
21 20 684 56 232
22 21 565 61 226
23 22 769 62 195
24 23 492 69 102
25 24 76 69 221
26 25 23 76 160
27 26 442 77 229
28 27 3 81 135
29 28 853 82 145
30 29 363 84 109
31 0 370 86 130
32 1 19 89 127
33 2 360 93 131
34 3 250 97 124
35 4 375 99 156
36 5 130 101 115
37 6 468 109 325
38 7 339 111 292
39 8 563 116 295
40 9 242 125 147
41 10 613 128 193
42 11 568 135 322
43 12 732 137 208
44 13 342 137 316
45 14 361 137 162
46 15 16 139 177
47 16 253 141 166
48 17 816 143 346
49 18 815 145 345
50 19 107 148 360
51 20 734 151 216
52 21 55 151 259
53 22 729 154 222
54 23 622 156 224
55 24 306 157 295
56 25 381 164 210
57 26 740 167 238
58 27 125 168 217
59 28 614 170 214
60 29 850 174 220
61 0 840 179 263
62 1 238 195 360
63 2 792 199 360
64 3 244 204 240
65 4 41 209 296
66 5 131 215 237
