ID: 30-66-medium-360-982014357-5
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Poisson
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 169 1 109
2 1 913 8 203
3 2 480 10 59
4 3 662 13 173
5 4 37 15 78
6 5 408 21 140
7 6 399 21 119
8 7 633 27 127
9 8 107 30 236
10 9 848 31 123
11 10 432 33 171
12 11 94 33 190
13 12 900 34 199
14 13 443 38 198
15 14 647 44 171
16 15 320 46 184
17 16 434 49 184
18 17 87 50 231
19 18 766 54 184
20 19 520 55 145
21 20 664 56 200
22 21 553 61 196
23 22 781 62 206
24 23 536 69 177
25 24 155 69 142
26 25 131 76 103
27 26 497 77 121
28 27 32 81 157
29 28 901 82 228
30 29 417 84 176
31 0 424 86 235
32 1 122 89 111
33 2 411 93 207
34 3 347 97 303
35 4 442 99 270
36 5 230 101 277
37 6 485 109 166
38 7 409 111 230
39 8 545 116 268
40 9 310 125 242
41 10 629 128 234
42 11 550 135 270
43 12 739 137 227
44 13 411 137 235
45 14 417 137 251
46 15 124 139 169
47 16 371 141 171
48 17 789 143 314
49 18 790 145 294
50 19 164 148 248
51 20 755 151 251
52 21 140 151 205
53 22 730 154 200
54 23 654 156 270
55 24 407 157 255
56 25 467 164 356
57 26 769 167 294
58 27 216 168 341
59 28 645 170 273
60 29 867 174 269
61 0 813 179 360
62 1 300 195 320
63 2 791 199 360
64 3 328 204 360
65 4 139 209 255
66 5 234 215 360
