ID: 30-66-medium-360-982014357-6
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Burst
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 528 11 149
2 1 99 11 179
3 2 18 12 48
4 3 372 24 73
5 4 887 27 189
6 5 634 27 133
7 6 16 31 61
8 7 899 32 203
9 8 811 34 237
10 9 704 37 259
11 10 659 40 186
12 11 520 40 140
13 12 617 40 113
14 13 267 41 104
15 14 38 47 126
16 15 639 50 156
17 16 509 52 139
18 17 186 58 193
19 18 912 60 231
20 19 471 65 252
21 20 717 80 305
22 21 837 83 316
23 22 894 95 233
24 23 187 95 241
25 24 352 96 280
26 25 105 98 317
27 26 337 99 267
28 27 765 100 214
29 28 135 101 147
30 29 185 103 252
31 0 846 105 205
32 1 363 105 151
33 2 858 105 216
34 3 361 106 144
35 4 318 107 259
36 5 698 110 324
37 6 830 110 340
38 7 707 111 344
39 8 577 111 309
40 9 134 112 137
41 10 361 121 151
42 11 905 122 301
43 12 531 138 249
44 13 437 138 284
45 14 774 140 278
46 15 733 144 212
47 16 503 145 216
48 17 319 149 284
49 18 716 151 360
50 19 648 157 279
51 20 123 158 196
52 21 599 158 360
53 22 343 161 353
54 23 620 163 226
55 24 342 163 355
56 25 434 164 286
57 26 925 167 359
58 27 20 175 248
59 28 64 180 340
60 29 289 184 301
61 0 802 190 360
62 1 567 193 360
63 2 645 195 333
64 3 445 198 360
65 4 459 198 360
66 5 759 215 345
