ID: 30-66-medium-360-982014357-7
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Burst
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 485 11 76
2 1 37 11 76
3 2 2 12 34
4 3 360 24 60
5 4 845 27 119
6 5 603 27 90
7 6 2 31 58
8 7 851 32 116
9 8 735 34 118
10 9 621 37 121
11 10 610 40 92
12 11 482 40 81
13 12 584 40 248
14 13 241 41 55
15 14 5 47 93
16 15 602 50 96
17 16 481 52 85
18 17 132 58 77
19 18 853 60 136
20 19 423 65 184
21 20 683 80 253
22 21 800 83 256
23 22 850 95 152
24 23 132 95 122
25 24 325 96 264
26 25 55 98 212
27 26 280 99 186
28 27 725 100 149
29 28 121 101 145
30 29 133 103 141
31 0 829 105 360
32 1 358 105 324
33 2 841 105 189
34 3 347 106 312
35 4 254 107 151
36 5 615 110 186
37 6 775 110 262
38 7 645 111 241
39 8 495 111 174
40 9 120 112 118
41 10 335 121 289
42 11 852 122 203
43 12 487 138 192
44 13 373 138 176
45 14 730 140 197
46 15 717 144 360
47 16 482 145 181
48 17 253 149 171
49 18 674 151 305
50 19 605 157 206
51 20 108 158 360
52 21 555 158 299
53 22 287 161 267
54 23 601 163 196
55 24 277 163 231
56 25 373 164 186
57 26 857 167 243
58 27 2 175 227
59 28 13 180 232
60 29 251 184 206
61 0 734 190 282
62 1 495 193 264
63 2 605 195 268
64 3 374 198 252
65 4 385 198 279
66 5 724 215 291
