ID: 30-66-medium-360-982014357-8
Seed: 982014357

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 30
Tasks: 66
DurationSeconds: 3600
StepSeconds: 10
TimeLimitSteps: 360
TasksPerAgentPerHour: 2.21

Influx: Burst
LambdaPerHour: 66
BurstAmount: 20
BurstStartStep: 86
BurstDurationSteps: 43
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.35

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 529 11 152
2 1 136 11 52
3 2 26 12 77
4 3 414 24 143
5 4 862 27 144
6 5 587 27 252
7 6 23 31 94
8 7 878 32 167
9 8 769 34 186
10 9 656 37 175
11 10 620 40 121
12 11 526 40 157
13 12 563 40 213
14 13 312 41 163
15 14 53 47 145
16 15 595 50 264
17 16 524 52 158
18 17 240 58 64
19 18 895 60 206
20 19 485 65 103
21 20 661 80 215
22 21 796 83 248
23 22 872 95 195
24 23 246 95 131
25 24 408 96 196
26 25 145 98 177
27 26 403 99 189
28 27 712 100 300
29 28 178 101 220
30 29 243 103 139
31 0 805 105 321
32 1 413 105 224
33 2 822 105 343
34 3 412 106 220
35 4 381 107 178
36 5 653 110 245
37 6 787 110 291
38 7 657 111 255
39 8 542 111 255
40 9 177 112 210
41 10 411 121 224
42 11 888 122 276
43 12 529 138 263
44 13 439 138 290
45 14 726 140 211
46 15 672 144 296
47 16 521 145 243
48 17 380 149 198
49 18 660 151 286
50 19 601 157 195
51 20 166 158 269
52 21 551 158 288
53 22 404 161 248
54 23 565 163 325
55 24 403 163 250
56 25 434 164 286
57 26 912 167 327
58 27 27 175 273
59 28 85 180 360
60 29 337 184 352
61 0 763 190 336
62 1 539 193 339
63 2 604 195 266
64 3 442 198 360
65 4 460 198 360
66 5 703 215 360
