ID: 60-240-medium-259441753-0
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Random
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 57 2 119
2 1 346 9 171
3 2 159 11 110
4 3 220 12 132
5 4 96 12 96
6 5 188 14 74
7 6 82 15 78
8 7 49 16 145
9 8 20 17 68
10 9 260 17 107
11 10 308 18 105
12 11 246 18 78
13 12 173 18 135
14 13 175 19 139
15 14 311 19 82
16 15 229 21 156
17 16 176 24 144
18 17 172 25 124
19 18 305 28 100
20 19 281 29 146
21 20 247 31 85
22 21 122 32 62
23 22 34 33 117
24 23 10 35 62
25 24 201 35 101
26 25 123 35 68
27 26 338 36 144
28 27 170 36 129
29 28 301 36 84
30 29 307 37 94
31 30 36 37 139
32 31 145 38 119
33 32 103 39 153
34 33 265 40 121
35 34 115 46 169
36 35 171 46 136
37 36 23 47 155
38 37 219 49 133
39 38 309 49 103
40 39 135 50 98
41 40 182 53 86
42 41 323 54 123
43 42 131 54 93
44 43 316 55 112
45 44 20 55 142
46 45 188 56 116
47 46 3 56 134
48 47 280 57 141
49 48 325 58 136
50 49 19 59 149
51 50 264 59 122
52 51 295 60 168
53 52 252 64 88
54 53 138 64 121
55 54 49 65 245
56 55 230 66 171
57 56 337 66 141
58 57 29 67 214
59 0 202 69 162
60 1 285 69 216
61 58 74 69 141
62 59 83 69 174
63 2 218 73 181
64 3 108 73 193
65 4 192 75 135
66 5 179 76 208
67 6 136 77 137
68 7 33 79 145
69 8 170 82 178
70 9 21 84 159
71 10 41 86 194
72 11 297 87 231
73 12 238 89 233
74 13 40 89 191
75 14 68 89 128
76 15 175 90 210
77 16 356 91 247
78 17 102 92 188
79 18 66 93 144
80 19 79 96 144
81 20 320 96 177
82 21 158 97 184
83 22 348 98 245
84 23 234 100 211
85 24 69 101 167
86 25 76 102 147
87 26 94 102 168
88 27 194 103 148
89 28 116 103 223
90 29 229 104 215
91 30 174 105 213
92 31 259 112 178
93 32 64 114 159
94 33 290 115 220
95 34 115 115 238
96 35 249 116 161
97 36 125 117 171
98 37 160 118 220
99 38 111 118 223
100 39 70 123 168
101 40 136 123 171
102 41 99 126 222
103 42 235 126 237
104 43 127 126 189
105 44 299 127 244
106 45 244 127 163
107 46 291 128 227
108 47 93 130 214
109 48 264 132 207
110 49 29 132 267
111 50 218 135 213
112 51 232 135 246
113 52 260 138 195
114 53 103 138 273
115 54 16 139 229
116 55 312 141 174
117 56 174 141 261
118 57 310 143 164
119 58 267 143 233
120 59 357 147 255
121 0 128 148 211
122 1 101 149 248
123 2 326 149 266
124 3 67 150 195
125 4 95 153 234
126 5 217 155 257
127 6 162 155 266
128 7 31 155 215
129 8 279 156 273
130 9 288 156 306
131 10 165 158 272
132 11 2 159 189
133 12 346 159 312
134 13 175 159 279
135 14 243 159 207
136 15 212 160 247
137 16 185 161 209
138 17 108 161 275
139 18 21 161 245
140 19 341 163 292
141 20 229 165 285
142 21 122 165 195
143 22 116 165 279
144 23 194 166 205
145 24 160 167 266
146 25 123 168 201
147 26 69 171 225
148 27 238 171 300
149 28 128 173 224
150 29 110 173 266
151 30 85 174 270
152 31 132 176 203
153 32 46 177 312
154 33 10 177 228
155 34 150 179 239
156 35 257 181 229
157 36 37 181 292
158 37 322 182 260
159 38 219 182 257
160 39 280 184 280
161 40 54 185 323
162 41 308 186 234
163 42 102 189 324
164 43 284 189 291
165 44 147 190 280
166 45 329 192 285
167 46 7 192 282
168 47 179 193 319
169 48 287 193 313
170 49 226 193 319
171 50 32 194 290
172 51 114 195 336
173 52 209 195 297
174 53 164 195 321
175 54 301 195 219
176 55 163 197 332
177 56 253 199 220
178 57 247 199 256
179 58 197 201 258
180 0 30 204 264
181 59 121 204 255
182 1 77 207 261
183 2 41 208 298
184 3 201 208 295
185 4 335 208 337
186 5 350 210 345
187 6 153 210 297
188 7 318 211 310
189 8 310 213 273
190 9 283 214 349
191 10 290 214 340
192 11 231 216 330
193 12 314 218 302
194 13 78 218 263
195 14 170 219 309
196 15 331 219 327
197 16 58 220 346
198 17 225 222 333
199 18 94 223 295
200 19 120 223 241
201 20 184 223 256
202 21 59 224 362
203 22 17 225 282
204 23 103 227 332
205 24 181 228 258
206 25 250 229 268
207 26 208 230 305
208 27 295 232 364
209 28 132 233 257
210 29 300 234 270
211 30 294 234 360
212 31 39 240 348
213 32 307 240 294
214 33 87 241 346
215 34 271 241 316
216 35 320 245 311
217 36 64 246 309
218 37 349 247 382
219 38 5 248 314
220 39 69 248 329
221 40 197 249 288
222 41 249 249 288
223 42 334 250 340
224 43 190 250 271
225 44 316 251 299
226 45 21 252 363
227 46 53 252 393
228 47 100 253 367
229 48 148 253 364
230 49 274 254 323
231 50 327 255 327
232 51 3 256 343
233 52 277 256 331
234 53 329 257 332
235 54 298 259 379
236 55 115 259 403
237 56 339 261 342
238 57 313 261 297
239 58 19 262 361
240 59 264 263 335
