ID: 60-240-medium-259441753-1
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Random
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 52 2 104
2 1 318 9 114
3 2 130 11 41
4 3 190 12 63
5 4 70 12 36
6 5 172 14 125
7 6 62 15 42
8 7 20 16 76
9 8 10 17 29
10 9 242 17 77
11 10 300 18 81
12 11 222 18 126
13 12 132 18 60
14 13 146 19 97
15 14 293 19 148
16 15 191 21 69
17 16 130 24 48
18 17 122 25 43
19 18 277 28 139
20 19 250 29 74
21 20 197 31 82
22 21 73 32 68
23 22 12 33 75
24 23 1 35 74
25 24 180 35 62
26 25 98 35 122
27 26 310 36 78
28 27 131 36 60
29 28 256 36 96
30 29 263 37 106
31 30 14 37 97
32 31 121 38 71
33 32 71 39 66
34 33 242 40 76
35 34 96 46 136
36 35 150 46 97
37 36 11 47 104
38 37 182 49 79
39 38 273 49 118
40 39 120 50 86
41 40 147 53 149
42 41 301 54 81
43 42 114 54 186
44 43 298 55 178
45 44 10 55 103
46 45 166 56 194
47 46 0 56 119
48 47 250 57 66
49 48 302 58 91
50 49 13 59 131
51 50 240 59 68
52 51 252 60 87
53 52 238 64 190
54 53 122 64 112
55 54 61 65 137
56 55 192 66 105
57 56 310 66 78
58 57 12 67 148
59 0 190 69 123
60 1 252 69 144
61 58 70 69 129
62 59 72 69 126
63 2 199 73 148
64 3 103 73 178
65 4 181 75 123
66 5 171 76 184
67 6 121 77 113
68 7 11 79 103
69 8 153 82 157
70 9 10 84 111
71 10 37 86 167
72 11 279 87 201
73 12 194 89 149
74 13 31 89 155
75 14 62 89 110
76 15 132 90 129
77 16 349 91 247
78 17 72 92 107
79 18 60 93 120
80 19 63 96 135
81 20 301 96 144
82 21 130 97 118
83 22 330 98 188
84 23 192 100 133
85 24 48 101 248
86 25 61 102 141
87 26 71 102 123
88 27 180 103 127
89 28 94 103 181
90 29 199 104 152
91 30 140 105 168
92 31 240 112 142
93 32 60 114 141
94 33 252 115 160
95 34 73 115 160
96 35 207 116 185
97 36 102 117 246
98 37 130 118 145
99 38 72 118 154
100 39 60 123 171
101 40 121 123 165
102 41 70 126 159
103 42 215 126 201
104 43 120 126 162
105 44 275 127 196
106 45 236 127 244
107 46 257 128 173
108 47 72 130 175
109 48 242 132 165
110 49 11 132 198
111 50 192 135 159
112 51 220 135 243
113 52 241 138 168
114 53 73 138 192
115 54 5 139 235
116 55 300 141 159
117 56 132 141 183
118 57 290 143 242
119 58 244 143 188
120 59 351 147 237
121 0 114 148 268
122 1 71 149 185
123 2 302 149 218
124 3 61 150 177
125 4 72 153 189
126 5 190 155 194
127 6 131 155 200
128 7 11 155 179
129 8 251 156 213
130 9 252 156 225
131 10 132 158 200
132 11 0 159 177
133 12 327 159 279
134 13 148 159 243
135 14 216 159 249
136 15 185 160 211
137 16 163 161 263
138 17 71 161 173
139 18 12 161 203
140 19 314 163 238
141 20 191 165 198
142 21 73 165 201
143 22 72 165 195
144 23 176 166 271
145 24 122 167 200
146 25 81 168 243
147 26 61 171 201
148 27 209 171 258
149 28 119 173 302
150 29 78 173 218
151 30 63 174 228
152 31 120 176 200
153 32 13 177 222
154 33 1 177 240
155 34 132 179 209
156 35 242 181 205
157 36 17 181 256
158 37 302 182 224
159 38 191 182 197
160 39 251 184 220
161 40 54 185 323
162 41 288 186 294
163 42 73 189 246
164 43 250 189 210
165 44 130 190 214
166 45 301 192 225
167 46 0 192 255
168 47 146 193 283
169 48 242 193 226
170 49 190 193 220
171 50 13 194 257
172 51 72 195 258
173 52 181 195 237
174 53 131 195 231
175 54 270 195 255
176 55 143 197 296
177 56 240 199 214
178 57 229 199 346
179 58 180 201 240
180 0 12 204 234
181 59 106 204 354
182 1 63 207 240
183 2 42 208 301
184 3 190 208 259
185 4 310 208 280
186 5 334 210 327
187 6 131 210 255
188 7 300 211 277
189 8 254 213 279
190 9 249 214 295
191 10 250 214 268
192 11 191 216 258
193 12 264 218 317
194 13 61 218 245
195 14 130 219 237
196 15 302 219 285
197 16 34 220 298
198 17 182 222 252
199 18 63 223 265
200 19 73 223 253
201 20 134 223 253
202 21 30 224 299
203 22 4 225 282
204 23 71 227 245
205 24 131 228 255
206 25 201 229 292
207 26 180 230 245
208 27 251 232 280
209 28 119 233 362
210 29 252 234 273
211 30 250 234 270
212 31 13 240 294
213 32 283 240 342
214 33 66 241 307
215 34 241 241 271
216 35 301 245 278
217 36 60 246 291
218 37 330 247 322
219 38 0 248 293
220 39 63 248 311
221 40 181 249 279
222 41 240 249 261
223 42 310 250 286
224 43 166 250 382
225 44 290 251 335
226 45 11 252 318
227 46 61 252 312
228 47 83 253 346
229 48 130 253 295
230 49 250 254 269
231 50 302 255 276
232 51 1 256 337
233 52 251 256 277
234 53 301 257 272
235 54 252 259 289
236 55 93 259 361
237 56 314 261 291
238 57 282 261 375
239 58 12 262 340
240 59 250 263 278
