ID: 60-240-medium-259441753-2
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Random
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 84 2 77
2 1 333 9 135
3 2 161 11 113
4 3 206 12 114
5 4 128 12 69
6 5 192 14 65
7 6 110 15 111
8 7 79 16 70
9 8 31 17 68
10 9 233 17 149
11 10 276 18 132
12 11 217 18 114
13 12 183 18 66
14 13 184 19 67
15 14 280 19 130
16 15 211 21 105
17 16 185 24 72
18 17 180 25 49
19 18 274 28 130
20 19 261 29 110
21 20 216 31 115
22 21 142 32 98
23 22 56 33 159
24 23 19 35 89
25 24 198 35 95
26 25 141 35 98
27 26 324 36 123
28 27 176 36 147
29 28 272 36 120
30 29 277 37 127
31 30 57 37 178
32 31 152 38 101
33 32 129 39 87
34 33 242 40 76
35 34 139 46 97
36 35 184 46 70
37 36 34 47 149
38 37 205 49 124
39 38 278 49 133
40 39 151 50 122
41 40 188 53 104
42 41 307 54 99
43 42 147 54 156
44 43 293 55 163
45 44 31 55 142
46 45 192 56 89
47 46 6 56 143
48 47 260 57 105
49 48 310 58 88
50 49 30 59 158
51 50 239 59 176
52 51 267 60 147
53 52 222 64 181
54 53 150 64 133
55 54 79 65 152
56 55 212 66 141
57 56 325 66 126
58 57 45 67 238
59 0 201 69 159
60 1 264 69 177
61 58 95 69 180
62 59 109 69 228
63 2 207 73 169
64 3 136 73 136
65 4 194 75 141
66 5 186 76 130
67 6 149 77 173
68 7 52 79 178
69 8 175 82 199
70 9 33 84 156
71 10 66 86 125
72 11 271 87 177
73 12 213 89 182
74 13 68 89 137
75 14 91 89 140
76 15 180 90 126
77 16 352 91 235
78 17 132 92 119
79 18 90 93 153
80 19 103 96 207
81 20 300 96 141
82 21 158 97 184
83 22 338 98 218
84 23 211 100 166
85 24 93 101 176
86 25 101 102 213
87 26 128 102 141
88 27 196 103 154
89 28 141 103 169
90 29 210 104 155
91 30 183 105 135
92 31 233 112 220
93 32 86 114 201
94 33 265 115 196
95 34 139 115 166
96 35 219 116 194
97 36 143 117 201
98 37 159 118 208
99 38 136 118 154
100 39 92 123 210
101 40 152 123 195
102 41 132 126 153
103 42 213 126 195
104 43 146 126 222
105 44 271 127 184
106 45 216 127 208
107 46 263 128 194
108 47 127 130 187
109 48 242 132 165
110 49 45 132 291
111 50 205 135 213
112 51 211 135 207
113 52 239 138 267
114 53 135 138 186
115 54 26 139 274
116 55 288 141 267
117 56 184 141 186
118 57 283 143 260
119 58 250 143 167
120 59 354 147 246
121 0 145 148 238
122 1 133 149 203
123 2 310 149 215
124 3 93 150 228
125 4 128 153 210
126 5 207 155 248
127 6 167 155 281
128 7 51 155 251
129 8 260 156 237
130 9 264 156 258
131 10 170 158 260
132 11 4 159 195
133 12 334 159 279
134 13 184 159 207
135 14 215 159 246
136 15 203 160 241
137 16 188 161 218
138 17 137 161 203
139 18 32 161 239
140 19 329 163 280
141 20 211 165 234
142 21 142 165 231
143 22 140 165 222
144 23 196 166 211
145 24 159 167 254
146 25 143 168 237
147 26 90 171 225
148 27 214 171 252
149 28 144 173 248
150 29 134 173 194
151 30 106 174 309
152 31 148 176 266
153 32 73 177 210
154 33 16 177 246
155 34 154 179 251
156 35 235 181 283
157 36 59 181 334
158 37 308 182 242
159 38 205 182 248
160 39 262 184 250
161 40 79 185 254
162 41 280 186 270
163 42 128 189 258
164 43 260 189 243
165 44 153 190 259
166 45 315 192 246
167 46 11 192 255
168 47 189 193 244
169 48 264 193 268
170 49 210 193 256
171 50 47 194 350
172 51 136 195 258
173 52 203 195 279
174 53 169 195 336
175 54 273 195 264
176 55 164 197 335
177 56 222 199 310
178 57 217 199 295
179 58 198 201 261
180 0 45 204 318
181 59 141 204 291
182 1 94 207 288
183 2 65 208 238
184 3 200 208 292
185 4 322 208 319
186 5 340 210 342
187 6 156 210 306
188 7 301 211 280
189 8 281 213 333
190 9 262 214 310
191 10 265 214 316
192 11 209 216 309
193 12 290 218 344
194 13 96 218 293
195 14 167 219 327
196 15 319 219 315
197 16 82 220 289
198 17 208 222 306
199 18 126 223 262
200 19 140 223 277
201 20 186 223 262
202 21 84 224 308
203 22 28 225 330
204 23 132 227 248
205 24 184 228 267
206 25 224 229 337
207 26 201 230 284
208 27 271 232 316
209 28 145 233 311
210 29 275 234 318
211 30 270 234 306
212 31 64 240 294
213 32 280 240 333
214 33 113 241 361
215 34 250 241 271
216 35 305 245 290
217 36 88 246 357
218 37 341 247 358
219 38 10 248 290
220 39 91 248 332
221 40 197 249 288
222 41 219 249 321
223 42 323 250 328
224 43 192 250 277
225 44 296 251 359
226 45 31 252 354
227 46 80 252 339
228 47 127 253 310
229 48 153 253 340
230 49 255 254 290
231 50 316 255 297
232 51 6 256 352
233 52 259 256 301
234 53 319 257 305
235 54 272 259 325
236 55 139 259 331
237 56 328 261 330
238 57 293 261 369
239 58 30 262 370
240 59 250 263 278
