ID: 60-240-medium-259441753-3
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Poisson
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 173 1 130
2 1 174 2 131
3 2 310 3 69
4 3 229 3 150
5 4 176 4 136
6 5 172 8 119
7 6 305 9 93
8 7 281 10 139
9 8 247 10 76
10 9 121 11 44
11 10 34 12 84
12 11 10 12 27
13 12 201 16 94
14 13 122 17 47
15 14 338 18 138
16 15 170 20 119
17 16 301 20 80
18 17 307 21 90
19 18 36 23 113
20 19 145 23 92
21 20 103 25 127
22 21 265 26 119
23 22 116 28 142
24 23 177 28 136
25 24 23 29 125
26 25 219 29 125
27 26 309 31 97
28 27 135 33 69
29 28 181 34 58
30 29 324 34 118
31 30 130 35 59
32 31 317 35 107
33 32 20 37 112
34 33 187 37 82
35 34 3 37 103
36 35 280 41 131
37 36 326 44 137
38 37 19 45 123
39 38 263 45 105
40 39 295 48 168
41 40 251 49 82
42 41 137 49 91
43 42 49 50 218
44 43 229 52 181
45 44 337 52 139
46 45 29 54 189
47 46 73 55 112
48 47 83 56 149
49 48 201 56 134
50 49 286 58 172
51 50 217 59 134
52 51 107 59 218
53 52 190 61 91
54 53 179 62 194
55 54 134 67 127
56 55 31 67 175
57 56 167 69 207
58 57 20 71 185
59 58 40 75 222
60 59 296 75 180
61 0 237 77 230
62 1 42 78 180
63 2 68 79 118
64 3 175 79 211
65 4 356 80 248
66 5 101 80 167
67 6 66 82 121
68 7 79 84 138
69 8 320 85 178
70 9 159 86 188
71 10 348 87 246
72 11 233 89 209
73 12 69 92 146
74 13 76 94 133
75 14 94 94 154
76 15 194 95 152
77 16 116 96 204
78 17 228 97 217
79 18 176 97 217
80 19 260 98 176
81 20 65 98 134
82 21 290 99 216
83 22 115 99 210
84 23 251 99 141
85 24 127 102 150
86 25 161 102 201
87 26 111 103 196
88 27 71 103 139
89 28 138 105 147
90 29 103 105 216
91 30 239 106 235
92 31 130 106 127
93 32 300 107 140
94 33 246 109 157
95 34 291 109 220
96 35 96 109 190
97 36 266 112 193
98 37 28 113 233
99 38 219 113 188
100 39 234 114 219
101 40 262 117 180
102 41 105 118 247
103 42 16 119 197
104 43 313 120 168
105 44 174 120 228
106 45 310 120 153
107 46 271 121 184
108 47 357 121 241
109 48 128 123 198
110 49 99 125 239
111 50 326 125 194
112 51 66 127 211
113 52 92 127 223
114 53 216 127 202
115 54 160 128 251
116 55 31 132 240
117 56 279 134 209
118 57 286 134 260
119 58 163 134 272
120 59 1 135 210
121 0 344 137 296
122 1 176 140 275
123 2 244 142 205
124 3 213 142 244
125 4 185 142 202
126 5 108 144 252
127 6 21 145 217
128 7 340 146 284
129 8 228 147 276
130 9 122 147 183
131 10 117 148 265
132 11 193 150 198
133 12 159 150 249
134 13 123 151 184
135 14 69 152 194
136 15 239 152 296
137 16 126 153 192
138 17 109 160 277
139 18 85 161 245
140 19 132 162 195
141 20 48 164 293
142 21 10 164 203
143 22 151 164 227
144 23 259 165 231
145 24 39 166 271
146 25 324 166 262
147 26 220 167 254
148 27 281 167 278
149 28 55 168 297
150 29 309 170 233
151 30 102 170 293
152 31 284 173 287
153 32 147 177 255
154 33 329 177 282
155 34 6 178 253
156 35 179 178 292
157 36 288 178 301
158 37 225 181 292
159 38 32 183 267
160 39 114 183 312
161 40 208 183 270
162 41 162 184 292
163 42 301 185 221
164 43 161 185 302
165 44 252 185 209
166 45 246 186 228
167 46 197 187 232
168 47 121 188 227
169 48 30 188 290
170 49 76 190 259
171 50 40 192 321
172 51 200 193 265
173 52 335 196 277
174 53 350 198 285
175 54 152 198 288
176 55 318 199 250
177 56 309 201 237
178 57 283 201 318
179 58 289 203 335
180 59 231 205 307
181 0 314 206 302
182 1 77 209 263
183 2 169 209 335
184 3 331 209 329
185 4 56 210 318
186 5 226 211 337
187 6 92 212 284
188 7 119 213 339
189 8 181 217 253
190 9 58 217 340
191 10 17 218 263
192 11 103 218 311
193 12 178 220 352
194 13 250 221 272
195 14 207 222 306
196 15 296 223 370
197 16 132 224 260
198 17 302 224 278
199 18 294 224 362
200 19 39 225 321
201 20 308 226 295
202 21 88 227 323
203 22 275 228 327
204 23 322 229 313
205 24 64 231 282
206 25 350 231 354
207 26 5 232 286
208 27 69 233 302
209 28 201 234 294
210 29 252 237 276
211 30 335 237 342
212 31 192 240 273
213 32 316 240 300
214 33 21 242 341
215 34 53 242 371
216 35 99 243 333
217 36 147 243 339
218 37 273 244 322
219 38 328 246 333
220 39 3 248 323
221 40 276 249 333
222 41 330 249 312
223 42 298 250 376
224 43 113 250 376
225 44 340 252 345
226 45 313 252 300
227 46 19 253 340
228 47 264 253 313
229 48 146 253 358
230 49 272 257 320
231 50 258 257 293
232 51 124 259 325
233 52 116 259 403
234 53 12 260 323
235 54 342 260 359
236 55 311 260 290
237 56 75 260 323
238 57 207 262 367
239 58 267 264 354
240 59 212 265 334
