ID: 60-240-medium-259441753-4
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Poisson
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 132 1 55
2 1 133 2 56
3 2 294 3 147
4 3 192 3 66
5 4 131 4 49
6 5 136 8 59
7 6 286 9 156
8 7 251 10 76
9 8 227 10 136
10 9 73 11 47
11 10 12 12 42
12 11 1 12 39
13 12 182 16 61
14 13 97 17 95
15 14 310 18 72
16 15 132 20 59
17 16 271 20 113
18 17 281 21 132
19 18 12 23 65
20 19 120 23 41
21 20 71 25 40
22 21 241 26 71
23 22 73 28 61
24 23 140 28 76
25 24 10 29 71
26 25 190 29 56
27 26 285 31 145
28 27 121 33 66
29 28 147 34 118
30 29 301 34 73
31 30 120 35 62
32 31 288 35 161
33 32 11 37 76
34 33 173 37 145
35 34 0 37 88
36 35 250 41 62
37 36 302 44 89
38 37 12 45 102
39 38 240 45 60
40 39 252 48 87
41 40 213 49 112
42 41 121 49 82
43 42 50 50 182
44 43 191 52 76
45 44 310 52 76
46 45 10 54 117
47 46 62 55 118
48 47 67 56 125
49 48 180 56 89
50 49 250 58 73
51 50 187 59 107
52 51 72 59 122
53 52 181 61 103
54 53 147 62 161
55 54 121 67 127
56 55 12 67 142
57 56 150 69 141
58 57 11 71 149
59 58 28 75 216
60 59 264 75 147
61 0 216 77 191
62 1 33 78 144
63 2 62 79 100
64 3 177 79 217
65 4 349 80 248
66 5 73 80 110
67 6 61 82 106
68 7 70 84 105
69 8 301 85 145
70 9 141 86 155
71 10 330 87 189
72 11 206 89 173
73 12 63 92 128
74 13 70 94 109
75 14 73 94 115
76 15 181 95 134
77 16 120 96 117
78 17 196 97 148
79 18 160 97 190
80 19 241 98 143
81 20 37 98 179
82 21 252 99 156
83 22 82 99 174
84 23 221 99 192
85 24 94 102 180
86 25 130 102 117
87 26 73 103 130
88 27 57 103 241
89 28 120 105 126
90 29 71 105 129
91 30 192 106 142
92 31 88 106 208
93 32 264 107 176
94 33 201 109 172
95 34 251 109 148
96 35 65 109 160
97 36 234 112 220
98 37 11 113 167
99 38 182 113 134
100 39 191 114 138
101 40 240 117 138
102 41 72 118 157
103 42 6 119 206
104 43 300 120 150
105 44 131 120 147
106 45 289 120 243
107 46 242 121 148
108 47 352 121 226
109 48 109 123 285
110 49 71 125 179
111 50 302 125 146
112 51 61 127 196
113 52 70 127 181
114 53 191 127 151
115 54 132 128 182
116 55 11 132 204
117 56 251 134 149
118 57 252 134 167
119 58 131 134 185
120 59 0 135 201
121 0 326 137 266
122 1 180 140 188
123 2 240 142 193
124 3 191 142 202
125 4 181 142 190
126 5 73 144 174
127 6 12 145 175
128 7 314 146 233
129 8 222 147 258
130 9 120 147 177
131 10 99 148 235
132 11 182 150 186
133 12 130 150 180
134 13 82 151 217
135 14 62 152 173
136 15 241 152 203
137 16 97 153 228
138 17 71 160 172
139 18 62 161 200
140 19 106 162 282
141 20 13 164 197
142 21 1 164 215
143 22 122 164 191
144 23 242 165 201
145 24 14 166 220
146 25 302 166 220
147 26 188 167 206
148 27 251 167 215
149 28 48 168 315
150 29 291 170 278
151 30 71 170 209
152 31 250 173 206
153 32 120 177 192
154 33 301 177 222
155 34 0 178 229
156 35 132 178 199
157 36 247 178 226
158 37 190 181 196
159 38 12 183 231
160 39 71 183 231
161 40 180 183 204
162 41 121 184 217
163 42 279 185 278
164 43 122 185 233
165 44 240 185 194
166 45 211 186 252
167 46 159 187 286
168 47 73 188 236
169 48 13 188 263
170 49 62 190 256
171 50 38 192 306
172 51 190 193 226
173 52 310 196 220
174 53 334 198 267
175 54 131 198 249
176 55 300 199 217
177 56 272 201 255
178 57 248 201 261
179 58 250 203 227
180 59 192 205 238
181 0 301 206 284
182 1 63 209 242
183 2 132 209 251
184 3 308 209 305
185 4 45 210 324
186 5 193 211 265
187 6 71 212 245
188 7 95 213 291
189 8 177 217 340
190 9 60 217 235
191 10 10 218 242
192 11 96 218 287
193 12 176 220 346
194 13 240 221 269
195 14 182 222 255
196 15 252 223 286
197 16 114 224 326
198 17 265 224 311
199 18 251 224 281
200 19 31 225 297
201 20 284 226 343
202 21 63 227 272
203 22 241 228 270
204 23 300 229 271
205 24 60 231 264
206 25 334 231 336
207 26 0 232 265
208 27 62 233 281
209 28 179 234 351
210 29 198 237 282
211 30 310 237 285
212 31 162 240 348
213 32 274 240 318
214 33 11 242 296
215 34 60 242 281
216 35 73 243 279
217 36 130 243 273
218 37 248 244 292
219 38 300 246 273
220 39 0 248 308
221 40 242 249 276
222 41 302 249 279
223 42 251 250 283
224 43 82 250 346
225 44 312 252 288
226 45 256 252 297
227 46 10 253 313
228 47 240 253 259
229 48 125 253 319
230 49 241 257 284
231 50 222 257 362
232 51 117 259 409
233 52 95 259 364
234 53 11 260 320
235 54 310 260 284
236 55 282 260 368
237 56 63 260 326
238 57 181 262 313
239 58 242 264 303
240 59 189 265 328
