ID: 60-240-medium-259441753-5
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Poisson
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 183 1 61
2 1 184 2 62
3 2 278 3 123
4 3 210 3 90
5 4 185 4 64
6 5 180 8 44
7 6 274 9 123
8 7 260 10 100
9 8 216 10 106
10 9 142 11 83
11 10 55 12 123
12 11 19 12 54
13 12 200 16 91
14 13 143 17 86
15 14 325 18 120
16 15 177 20 146
17 16 272 20 116
18 17 277 21 123
19 18 59 23 158
20 19 153 23 95
21 20 131 25 46
22 21 241 26 71
23 22 139 28 79
24 23 184 28 58
25 24 34 29 119
26 25 205 29 104
27 26 280 31 130
28 27 150 33 90
29 28 187 34 76
30 29 307 34 91
31 30 146 35 122
32 31 294 35 158
33 32 31 37 112
34 33 189 37 88
35 34 6 37 112
36 35 260 41 95
37 36 310 44 86
38 37 30 45 132
39 38 240 45 60
40 39 268 48 132
41 40 220 49 142
42 41 151 49 109
43 42 78 50 122
44 43 211 52 112
45 44 324 52 121
46 45 46 54 216
47 46 95 55 154
48 47 111 56 170
49 48 201 56 134
50 49 263 58 127
51 50 206 59 140
52 51 136 59 122
53 52 194 61 103
54 53 186 62 110
55 54 147 67 181
56 55 48 67 241
57 56 169 69 213
58 57 33 71 191
59 58 66 75 162
60 59 270 75 126
61 0 213 77 182
62 1 67 78 123
63 2 91 79 142
64 3 182 79 133
65 4 352 80 236
66 5 133 80 122
67 6 90 82 142
68 7 107 84 195
69 8 298 85 235
70 9 161 86 191
71 10 337 87 216
72 11 211 89 167
73 12 93 92 161
74 13 101 94 193
75 14 128 94 133
76 15 197 95 161
77 16 141 96 156
78 17 210 97 160
79 18 185 97 145
80 19 241 98 143
81 20 87 98 176
82 21 266 99 195
83 22 140 99 156
84 23 226 99 207
85 24 146 102 183
86 25 168 102 222
87 26 139 103 142
88 27 95 103 187
89 28 151 105 162
90 29 130 105 114
91 30 216 106 190
92 31 147 106 193
93 32 272 107 179
94 33 220 109 205
95 34 267 109 193
96 35 126 109 151
97 36 248 112 163
98 37 43 113 254
99 38 206 113 182
100 39 214 114 183
101 40 241 117 141
102 41 135 118 154
103 42 26 119 242
104 43 285 120 225
105 44 184 120 153
106 45 282 120 222
107 46 249 121 169
108 47 354 121 232
109 48 143 123 219
110 49 129 125 200
111 50 311 125 152
112 51 91 127 223
113 52 126 127 196
114 53 205 127 208
115 54 162 128 263
116 55 50 132 273
117 56 261 134 194
118 57 264 134 218
119 58 169 134 290
120 59 4 135 219
121 0 334 137 269
122 1 186 140 206
123 2 216 142 244
124 3 204 142 238
125 4 189 142 214
126 5 138 144 201
127 6 32 145 211
128 7 330 146 251
129 8 211 147 228
130 9 142 147 219
131 10 140 148 211
132 11 196 150 207
133 12 159 150 249
134 13 141 151 214
135 14 90 152 200
136 15 215 152 248
137 16 146 153 228
138 17 133 160 190
139 18 105 161 281
140 19 148 162 240
141 20 73 164 185
142 21 17 164 224
143 22 154 164 236
144 23 234 165 276
145 24 58 166 304
146 25 307 166 235
147 26 205 167 233
148 27 260 167 239
149 28 78 168 222
150 29 279 170 266
151 30 126 170 221
152 31 263 173 248
153 32 153 177 234
154 33 316 177 246
155 34 11 178 229
156 35 186 178 208
157 36 265 178 256
158 37 207 181 262
159 38 47 183 327
160 39 136 183 234
161 40 201 183 249
162 41 159 184 268
163 42 272 185 257
164 43 160 185 293
165 44 222 185 284
166 45 217 186 270
167 46 197 187 232
168 47 139 188 242
169 48 45 188 350
170 49 93 190 286
171 50 65 192 258
172 51 199 193 253
173 52 322 196 259
174 53 340 198 282
175 54 153 198 291
176 55 299 199 319
177 56 281 201 297
178 57 262 201 279
179 58 264 203 284
180 59 210 205 268
181 0 291 206 353
182 1 98 209 302
183 2 171 209 320
184 3 319 209 317
185 4 82 210 273
186 5 206 211 301
187 6 127 212 266
188 7 142 213 285
189 8 188 217 274
190 9 84 217 289
191 10 29 218 314
192 11 134 218 257
193 12 186 220 277
194 13 222 221 335
195 14 201 222 288
196 15 271 223 319
197 16 145 224 296
198 17 275 224 320
199 18 270 224 308
200 19 66 225 273
201 20 283 226 340
202 21 116 227 344
203 22 254 228 288
204 23 305 229 286
205 24 90 231 297
206 25 341 231 354
207 26 10 232 262
208 27 92 233 308
209 28 200 234 291
210 29 226 237 339
211 30 323 237 327
212 31 195 240 282
213 32 295 240 357
214 33 31 242 332
215 34 79 242 305
216 35 128 243 291
217 36 154 243 321
218 37 256 244 295
219 38 317 246 303
220 39 6 248 332
221 40 259 249 306
222 41 319 249 309
223 42 272 250 322
224 43 139 250 310
225 44 329 252 336
226 45 293 252 360
227 46 29 253 385
228 47 245 253 280
229 48 152 253 337
230 49 260 257 317
231 50 237 257 368
232 51 143 259 358
233 52 140 259 340
234 53 21 260 365
235 54 330 260 320
236 55 284 260 374
237 56 95 260 359
238 57 203 262 355
239 58 249 264 324
240 59 205 265 352
