ID: 60-240-medium-259441753-6
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Burst
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 135 2 65
2 1 293 3 153
3 2 334 3 123
4 3 197 3 81
5 4 136 4 64
6 5 302 4 70
7 6 30 6 66
8 7 190 9 54
9 8 111 9 102
10 9 356 11 176
11 10 69 12 60
12 11 210 12 81
13 12 76 13 55
14 13 237 16 154
15 14 130 16 34
16 15 89 16 109
17 16 27 16 112
18 17 216 16 103
19 18 45 18 150
20 19 23 18 105
21 20 307 19 85
22 21 319 19 109
23 22 70 23 47
24 23 204 23 89
25 24 232 23 137
26 25 214 23 104
27 26 242 24 57
28 27 243 25 70
29 28 108 25 160
30 29 66 27 75
31 30 110 27 135
32 31 282 27 135
33 32 94 29 101
34 33 36 30 135
35 34 338 30 138
36 35 61 31 70
37 36 323 31 115
38 37 228 33 153
39 38 39 33 138
40 39 135 33 81
41 40 320 33 102
42 41 315 34 82
43 42 244 34 67
44 43 130 36 69
45 44 16 36 102
46 45 80 37 127
47 46 161 37 157
48 47 48 37 193
49 48 175 40 169
50 49 152 42 123
51 50 296 42 144
52 51 35 46 166
53 52 277 47 122
54 53 83 47 146
55 54 222 48 171
56 55 328 49 127
57 56 111 49 172
58 57 76 53 134
59 58 3 58 148
60 59 134 59 110
61 0 219 60 183
62 1 220 60 180
63 2 93 64 133
64 3 273 66 180
65 4 172 67 187
66 5 238 69 210
67 6 50 71 167
68 7 110 73 166
69 8 130 74 98
70 9 308 78 168
71 10 2 79 118
72 11 117 80 188
73 12 290 80 206
74 13 170 81 180
75 14 305 83 149
76 15 134 84 129
77 16 77 85 124
78 17 31 88 148
79 18 175 89 206
80 19 68 90 144
81 20 329 91 199
82 21 252 92 149
83 22 276 94 196
84 23 121 94 109
85 24 139 95 146
86 25 96 97 178
87 26 241 98 128
88 27 250 98 137
89 28 179 99 216
90 29 320 100 172
91 30 81 100 184
92 31 195 100 142
93 32 130 104 116
94 33 105 105 240
95 34 60 109 148
96 35 196 110 143
97 36 129 112 178
98 37 351 114 234
99 38 270 116 170
100 39 222 118 226
101 40 87 118 226
102 41 79 118 178
103 42 253 119 158
104 43 156 120 207
105 44 169 121 253
106 45 176 121 250
107 46 121 122 170
108 47 242 122 140
109 48 33 122 233
110 49 184 123 171
111 50 297 123 228
112 51 115 123 267
113 52 315 124 169
114 53 189 124 181
115 54 140 125 212
116 55 136 125 188
117 56 203 125 203
118 57 102 126 276
119 58 117 127 280
120 59 243 127 160
121 0 284 128 275
122 1 125 128 179
123 2 343 128 272
124 3 88 129 213
125 4 6 130 175
126 5 32 130 181
127 6 181 131 179
128 7 154 131 218
129 8 241 131 179
130 9 137 131 191
131 10 291 132 267
132 11 133 132 168
133 12 124 132 171
134 13 138 133 190
135 14 90 133 181
136 15 83 133 208
137 16 228 133 262
138 17 62 133 157
139 18 286 133 268
140 19 134 134 173
141 20 60 134 149
142 21 177 135 255
143 22 248 135 198
144 23 165 135 234
145 24 239 135 270
146 25 82 135 213
147 26 348 135 270
148 27 55 135 267
149 28 208 136 217
150 29 103 137 248
151 30 347 137 275
152 31 36 138 237
153 32 276 140 224
154 33 281 142 247
155 34 313 143 200
156 35 198 144 183
157 36 30 144 234
158 37 46 145 295
159 38 207 146 218
160 39 19 146 230
161 40 131 146 179
162 41 334 146 227
163 42 99 147 258
164 43 237 147 261
165 44 305 150 186
166 45 172 150 267
167 46 48 161 326
168 47 267 161 230
169 48 37 162 285
170 49 47 165 330
171 50 34 167 269
172 51 304 167 203
173 52 320 167 224
174 53 175 168 288
175 54 222 168 291
176 55 201 170 251
177 56 280 170 257
178 57 45 171 342
179 58 168 174 327
180 59 49 175 346
181 0 252 177 255
182 1 229 182 329
183 2 314 182 266
184 3 211 185 281
185 4 159 187 292
186 5 250 188 239
187 6 62 188 215
188 7 43 191 302
189 8 134 193 235
190 9 167 199 322
191 10 121 202 232
192 11 355 202 352
193 12 80 202 265
194 13 86 202 280
195 14 341 203 329
196 15 239 204 348
197 16 2 206 251
198 17 139 208 256
199 18 356 209 365
200 19 308 209 287
201 20 332 211 307
202 21 126 211 253
203 22 7 213 279
204 23 185 216 249
205 24 14 217 271
206 25 40 217 331
207 26 3 218 266
208 27 134 218 251
209 28 217 218 305
210 29 53 220 334
211 30 50 221 341
212 31 73 223 265
213 32 296 225 345
214 33 241 227 260
215 34 103 229 355
216 35 337 230 326
217 36 64 232 295
218 37 212 232 295
219 38 201 232 286
220 39 136 235 286
221 40 249 235 283
222 41 288 237 345
223 42 174 237 357
224 43 265 239 308
225 44 354 243 357
226 45 163 247 376
227 46 43 251 401
228 47 284 251 347
229 48 143 251 347
230 49 144 253 349
231 50 5 255 333
232 51 264 255 333
233 52 96 257 365
234 53 270 258 303
235 54 260 260 323
236 55 353 260 368
237 56 98 260 368
238 57 207 260 365
239 58 340 262 355
240 59 91 265 355
