ID: 60-240-medium-259441753-7
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Burst
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 120 2 41
2 1 252 3 78
3 2 305 3 81
4 3 180 3 51
5 4 107 4 118
6 5 276 4 115
7 6 11 6 33
8 7 171 9 123
9 8 73 9 36
10 9 350 11 152
11 10 61 12 36
12 11 190 12 45
13 12 62 13 46
14 13 210 16 91
15 14 120 16 31
16 15 70 16 37
17 16 11 16 49
18 17 192 16 55
19 18 13 18 63
20 19 10 18 51
21 20 300 19 64
22 21 302 19 79
23 22 63 23 65
24 23 181 23 44
25 24 191 23 62
26 25 182 23 53
27 26 215 24 99
28 27 218 25 118
29 28 73 25 64
30 29 60 27 51
31 30 72 27 69
32 31 250 27 60
33 32 70 29 53
34 33 11 30 84
35 34 310 30 72
36 35 59 31 169
37 36 295 31 154
38 37 190 33 48
39 38 12 33 81
40 39 122 33 81
41 40 292 33 141
42 41 300 34 58
43 42 221 34 142
44 43 121 36 81
45 44 1 36 96
46 45 63 37 106
47 46 132 37 79
48 47 45 37 184
49 48 180 40 73
50 49 131 42 84
51 50 265 42 108
52 51 28 46 184
53 52 252 47 71
54 53 70 47 92
55 54 209 48 156
56 55 302 49 73
57 56 73 49 106
58 57 61 53 128
59 58 0 58 133
60 59 122 59 113
61 0 192 60 126
62 1 191 60 120
63 2 70 64 82
64 3 250 66 129
65 4 136 67 127
66 5 216 69 168
67 6 34 71 143
68 7 73 73 109
69 8 117 74 185
70 9 295 78 228
71 10 1 79 115
72 11 93 80 140
73 12 252 80 146
74 13 132 81 120
75 14 286 83 212
76 15 120 84 108
77 16 62 85 118
78 17 12 88 115
79 18 175 89 206
80 19 61 90 123
81 20 302 91 142
82 21 239 92 230
83 22 242 94 139
84 23 118 94 205
85 24 122 95 128
86 25 70 97 124
87 26 192 98 128
88 27 210 98 161
89 28 132 99 123
90 29 300 100 136
91 30 62 100 151
92 31 178 100 217
93 32 95 104 179
94 33 71 105 147
95 34 59 109 256
96 35 180 110 116
97 36 120 112 145
98 37 334 114 207
99 38 250 116 134
100 39 191 118 142
101 40 62 118 175
102 41 61 118 163
103 42 240 119 140
104 43 130 120 153
105 44 132 121 151
106 45 138 121 184
107 46 74 122 182
108 47 241 122 137
109 48 11 122 191
110 49 165 123 258
111 50 288 123 234
112 51 73 123 189
113 52 301 124 148
114 53 169 124 265
115 54 121 125 185
116 55 120 125 173
117 56 182 125 164
118 57 72 126 195
119 58 101 127 271
120 59 240 127 145
121 0 252 128 206
122 1 103 128 233
123 2 323 128 236
124 3 66 129 171
125 4 0 130 151
126 5 13 130 148
127 6 180 131 176
128 7 132 131 176
129 8 224 131 248
130 9 130 131 164
131 10 292 132 270
132 11 128 132 174
133 12 122 132 165
134 13 131 133 169
135 14 70 133 139
136 15 63 133 172
137 16 240 133 178
138 17 60 133 145
139 18 299 133 286
140 19 161 134 227
141 20 61 134 158
142 21 191 135 177
143 22 251 135 186
144 23 190 135 156
145 24 250 135 177
146 25 71 135 165
147 26 342 135 252
148 27 30 135 216
149 28 219 136 229
150 29 62 137 173
151 30 340 137 254
152 31 10 138 183
153 32 294 140 254
154 33 291 142 256
155 34 302 143 188
156 35 182 144 162
157 36 12 144 204
158 37 32 145 238
159 38 180 146 155
160 39 2 146 218
161 40 120 146 179
162 41 310 146 173
163 42 71 147 198
164 43 197 147 189
165 44 266 150 213
166 45 132 150 195
167 46 36 161 275
168 47 250 161 170
169 48 13 162 237
170 49 39 165 291
171 50 12 167 227
172 51 274 167 236
173 52 300 167 188
174 53 141 168 249
175 54 192 168 210
176 55 180 170 206
177 56 251 170 185
178 57 50 171 318
179 58 122 174 237
180 59 57 175 331
181 0 241 177 243
182 1 192 182 245
183 2 300 182 245
184 3 181 185 236
185 4 123 187 229
186 5 238 188 329
187 6 61 188 212
188 7 47 191 314
189 8 88 193 262
190 9 131 199 241
191 10 73 202 235
192 11 346 202 346
193 12 61 202 232
194 13 63 202 235
195 14 314 203 275
196 15 224 204 324
197 16 0 206 239
198 17 121 208 223
199 18 351 209 350
200 19 275 209 311
201 20 310 211 259
202 21 107 211 340
203 22 1 213 261
204 23 171 216 306
205 24 10 217 259
206 25 14 217 268
207 26 0 218 251
208 27 120 218 242
209 28 190 218 242
210 29 56 220 343
211 30 51 221 344
212 31 62 223 271
213 32 264 225 294
214 33 240 227 257
215 34 71 229 268
216 35 310 230 263
217 36 34 232 334
218 37 190 232 247
219 38 181 232 250
220 39 106 235 379
221 40 234 235 337
222 41 252 237 264
223 42 132 237 279
224 43 241 239 260
225 44 347 243 357
226 45 131 247 289
227 46 13 251 320
228 47 251 251 269
229 48 121 251 305
230 49 122 253 307
231 50 0 255 312
232 51 242 255 291
233 52 71 257 314
234 53 250 258 267
235 54 241 260 296
236 55 345 260 365
237 56 72 260 314
238 57 190 260 299
239 58 313 262 295
240 59 69 265 352
